medcode	desc	readcode	originalreadcode	snomedctconceptid
5003151000006116	light cigarette smoker		^ESCTLI500315	230060001
88471000006112	trivial cigarette smoker (less than one cigarette/day)	1372.00	1372	266920004
819331000006110	heavy cigarette smoker (20-39 cigs/day)	1375.00	1375	160605003
3926051000006118	tolerant non-smoker		^ESCTTO392605	87739003
12618591000006116	ex-smoker in household		^ESCT1261859	1104241000000108
3419101000006116	moderate smoker (20 or less per day)		^ESCTMO341910	56578002
2735331000000112	ex-moderate smoker (10-19/day)		^ESCT1172042	1092091000000109
2735281000000119	ex-heavy smoker (20-39/day)		^ESCT1172039	1092071000000105
6217281000006116	aggressive ex-smoker		^ESCTAG621728	360900008
8153371000006117	occasional tobacco smoker		^ESCTOC815337	428041000124106
855001000006114	grade d heavy smoker (>20 day)		EGTONGR13	855001000006105
303501000000115	smoking cessation advice provided by community pharmacist	8CAg.00	8CAg	200221000000105
1488577017	ready to stop smoking	137b.00	137b	394872000
250372012	trying to give up smoking	137G.00	137G	160616005
250374013	current non-smoker	137L.00	137L	160618006
2735181000000113	ex-smoker amount unknown		^ESCT1172035	1092031000000108
7368661000006117	smoker before confirmation of pregnancy		^ESCTSM736866	449345000
338608011	smoking cessation advice	8CAL.00	8CAL	225323000
743331000006116	light cigarette smoker (1-9 cigs/day)	1373.00	1373	160603005
6217461000006110	aggressive non-smoker		^ESCTAG621746	360918006
649821000006115	ex-cigar smoker	137O.00	137O	160621008
250366012	ex-heavy cigarette smoker (20-39/day)	137A.00	137A	266924008
5496031000006112	ex-cigarette smoker amount unknown		^ESCTEX549603	266928006
1123751000000113	non-smoker annual review - enhanced services administration	9kn..00	9kn	505681000000109
1123951000000110	ex-smoker annual review - enhanced services administration	9km..00	9km	505761000000105
1899571000006119	mother's smoking status at time of baby's birth - passive smoker		EMISNQMO110	1899571000006103
1911921000006115	carer's partner current non-smoker		EMISNQCA1054	1911921000006104
854051000006112	ex-pipe smoker		EGTON324	854051000006108
604961000006114	current smoker nos		EGTON1025	604961000006105
1488578010	not interested in stopping smoking	137d.00	137d	394873005
1488666019	no smokers in the household	13WK.00	13WK	394964001
397732011	never smoked tobacco	1371.00	1371	266919005
411033014	smoker in the family	13WF.11	13WF-1	275105001
459702016	not a passive smoker	137U.00	137U	315213009
72373013	passive smoker	137I.00	137I	43381005
99639019	cigar smoker	137J.00	137J	59978006
128130017	smoker	137P.11	137P-1	77176002
250368013	keeps trying to stop smoking	137C.00	137C	160612007
250385010	date ceased smoking	137T.00	137T	160625004
7507181000006115	hookah pipe smoker		^ESCTHO750718	698289004
5003141000006118	trivial cigarette smoker		^ESCTTR500314	230059006
4533531000006119	admitted tobacco consumption possibly untrue		^ESCTAD453353	160613002
5495951000006111	occasional cigarette smoker (less than one cigarette/day)		^ESCTOC549595	266920004
8017571000006117	ex-smoker for more than 1 year		^ESCTEX801757	48031000119106
2170961000000116	waterpipe tobacco consumption	137o.00	137o	836001000000109
1154471000000114	ex-smoker annual review	9km..11	9km-1	505761000000105
649861000006114	ex-cigarette smoker		EGTON322	649861000006105
852981000006111	rolls own cigarettes		EGTON1024	852981000006107
852991000006114	ex-cigar smoker		EGTON1026	852991000006105
504769011	chews tobacco	137W.00	137W	81703003
2474719011	minutes from waking to first tobacco consumption	137h.00	137h	413173009
250373019	stopped smoking	137K.00	137K	160617001
250375014	rolls own cigarettes	137M.00	137M	160619003
344793011	cigarette consumption	137X.00	137X	230056004
6718071000006115	current non smoker but past smoking history unknown		^ESCTCU671807	405746006
5003171000006114	heavy cigarette smoker		^ESCTHE500317	230063004
649841000006110	ex-smoker	137S.00	137S	8517006
