medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	observations
5040211000006114	Coronary artery bypass grafts x 4	^ESCTCO504021		232722009	1000
5040231000006115	Coronary artery bypass grafts x 5	^ESCTCO504023		232723004	30
5040251000006110	Coronary artery bypass grafts greater than 5	^ESCTCO504025		232724005	4
6360441000006119	Recurrent angina after coronary artery bypass graft	^ESCTRE636044		371810009	5
7106991000006111	Coronary arteriosclerosis of coronary artery bypass graft	^ESCTCO710699		429673002	3
7298951000006115	Arteriosclerosis of coronary artery bypass graft of transplanted heart	^ESCTAR729895		444855007	7
7508011000006110	Coronary artery bypass grafting planned	^ESCTCO750801		698378009	1
7508021000006119	CABG (coronary artery bypass graft) operation planned	^ESCTCA750802		698378009	30
7855741000006112	Atherosclerosis of autologous coronary artery bypass graft	^ESCTAT785574		724431008	1
8041051000006118	History of placement of stent in coronary artery bypass graft	^ESCTHI804105		130541000119100	20
12125951000006116	Arteriosclerosis of autologous vein coronary artery bypass graft with angina	^ESCT1212595		15960581000119102	1
12125971000006114	Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft	^ESCT1212597		15960661000119107	2
13961481000006115	Coronary artery bypass grafting using radial artery graft	^ESCT1396148		868227005	1
13961541000006110	Coronary artery bypass graft using free LIMA (left internal mammary artery) graft	^ESCT1396154		868231004	8
13961551000006112	Coronary artery bypass graft using free left internal mammary artery graft	^ESCT1396155		868231004	4
14055221000006116	Coronary artery bypass graft with saphenous vein graft	^ESCT1405522		3546002	1
14179491000006111	Unstable angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart	^ESCT1417949		15960341000119104	2
14453321000006115	Coronary artery bypass grafting using free right internal thoracic artery graft from left internal thoracic artery to intermediate artery	^ESCT1445332		1155686006	3
14466301000006111	Coronary artery bypass grafting using free right internal thoracic artery graft from left internal thoracic artery to diagonal branch of anterior descending branch of left coronary artery	^ESCT1446630		1156983007	2
14636541000006114	Angiography of coronary artery bypass graft	^ESCT1463654		252427007	1
2535176014	Percutaneous coronary intervention	792E	792E.00	415070008	70000
2535177017	Emergency percutaneous coronary intervention	792E0	792E000	414089002	4000
6718021000006116	History of percutaneous coronary intervention	^ESCTHI671802		405741001	9
13961751000006115	Percutaneous coronary intervention of left coronary artery	^ESCT1396175		868245005	40
13961771000006113	Percutaneous coronary intervention of anterior descending branch of left coronary artery	^ESCT1396177		868246006	10
13961791000006114	Percutaneous coronary intervention of circumflex branch of left coronary artery	^ESCT1396179		868247002	4
13961811000006113	Percutaneous coronary intervention of right coronary artery	^ESCT1396181		868248007	40
2676631000006114	PTCA - Percutaneous transluminal coronary angioplasty	^ESCTPT267663		11101003	40
89711000006118	Percutaneous transluminal coronary angioplasty	7928	7928.00	11101003	100000
3883421000006114	Percutaneous transluminal coronary angioplasty, multiple vessels	^ESCTPE388342		85053006	50
6583111000006116	Percutaneous transluminal coronary angioplasty by rotoablation	^ESCTPE658311		397193006	1
7086511000006119	History of percutaneous transluminal coronary angioplasty	^ESCTHI708651		428308007	1
7100421000006116	Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty	^ESCTRE710042		429245005	1
12009351000006117	Percutaneous transluminal coronary angioplasty using drug eluting balloon catheter	^ESCT1200935		763725002	5
