medcode	desc	originalreadcode	readcode	snomedctconceptid
2896151000006114	anaesthesia for caesarean hysterectomy	^ESCTAN289615		24806008
3537349016	total hysterectomy with right oophorectomy	^ESCT1168347		739672006
6328471000006115	endometrium, hysterectomy surgical margin, involved by tumour	^ESCTEN632847		369650007
4268511000006116	total hysterectomy	^ESCTTO426851		116140006
4351761000006116	specimen from ovary obtained by hysterectomy with salpingo-oophorectomy	^ESCTSP435176		122712006
5101711000006111	elective caesarean hysterectomy	^ESCTEL510171		236988000
2985601000006117	vaginal hysterectomy with total colpectomy and repair of enterocele	^ESCTVA298560		30160001
7642471000006114	robot assisted laparoscopic vaginal hysterectomy	^ESCTRO764247		708985003
3507981000006112	anaesthesia for radical hysterectomy	^ESCTAN350798		62022005
5989641000006116	hysterectomy sample	^ESCTHY598964		309501000
4268581000006111	tah bso - total abdominal hysterectomy and bilateral salpingo-oophorectomy	^ESCTTA426858		116144002
3161311000006116	total hysterectomy after caesarean delivery	^ESCTTO316131		41059002
114571000006114	tah - tot abdom hysterectomy and bso - bilat salpingophorect	7E049	7E04900	116144002
1894241000006112	subtotal abdominal hysterectomy with bilat salpingo-oophorectomy	EMISNQSU74		1894241000006108
1894251000006114	radical hysterectomy with bilateral salpingo-oophorectomy	EMISNQRA14		1894251000006105
1894281000006118	subtotal abdominal hysterectomy and left salpingo-oophorectomy	EMISNQSU76		1894281000006102
7472451000006119	hysterectomy scissors	^ESCTHY747245		470507004
970871000006112	laparoscopic hysterectomy	EMISNQLA1		970871000006108
870081000006110	hysterectomy	7E04-99	7E04.99	116141005
6583881000006119	specimen from ovary obtained by hysterectomy with left salpingo-oophorectomy	^ESCTSP658388		397246008
184451014	abdominal hysterectomy	7E04-1	7E04.11	116141005
393638016	endoscopic excision of lesion of uterus	7E0D0	7E0D000	265065000
5101721000006115	elective cesarean hysterectomy	^ESCTEL510172		236988000
7527111000006115	vaginal hysterectomy with repair of cystocoele and rectocoele	^ESCTVA752711		699789005
5100131000006112	laparoscopic radical hysterectomy	^ESCTLA510013		236891001
3932371000006113	removal of ectopic interstitial uterine pregnancy requiring total hysterectomy	^ESCTRE393237		88144003
7508481000006114	history of supracervical hysterectomy	^ESCTHI750848		698448004
445901016	vaginal hysterocolpectomy	7E052	7E05200	309880009
216331000006113	post-hysterectomy vaginal vault prolapse	K515	K515.00	42116007
978071000006115	laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy	7E04B	7E04B00	414575003
4351591000006116	specimen from uterine cervix obtained by hysterectomy	^ESCTSP435159		122700007
3540773010	total hysterectomy with right salpingectomy	^ESCT1168377		740514001
12058951000006117	total hysterectomy via vaginal approach	^ESCT1205895		767610009
6474981000006110	supracervical hysterectomy	^ESCTSU647498		387644004
3906201000006115	total hysterectomy with removal of both tubes and ovaries	^ESCTTO390620		86477000
3470321000006113	total hysterectomy with unilateral removal of tube and ovary	^ESCTTO347032		59750000
12031501000006118	hysterectomy and right salpingo-oophorectomy sample	^ESCT1203150		765470006
7489161000006112	laparoscopic assisted vaginal hysterectomy with repair of cystocele and rectocele	^ESCTLA748916		608807008
5100121000006114	classic semm laparoscopic hysterectomy	^ESCTCL510012		236890000
5483151000006114	colpohysterectomy	^ESCTCO548315		265056007
5729301000006111	hysterectomy in pregnancy	^ESCTHY572930		288043009
4801591000006113	delivery by cesarean hysterectomy	^ESCTDE480159		200150009
3733171000006110	lavh (laparoscopy assisted vaginal hysterectomy)	^ESCTLA373317		75835007
3079101000006119	vaginal hysterocolpectomy and excision of parametrium	^ESCTVA307910		35955002
3161291000006115	cesarean hysterectomy	^ESCTCE316129		41059002
3079061000006117	radical vaginal hysterocolpectomy	^ESCTRA307906		35955002
871621000006114	hysterectomy in pregnancy	7F1A0-98	7F1A098	288043009
273730012	abdominal excision of uterus nos	7E04z	7E04z00	116141005
273744018	vaginal excision of uterus nos	7E05z	7E05z00	265056007
1894971000006114	vaginal hysterectomy and left salpingo-oophorectomy	EMISNQVA15		1894971000006105
851411000006118	total hysterectomy & bso	EMISR4QTO1		851411000006102
853791000006118	total hysterectomy	EGTON294		853791000006102
2474693018	vaginal hysterectomy with conservation of ovaries	7E055	7E05500	413145007
355049018	laparoscopic hysterectomy	7E04C	7E04C00	236887006
6328561000006111	trophoblast, hysterectomy cervical/vaginal surgical margin, involved by tumor	^ESCTTR632856		369655002
6474971000006112	subtotal hysterectomy	^ESCTSU647497		387643005
2935561000006114	vaginal hysterectomy with partial colpectomy and repair of enterocele	^ESCTVA293556		27185000
6722181000006113	college of american pathologists cancer checklist; endometrium: hysterectomy, with or without other organs or tissues	^ESCTCO672218		406035007
7640791000006117	robot assisted laparoscopic total hysterectomy	^ESCTRO764079		708877008
6208811000006113	mayo operation for vaginal hysterectomy	^ESCTMA620881		359977003
7083101000006118	history of total hysterectomy	^ESCTHI708310		428078001
220401000000111	abdominal hysterectomy and left salpingo-oophorectomy	7E047-1	7E04711	302191001
5100101000006116	laparoscopic total hysterectomy	^ESCTLA510010		236888001
7108311000006116	history of total hysterectomy with bilateral salpingo-oophorectomy	^ESCTHI710831		429763009
3525282012	no vaginal papanicolaou smear required due to history of hysterectomy	^ESCT1170558		71911000119106
12058971000006110	total abdominal hysterectomy using intrafascial technique	^ESCT1205897		767611008
6328531000006119	trophoblast, hysterectomy surgical margin, involved by tumour	^ESCTTR632853		369654003
2883971000006114	hysterectomy for removal of hydatidiform mole	^ESCTHY288397		24068006
7489111000006114	laparoscopic assisted vaginal hysterectomy with repair of cystocoele	^ESCTLA748911		608805000
7640821000006114	laparoscopic radical hysterectomy using robotic assistance	^ESCTLA764082		708878003
7328091000006110	total laparoscopic excision of uterus by abdominal approach	^ESCTTO732809		446679008
7565821000006117	sampling of vagina for papanicolaou smear after benign hysterectomy	^ESCTSA756582		702735009
436641000006115	abdominal hysterectomy and excision of periuterine tissue	7E041	7E04100	447771005
1924981000006111	subtotal abdominal hysterectomy and bilateral salpingo-oophorectomy	7E04H	7E04H00	918381000000103
114581000006112	tah - total abdominal hysterectomy and bilateral salpingo-oophorectomy	7E045-2	7E04512	116144002
12058961000006115	vaginal total hysterectomy	^ESCT1205896		767610009
58151000006116	ward vaginal hysterectomy	7E05y-1	7E05y11	265056007
273914013	other specified other excision of adnexa of uterus	7E12y	7E12y00	176757001
6583871000006117	specimen from ovary obtained by hysterectomy with right salpingo-oophorectomy	^ESCTSP658387		397245007
871631000006112	hysterectomy + fetus removal	7F1A0-99	7F1A099	41059002
486325012	schauta radical vaginal hysterectomy	7E05-1	7E05.11	35955002
401561016	no smear - benign hysterectomy	685H	685H.00	268544001
273886018	bilateral excision of adnexa of uterus	7E10	7E10.00	176901003
184456016	radical hysterectomy	7E046	7E04600	116142003
3537342013	supracervical hysterectomy with left salpingo-oophorectomy	^ESCT1168344		739669004
7527121000006111	vaginal hysterectomy with repair of cystocele and rectocele	^ESCTVA752712		699789005
7101171000006119	history of radical hysterectomy	^ESCTHI710117		429290001
7232921000006115	partial hysterectomy for removal of cornual ectopic pregnancy	^ESCTPA723292		440148001
8450661000006112	abdominal hysterectomy with sacrocolpopexy using mesh	^ESCTAB845066		1076221000000107
6474991000006113	supracervical hysterectomy without removal of tube or ovary	^ESCTSU647499		387644004
6475001000006118	bell-buettner operation for subtotal abdominal hysterectomy	^ESCTBE647500		387645003
6722421000006117	college of american pathologists cancer checklist; fallopian tube: unilateral salpingectomy, salpingo-oophorectomy, or hysterectomy with salpingo-oophorectomy	^ESCTCO672242		406059002
6626281000006110	trophoblastic tissue obtained by hysterectomy	^ESCTTR662628		399658009
5101691000006113	emergency caesarean hysterectomy	^ESCTEM510169		236987005
5989621000006111	hysterectomy and unilateral salpingo-oophorectomy sample	^ESCTHY598962		309500004
3415051000006119	anaesthesia for vaginal hysterectomy	^ESCTAN341505		56315007
6474951000006119	partial hysterectomy	^ESCTPA647495		387643005
6328551000006114	trophoblast, hysterectomy cervical/vaginal surgical margin, involved by tumour	^ESCTTR632855		369655002
8033341000006118	vaginal papanicolaou smear after hysterectomy for non-malignant condition done	^ESCTVA803334		106411000119105
3526798012	abdominal hysterectomy with sacrocolpopexy using mesh	^ESCT1167385		737099004
5989661000006117	specimen from uterus obtained by hysterectomy	^ESCTSP598966		309501000
7565811000006113	sampling of vagina for papanicolaou smear after hysterectomy for dysplasia of cervix	^ESCTSA756581		702734008
5100111000006118	laparoscopic supracervical hysterectomy	^ESCTLA510011		236889009
3517498019	no vaginal pap smear required due to history of hysterectomy	^ESCT1170557		71911000119106
12723321000006117	abdominal excision of uterus nos	^ESCT1272332		547111000000105
3537350016	total hysterectomy with left salpingo-oophorectomy	^ESCT1168348		739673001
9322181000006116	history of total hysterectomy without abnormal cervical papanicolaou smear	^ESCTHI932218		1.07388910001e+16
3161301000006119	total hysterectomy after cesarean delivery	^ESCTTO316130		41059002
3733151000006117	laparoscopic-assisted vaginal hysterectomy	^ESCTLA373315		75835007
1658651000006116	subtotal abdominal hysterectomy with conservation of ovaries	7E04F	7E04F00	176795006
64601000006112	vaginal hysterocolpectomy and excision of periuterine tissue	7E050	7E05000	448539002
436581000006110	abdominal excision of uterus	7E04	7E04.00	116141005
273907011	unilateral excision of adnexa of uterus nos	7E11z	7E11z00	176907004
1894271000006116	subtotal abdominal hysterectomy and right salpingo-oophorectomy	EMISNQSU75		1894271000006100
2548931012	cervical smear to continue post hysterectomy	9O8W	9O8W.00	416419004
393622010	vaginal hysterectomy	7E05-2	7E05.12	265056007
7565801000006110	sampling of vagina for papanicolaou smear after hysterectomy for malignant disease	^ESCTSA756580		702733002
3002881000006117	excision of septum of uterus	^ESCTEX300288		31191000
7381821000006115	excision of adnexa of uterus	^ESCTEX738182		450669005
7093951000006116	history of hysterectomy for benign disease	^ESCTHI709395		428804004
6386391000006118	glandular cells status post hysterectomy	^ESCTGL638639		373876002
2948721000006119	total hysterectomy with unilateral removal of ovary	^ESCTTO294872		27950001
3380441000006111	excision of uterus and supporting structures	^ESCTEX338044		54261007
4351671000006118	specimen from endometrium obtained by hysterectomy	^ESCTSP435167		122705002
6208891000006115	vaginal panhysterectomy	^ESCTVA620889		359980002
5729281000006112	hysterectomy and foetus removal	^ESCTHY572928		288042004
445900015	abdominal hysterocolpectomy	7E042	7E04200	309879006
436681000006114	abdominal hysterectomy and right salpingo-oophorectomy	7E047	7E04700	302190000
1701941000006119	laparoscopy assisted vaginal hysterectomy with bilateral salpingo-oophorectomy	7E056	7E05600	441820006
1925001000006119	subtotal abdominal hysterectomy and left salpingo-oophorectomy	7E04K	7E04K00	918431000000109
