medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	observations
4007451000006110	Carcinoma in situ of lung	^ESCTCA400745		92649001	1
153239014	Carcinoma in situ of main bronchus	B8121	B812100	92650001	700
290893012	Carcinoma in situ of male genital organs NOS	B836z	B836z00	92653004	7
153246017	Carcinoma in situ of mastoid air cells	B81y5	B81y500	92654005	10
153247014	Carcinoma in situ of maxillary sinus	B81y6	B81y600	92655006	500
153248016	Carcinoma in situ of Meckel's diverticulum	B8073	B807300	92656007	30
1217275015	Carcinoma in situ of middle 1/3 oesophagus	B8011	B801100	92658008	100
290792013	Carcinoma in situ of middle lobe bronchus and lung	B8123	B812300	189266009	90
4007571000006118	Carcinoma in situ of middle third of oesophagus	^ESCTCA400757		92658008	40
4007621000006115	Carcinoma in situ of mouth	^ESCTCA400762		92660005	30
153256018	Carcinoma in situ of nasal cavity	B81y1	B81y100	92663007	300
535981000006118	Carcinoma in situ of nasal sinuses	B81y-1	B81y.11	189251006	100
153258017	Carcinoma in situ of nasopharynx	B8007	B800700	92664001	800
201640017	Carcinoma in situ of oesophagus	B801	B801.00	92585006	6000
290732010	Carcinoma in situ of oesophagus NOS	B801z	B801z00	92585006	500
510061019	Carcinoma in situ of oral cavity	B800-1	B800.11	92660005	70
13652411000006113	Carcinoma in situ of oral cavity	^ESCT1365241		785798002	1000
153265013	Carcinoma in situ of oropharynx	B8008	B800800	92668003	1000
290773011	Carcinoma in situ of other and unspecified digestive organs	B80z	B80z.00	109850001	20
403735010	Carcinoma in situ of other and unspecified parts of uterus	B832	B832.00	92594000	700
290895017	Carcinoma in situ of other and unspecified sites	B8y	B8y..00	109355002	200
290758010	Carcinoma in situ of other and unspecified small intestine	B807	B807.00	109850001	200
290896016	Carcinoma in situ of other specified site	B8yy	B8yy.00	109355002	100
290900018	Carcinoma in situ of other specified site NOS	B8yyz	B8yyz00	109355002	100
290865013	Carcinoma in situ of other specified sites of skin	B82y	B82y.00	92749008	70
153267017	Carcinoma in situ of ovary	B8330	B833000	92669006	4000
153268010	Carcinoma in situ of palate	B8006	B800600	92670007	300
153272014	Carcinoma in situ of pancreas	B80z0	B80z000	92672004	7000
4007861000006110	Carcinoma in situ of pancreatic duct	^ESCTCA400786		92673009	1
153276012	Carcinoma in situ of parathyroid gland	B8yy2	B8yy200	92675002	200
153280019	Carcinoma in situ of penis	B835	B835.00	92679008	2000
153282010	Carcinoma in situ of perianal skin	B8258	B825800	92680006	50
153283017	Carcinoma in situ of pharynx	B800-2	B800.12	92681005	600
153286013	Carcinoma in situ of pituitary gland	B8yy3	B8yy300	92683008	200
153288014	Carcinoma in situ of pleura	B81y0	B81y000	92685001	70
153295017	Carcinoma in situ of prostate	B834	B834.00	92691004	100000
153296016	Carcinoma in situ of pyloric antrum	B8023	B802300	92692006	100
510074013	Carcinoma in situ of pyloric canal	B8024	B802400	92693001	30
4008091000006112	Carcinoma in situ of pylorus	^ESCTCA400809		92693001	4
153299011	Carcinoma in situ of rectosigmoid junction	B8040	B804000	92695008	3000
153300015	Carcinoma in situ of rectum	B8041	B804100	92696009	3000
290751016	Carcinoma in situ of rectum and rectosigmoid junction	B804	B804.00	189231007	200
290752011	Carcinoma in situ of rectum or rectosigmoid junction NOS	B804z	B804z00	126837005	200
4008161000006117	Carcinoma in situ of renal pelvis	^ESCTCA400816		92697000	3
290804014	Carcinoma in situ of respiratory organ NOS	B81z	B81z.00	189251006	20
14474631000006110	Carcinoma in situ of right breast	^ESCT1447463		353631000119105	2
4008221000006118	Carcinoma in situ of right upper lobe of lung	^ESCTCA400822		92703004	1
4007811000006112	Carcinoma in situ of roof of mouth	^ESCTCA400781		92670007	1
4170371000006113	Carcinoma in situ of salivary duct	^ESCTCA417037		109827007	1
536301000006117	Carcinoma in situ of salivary gland	B8002	B800200	189212001	500
4170361000006118	Carcinoma in situ of salivary gland duct	^ESCTCA417036		109827007	1
290822012	Carcinoma in situ of scalp	B8240	B824000	189292002	400
290821017	Carcinoma in situ of scalp and skin of neck	B824	B824.00	189291009	80
290824013	Carcinoma in situ of scalp or skin of neck NOS	B824z	B824z00	189291009	20
153311011	Carcinoma in situ of scrotum	B8363	B836300	92706007	40
153313014	Carcinoma in situ of sigmoid colon	B8033	B803300	92708008	10000
153358015	Carcinoma in situ of skin	B82	B82..00	92749008	2000
290866014	Carcinoma in situ of skin NOS	B82z	B82z.00	92749008	200
290830013	Carcinoma in situ of skin of abdominal wall	B8254	B825400	189300003	40
290808012	Carcinoma in situ of skin of auricle	B8220	B822000	189279000	80
153317010	Carcinoma in situ of skin of axilla	B8252	B825200	92712002	60
153318017	Carcinoma in situ of skin of back	B8253	B825300	92713007	60
153319013	Carcinoma in situ of skin of breast	B8250	B825000	92714001	1000
153320019	Carcinoma in situ of skin of buttock	B8257	B825700	92715000	10
153321015	Carcinoma in situ of skin of cheek	B8233	B823300	92716004	200
290827018	Carcinoma in situ of skin of chest wall NOS	B8251	B825100	189295000	100
537011000006119	Carcinoma in situ of skin of ear and external auricular canal	B822	B822.00	255144005	70
290809016	Carcinoma in situ of skin of external auricular canal	B8221	B822100	189280002	7
153327016	Carcinoma in situ of skin of eyebrow	B8231	B823100	92722008	40
290806011	Carcinoma in situ of skin of eyelid including canthus	B821	B821.00	189277003	200
153332015	Carcinoma in situ of skin of foot	B8274	B827400	92726006	20
4008481000006115	Carcinoma in situ of skin of forehead	^ESCTCA400848		92728007	1
1235762013	Carcinoma in situ of skin of forehead skin	B8230	B823000	92728007	200
153335018	Carcinoma in situ of skin of groin	B8255	B825500	92729004	30
153336017	Carcinoma in situ of skin of hand	B8263	B826300	92730009	100
153337014	Carcinoma in situ of skin of hip	B8270	B827000	92731008	6
290819010	Carcinoma in situ of skin of jaw	B8236	B823600	189289001	90
153338016	Carcinoma in situ of skin of knee	B8272	B827200	92732001	40
536561000006111	Carcinoma in situ of skin of leg	B827-1	B827.11	92735004	2000
153340014	Carcinoma in situ of skin of lip	B820	B820.00	92734000	30
290839014	Carcinoma in situ of skin of lower arm	B8262	B826200	189309002	80
290849012	Carcinoma in situ of skin of lower leg	B8273	B827300	189317005	800
290843013	Carcinoma in situ of skin of lower limb	B827	B827.00	92735004	2000
290851011	Carcinoma in situ of skin of lower limb or hip NOS	B827z	B827z00	92735004	20
153343011	Carcinoma in situ of skin of neck	B8241	B824100	92736003	200
153344017	Carcinoma in situ of skin of nose	B8234	B823400	92737007	200
536641000006113	Carcinoma in situ of skin of other parts of face	B823	B823.00	92749008	200
536651000006110	Carcinoma in situ of skin of other parts of face NOS	B823z	B823z00	92749008	10
153345016	Carcinoma in situ of skin of perineum	B8256	B825600	92738002	20
153348019	Carcinoma in situ of skin of shoulder	B8260	B826000	92741006	30
290818019	Carcinoma in situ of skin of temple	B8235	B823500	189288009	100
153350010	Carcinoma in situ of skin of thigh	B8271	B827100	92743009	80
4008681000006117	Carcinoma in situ of skin of trunk	^ESCTCA400868		92745002	1
290835015	Carcinoma in situ of skin of trunk NOS	B825z	B825z00	189295000	30
290825014	Carcinoma in situ of skin of trunk, excluding scrotum	B825	B825.00	189295000	10
290838018	Carcinoma in situ of skin of upper arm	B8261	B826100	189308005	60
290836019	Carcinoma in situ of skin of upper limb and shoulder	B826	B826.00	189306009	30
290841010	Carcinoma in situ of skin of upper limb or shoulder NOS	B826z	B826z00	189306009	8
153363016	Carcinoma in situ of spermatic cord	B8362	B836200	92752000	10
153364010	Carcinoma in situ of sphenoidal sinus	B81y9	B81y900	92753005	30
290771013	Carcinoma in situ of sphincter of Oddi	B8087	B808700	189246000	6
153365011	Carcinoma in situ of spleen	B80z1	B80z100	92754004	70
4755801000006111	Carcinoma in situ of splenic flexure	^ESCTCA475580		189229003	70
290749015	Carcinoma in situ of splenic flexure of colon	B8037	B803700	189229003	500
153367015	Carcinoma in situ of stomach	B802	B802.00	92756002	3000
290741017	Carcinoma in situ of stomach NOS	B802z	B802z00	92756002	900
4008891000006115	Carcinoma in situ of supraglottis	^ESCTCA400889		92761000	2
153376010	Carcinoma in situ of testis	B8360	B836000	92764008	1000
153380017	Carcinoma in situ of thyroid	B8yy0	B8yy000	92767001	10000
290777012	Carcinoma in situ of thyroid cartilage	B8100	B810000	189252004	500
4008941000006119	Carcinoma in situ of thyroid gland	^ESCTCA400894		92767001	60
153382013	Carcinoma in situ of tongue	B8001	B800100	92769003	5000
153386011	Carcinoma in situ of trachea	B811	B811.00	92772005	100
153388012	Carcinoma in situ of transverse colon	B8031	B803100	92773000	1000
290801018	Carcinoma in situ of tympanic antrum	B81y3	B81y300	189272009	1
290800017	Carcinoma in situ of tympanic cavity	B81y2	B81y200	189271002	1
1217276019	Carcinoma in situ of upper 1/3 oesophagus	B8010	B801000	92780003	40
290791018	Carcinoma in situ of upper lobe bronchus and lung	B8122	B812200	189265008	1000
4009111000006113	Carcinoma in situ of upper outer quadrant of female breast	^ESCTCA400911		92778009	1
4009131000006119	Carcinoma in situ of upper third of oesophagus	^ESCTCA400913		92780003	7
4009221000006110	Carcinoma in situ of urethra	^ESCTCA400922		92784007	6
290894018	Carcinoma in situ of urinary organs NOS	B83z	B83z.00	255150000	90
370171000006111	Carcinoma in situ of urinary tract proper	ByuFD	ByuFD00	255150000	60
12703551000006113	Carcinoma in situ of urinary tract proper	^ESCT1270355		255150000	1
543771000006118	Carcinoma in situ of uterine cervix	B831-3	B831.13	92564006	10000
153410011	Carcinoma in situ of vagina	B8332	B833200	92791005	800
290784016	Carcinoma in situ of vestibular fold	B8107	B810700	189259008	6
4009511000006117	Carcinoma in situ of vocal cord	^ESCTCA400951		92801005	5
510045016	Carcinoma in situ of vocal fold - glottis	B8108	B810800	92603005	1000
153422014	Carcinoma in situ of vulva	B8333	B833300	92802003	6000
536981000006110	Carcinoma in situ other and unspecified female genital organ	B833	B833.00	92594000	30
536991000006113	Carcinoma in situ other and unspecified male genital organs	B836	B836.00	92653004	5
537001000006117	Carcinoma in situ other and unspecified small intestine NOS	B807z	B807z00	109850001	7
537021000006110	Carcinoma in situ skin of ear/external auricular canal NOS	B822z	B822z00	92724009	30
5352371000006114	Cervical ACIS (adenocarcinoma in situ)	^ESCTCE535237		254890008	1
557401000006113	CIN III - carcinoma in situ of cervix	B831-1	B831.11	92564006	10000
153129011	CIS - Carcinoma in situ of cervix	B831	B831.00	92564006	20000
3908501000006119	Ductal carcinoma in situ	^ESCTDU390850		86616005	80
6377441000006111	Ductal carcinoma in situ (breast)	^ESCTDU637744		373176000	20
4413231000006118	Ductal carcinoma in situ, micropapillary	^ESCTDU441323		128696009	1
2992301000006119	Ductal carcinoma in situ, papillary	^ESCTDU299230		30566004	1
4419131000006110	Ductal carcinoma in situ, solid type	^ESCTDU441913		128880009	1
4161811000006110	In situ malignant melanoma of skin	^ESCTIN416181		109266006	200
4161831000006116	In situ melanoma of skin	^ESCTIN416183		109266006	500
6667061000006116	In situ superficial spreading malignant melanoma	^ESCTIN666706		402556000	1
2796431000006114	Intraductal carcinoma and lobular carcinoma in situ	^ESCTIN279643		18680006	40
174577011	Intraductal carcinoma in situ of breast	B8301	B830100	109889007	20000
7487891000006115	Intraductal papillary mucinous carcinoma in situ of pancreas	^ESCTIN748789		473419009	300
4161801000006112	ISM - In situ melanoma of skin	^ESCTIS416180		109266006	3
3756791000006118	LCIS - Lobular carcinoma in situ	^ESCTLC375679		77284006	9
311221000006116	Lobular carcinoma in situ	BB9E	BB9E.00	77284006	500
174576019	Lobular carcinoma in situ of breast	B8300	B830000	109888004	10000
13686131000006119	Lobular carcinoma in situ of left breast	^ESCT1368613		354341000119108	3
13686151000006114	Lobular carcinoma in situ of right breast	^ESCT1368615		354471000119108	3
1234193010	Melanoma in situ	BBEX	BBEX.00	77986002	7000
14419461000006113	Melanoma in situ	^ESCT1441946		189758001	400
711181000006112	Melanoma in situ by body site	B828W	B828W00	127330008	1000
459719019	Melanoma in situ of back	B8289	B828900	315230006	2000
459501013	Melanoma in situ of back of hand	B8288	B828800	315036008	20
7835321000006115	Melanoma in situ of conjunctiva	^ESCTME783532		722689005	1
4162001000006110	Melanoma in situ of ear	^ESCTME416200		109278005	2
711081000006111	Melanoma in situ of ear and external auricular canal	B8282	B828200	109278005	70
173823013	Melanoma in situ of eyelid, including canthus	B8281	B828100	109274007	60
292203017	Melanoma in situ of face	ByuF5	ByuF500	109270003	200
14478071000006110	Melanoma in situ of left lower limb	^ESCT1447807		1080931000119100	1
173821010	Melanoma in situ of lip	B8280	B828000	109272006	20
711111000006117	Melanoma in situ of lower limb	B8286	B828600	109294003	700
4162061000006111	Melanoma in situ of neck	^ESCTME416206		109282007	5
711121000006113	Melanoma in situ of other and unspecified parts of face	B828X	B828X00	109270003	300
