medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
2720	2925	45	0	0	7717500	Partial colectomy NEC	February 2009
1222	13202	77	0	0	7713.11	Other right hemicolectomy	February 2009
37353	42	0	0	0	7716000	Sigmoid colectomy+end to end anastomosis of ileum to rectum	February 2009
109340	2	0	0	0	7712400	Extended right hemicolectomy and end to side anastomosis	March 2015
599	651	46	0	0	7713300	Right hemicolectomy and ileostomy however further qualified	February 2009
44905	170	3	0	0	7716100	Sigmoid colectomy and anastomosis of colon to rectum	February 2009
50208	17	0	0	0	7714000	Transverse colectomy and end to end anastomosis	February 2009
6951	5561	27	0	0	7712.11	Extended right hemicolectomy	February 2009
43422	83	0	0	0	7716300	Sigmoid colectomy and ileostomy however further qualified	February 2009
56171	83	0	0	0	7710111	Parks panproctocolectomy, ileoanal anastom & creation pouch	February 2009
7961	2267	17	0	0	7717.11	Other colectomy	February 2009
9543	4805	31	0	0	7715.11	Left hemicolectomy	February 2009
34002	214	2	0	0	7716200	Sigmoid colectomy and anastomosis NEC	February 2009
41828	543	2	0	0	7713000	Right hemicolectomy+end to end anastomosis of ileum to colon	February 2009
64759	20	0	0	0	7715400	Left hemicolectomy and exteriorisation of bowel NEC	February 2009
7842	2352	12	0	0	7717300	Colectomy and ileostomy NEC	February 2009
28547	209	1	0	0	7711000	Total colectomy and anastomosis of ileum to rectum	February 2009
48863	76	1	0	0	7710100	Panproctocolectomy anast ileum to anus & pouch creation HFQ	February 2009
16911	1853	13	1	0	7710.11	Panproctocolectomy	February 2009
18567	1100	1	0	0	7710.12	Total proctocolectomy	February 2009
4384	13608	202	5	0	7716.11	Sigmoid colectomy	February 2009
3356	677	1	0	0	7714.11	Transverse colectomy	February 2009
2722	1066	72	0	0	7710300	Proctocolectomy NEC	February 2009
2904	4649	65	0	0	7711.11	Total colectomy	February 2009
