medcode	readcode	desc
7057	G2z..00	Hypertensive disease NOS
3979	G672.00	Hypertensive encephalopathy
31816	G672.11	Hypertensive crisis
69753	Gyu2.00	[X]Hypertensive diseases
102458	Gyu2000	[X]Other secondary hypertension
97533	Gyu2100	[X]Hypertension secondary to other renal disorders
9170	L12..00	Hypertension complicating pregnancy/childbirth/puerperium
37344	L120000	Benign essential hypertension in preg/childb/puerp unspec
44912	L120100	Benign essential hypertension in preg/childb/puerp - deliv
61408	L120300	Benign essential hypertension in preg/childb/puerp-not deliv
34136	L120z00	Benign essential hypertension in preg/childb/puerp NOS
64127	L121000	Renal hypertension in pregnancy/childbirth/puerp unspecified
71717	L121100	Renal hypertension in pregnancy/childbirth/puerp - delivered
66567	L122.00	Other pre-existing hypertension in preg/childbirth/puerp
73586	L122000	Other pre-existing hypertension in preg/childb/puerp unspec
72030	L122100	Other pre-existing hypertension in preg/childb/puerp - deliv
96743	L122300	Other pre-exist hypertension in preg/childb/puerp-not deliv
62432	L122z00	Other pre-existing hypertension in preg/childb/puerp NOS
20439	L123.00	Transient hypertension of pregnancy
55338	L123000	Transient hypertension of pregnancy unspecified
54942	L123100	Transient hypertension of pregnancy - delivered
67035	L123200	Transient hypertension of pregnancy - deliv with p/n comp
71730	L123300	Transient hypertension of pregnancy - not delivered
70342	L123400	Transient hypertension of pregnancy + postnatal complication
35646	L123z00	Transient hypertension of pregnancy NOS
43664	L127.00	Pre-eclampsia or eclampsia with pre-existing hypertension
47741	L127000	Pre-eclampsia or eclampsia with hypertension unspecified
42947	L127100	Pre-eclampsia or eclampsia with hypertension - delivered
53160	L127300	Pre-eclampsia or eclampsia with hypertension - not delivered
93055	L127z00	Pre-eclampsia or eclampsia + pre-existing hypertension NOS
44549	L128.00	Pre-exist hypertension compl preg childbirth and puerperium
60655	L128000	Pre-exist hyperten heart dis compl preg childbth+puerperium
52621	L128200	Pre-exist 2ndry hypertens comp preg childbth and puerperium
34173	L12B.00	Proteinuric hypertension of pregnancy
40723	L12z.00	Unspecified hypertension in pregnancy/childbirth/puerperium
41949	L12z000	Unspecified hypertension in preg/childb/puerp unspecified
44068	L12z100	Unspecified hypertension in preg/childb/puerp - delivered
26631	Q000.00	Fetus or neonate affected by maternal hypertensive disease
30795	Q492.00	Neonatal hypertension
63260	SLC6z00	Hypertensive agent poisoning NOS
21660	TJC7.00	Adverse reaction to other antihypertensives
20497	TJC7z00	Adverse reaction to antihypertensives NOS
63164	U60C500	[X]Oth antihyperten drug caus advers eff in therap use, NEC
30770	U60C511	[X] Adverse reaction to other antihypertensives
44350	U60C51A	[X] Adverse reaction to antihypertensives NOS
