icd	desc	class_str	subclass_str	ca_of_interest	secondary_ca	history_ca
C959	LEUKAEMIA, UNSPECIFIED	haematological	leukaemia	1		
Z856	[V]Personal history of leukaemia	haematological	leukaemia	1		1
D46	Myelodysplastic syndromes	haematological		1		
D460	Refractory anemia without ring sideroblasts	haematological		1		
D461	Refractory anemia with ring sideroblasts	haematological		1		
D462	Refractory anemia with excess blasts	haematological		1		
D463	REFRACTORY ANAEMIA WITH EXCESS OF BLASTS WITH TRANSFORMATION	haematological		1		
D464	Refractory anaemia, unspecified	haematological		1		
D465	Refractory anaemia with multi-lineage dysplasia	haematological		1		
D466	Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality	haematological		1		
D467	Other myelodysplastic syndromes	haematological		1		
D469	Myelodysplastic syndrome, unspecified	haematological		1		
D45	Polycythemia vera (excess red blood cells)	haematological		1		
D47	Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	haematological		1		
D470	Histiocytic and mast cell tumours of uncertain and unknown behaviour	haematological		1		
D471	Chronic myeloproliferative disease	haematological		1		
D472	Monoclonal gammopathy of undetermined significance (MGUS)	haematological		1		
D473	Essential thrombocythemia (excess platelets)	haematological		1		
D474	Osteomyelofibrosis (abnormal mast cell growth, related to leukemia)	haematological		1		
D477	Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	haematological		1		
D479	Neoplasm of uncertain behavior of lymphoid, hematopoietic, and related tissue	haematological		1		
D761	Hemophagocytic lymphohistiocytosis (HLH)	haematological		1		
