icd	desc	class_str	subclass_str	ca_of_interest	secondary_ca	history_ca
C95.1	Chronic leukaemia NOS	haematological	leukaemia	1		
C93.3	Juvenile myelomonocytic leukaemia	haematological	leukaemia	1		
C91.8	[M]Burkitt's cell leukaemia	haematological	leukaemia	1		
C94.2	[M]Acute megakaryoblastic leukaemia	haematological	leukaemia	1		
C91.7	[X]Other lymphoid leukaemia	haematological	leukaemia	1		
C92.7	[X]Other myeloid leukaemia	haematological	leukaemia	1		
C93.7	[X]Other monocytic leukaemia	haematological	leukaemia	1		
C94.7	[X]Other specified leukaemias	haematological	leukaemia	1		
C95.7	[X]Other leukaemia of unspecified cell type	haematological	leukaemia	1		
C95.9	LEUKAEMIA, UNSPECIFIED	haematological	leukaemia	1		
Z85.6	[V]Personal history of leukaemia	haematological	leukaemia	1		1
D46	Myelodysplastic syndromes	haematological		1		
D46.0	Refractory anemia without ring sideroblasts	haematological		1		
D46.1	Refractory anemia with ring sideroblasts	haematological		1		
D46.2	Refractory anemia with excess blasts	haematological		1		
D46.3	REFRACTORY ANAEMIA WITH EXCESS OF BLASTS WITH TRANSFORMATION	haematological		1		
D46.4	Refractory anaemia, unspecified	haematological		1		
D46.5	Refractory anaemia with multi-lineage dysplasia	haematological		1		
D46.6	Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality	haematological		1		
D46.7	Other myelodysplastic syndromes	haematological		1		
D46.9	Myelodysplastic syndrome, unspecified	haematological		1		
D45	Polycythemia vera (excess red blood cells)	haematological		1		
D47	Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	haematological		1		
D47.0	Histiocytic and mast cell tumours of uncertain and unknown behaviour	haematological		1		
D47.1	Chronic myeloproliferative disease	haematological		1		
D47.2	Monoclonal gammopathy of undetermined significance (MGUS)	haematological		1		
D47.3	Essential thrombocythemia (excess platelets)	haematological		1		
D47.4	Osteomyelofibrosis (abnormal mast cell growth, related to leukemia)	haematological		1		
D47.7	Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	haematological		1		
D47.9	Neoplasm of uncertain behavior of lymphoid, hematopoietic, and related tissue	haematological		1		
D76.1	Hemophagocytic lymphohistiocytosis (HLH)	haematological		1		
