icd	term	class	secondary_ca	history_ca	coding_sys
C39	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs	respiratory and intrathoracic cancer			icd10
C39.0	Upper respiratory tract, part unspecified	respiratory and intrathoracic cancer			icd10
C39.8	Overlapping lesion of respiratory and intrathoracic organs	respiratory and intrathoracic cancer			icd10
C39.9	Ill-defined sites within the respiratory system	respiratory and intrathoracic cancer			icd10
Z85.2	Personal history of malignant neoplasm of other respiratory and intrathoracic organs	respiratory and intrathoracic cancer		1	icd10
C40	Malignant neoplasm of bone and articular cartilage of limbs	bone and cartilage cancer			icd10
C40.0	Scapula and long bones of upper limb	bone and cartilage cancer			icd10
C40.1	Short bones of upper limb	bone and cartilage cancer			icd10
C40.2	Long bones of lower limb	bone and cartilage cancer			icd10
C40.3	Short bones of lower limb	bone and cartilage cancer			icd10
C40.8	Overlapping lesion of bone and articular cartilage of limbs	bone and cartilage cancer			icd10
C40.9	Bone and articular cartilage of limb, unspecified	bone and cartilage cancer			icd10
C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	bone and cartilage cancer			icd10
C41.0	Bones of skull and face	bone and cartilage cancer			icd10
C41.1	Mandible	bone and cartilage cancer			icd10
C41.2	Vertebral column	bone and cartilage cancer			icd10
C41.3	Ribs, sternum and clavicle	bone and cartilage cancer			icd10
C41.4	Pelvic bones, sacrum and coccyx	bone and cartilage cancer			icd10
C41.8	Overlapping lesion of bone and articular cartilage	bone and cartilage cancer			icd10
C41.9	Bone and articular cartilage, unspecified	bone and cartilage cancer			icd10
C43	Malignant melanoma of skin	skin cancer			icd10
C43.0	Malignant melanoma of lip	skin cancer			icd10
C43.1	Malignant melanoma of eyelid, including canthus	skin cancer			icd10
C43.2	Malignant melanoma of ear and external auricular canal	skin cancer			icd10
C43.3	Malignant melanoma of other and unspecified parts of face	skin cancer			icd10
C43.4	Malignant melanoma of scalp and neck	skin cancer			icd10
C43.5	Malignant melanoma of trunk	skin cancer			icd10
C43.6	Malignant melanoma of upper limb, including shoulder	skin cancer			icd10
C43.7	Malignant melanoma of lower limb, including hip	skin cancer			icd10
C43.8	Overlapping malignant melanoma of skin	skin cancer			icd10
C43.9	Malignant melanoma of skin, unspecified	skin cancer			icd10
C44	Other malignant neoplasms of skin	skin cancer			icd10
C44.0	Skin of lip	skin cancer			icd10
C44.1	Skin of eyelid, including canthus	skin cancer			icd10
C44.2	Skin of ear and external auricular canal	skin cancer			icd10
C44.3	Skin of other and unspecified parts of face	skin cancer			icd10
C44.4	Skin of scalp and neck	skin cancer			icd10
C44.5	Skin of trunk	skin cancer			icd10
C44.6	Skin of upper limb, including shoulder	skin cancer			icd10
C44.7	Skin of lower limb, including hip	skin cancer			icd10
C44.8	Overlapping lesion of skin	skin cancer			icd10
C44.9	Malignant neoplasm of skin, unspecified	skin cancer			icd10
D03.5	Melanoma in situ of trunk, including Breast (skin)(soft tissue), Anal margin&skin, Perianal skin 	skin cancer			icd10
C45	Mesothelioma	mesothelial and tissue cancer			icd10
C45.1	Mesothelioma of peritoneum	mesothelial and tissue cancer			icd10
C45.2	Mesothelioma of pericardium	mesothelial and tissue cancer			icd10
C45.7	Mesothelioma of other sites	mesothelial and tissue cancer			icd10
C45.9	Mesothelioma, unspecified	mesothelial and tissue cancer			icd10
C46	Kaposi's sarcoma	mesothelial and tissue cancer			icd10
C46.0	Kaposi sarcoma of skin	mesothelial and tissue cancer			icd10
C46.1	Kaposi sarcoma of soft tissue	mesothelial and tissue cancer			icd10
C46.2	Kaposi sarcoma of palate	mesothelial and tissue cancer			icd10
C46.3	Kaposi sarcoma of lymph nodes	mesothelial and tissue cancer			icd10
C46.4	Kaposi sarcoma of gastrointestinal sites	mesothelial and tissue cancer			icd10
C46.7	Kaposi sarcoma of other sites	mesothelial and tissue cancer			icd10
C46.8	Kaposi sarcoma of multiple organs	mesothelial and tissue cancer			icd10
C46.9	Kaposi's sarcoma, unspecified	mesothelial and tissue cancer			icd10
C47	Malignant neoplasm of peripheral nerves and autonomic nervous system	mesothelial and tissue cancer			icd10
C47.0	Peripheral nerves of head, face, and neck	mesothelial and tissue cancer			icd10
C47.1	Peripheral nerves of upper limb, including shoulder	mesothelial and tissue cancer			icd10
C47.2	Peripheral nerves of lower limb, including hip	mesothelial and tissue cancer			icd10
C47.3	Peripheral nerves of thorax	mesothelial and tissue cancer			icd10
C47.4	Peripheral nerves of abdomen	mesothelial and tissue cancer			icd10
C47.5	Peripheral nerves of pelvis	mesothelial and tissue cancer			icd10
C47.6	Peripheral nerves of trunk, unspecified	mesothelial and tissue cancer			icd10
C47.8	Overlapping lesion of peripheral nerves and autonomic nervous system	mesothelial and tissue cancer			icd10
C47.9	Peripheral nerves and autonomic nervous system, unspecified	mesothelial and tissue cancer			icd10
C48	Malignant neoplasm of retroperitoneum and peritoneum	mesothelial and tissue cancer			icd10
C48.0	Retroperitoneum	mesothelial and tissue cancer			icd10
C48.1	Specified parts of peritoneum	mesothelial and tissue cancer			icd10
C48.2	Peritoneum, unspecified	mesothelial and tissue cancer			icd10
C48.8	Overlapping lesion of retroperitoneum and peritoneum	mesothelial and tissue cancer			icd10
C49	Malignant neoplasm of other connective and soft tissue	mesothelial and tissue cancer			icd10
C49.0	Connective and soft tissue of head, face and neck	mesothelial and tissue cancer			icd10
C49.1	Connective and soft tissue of upper limb, including shoulder	mesothelial and tissue cancer			icd10
C49.2	Connective and soft tissue of lower limb, including hip	mesothelial and tissue cancer			icd10
C49.3	Connective and soft tissue of thorax	mesothelial and tissue cancer			icd10
C49.4	Connective and soft tissue of abdomen	mesothelial and tissue cancer			icd10
C49.5	Connective and soft tissue of pelvis	mesothelial and tissue cancer			icd10
C49.6	Connective and soft tissue of trunk, unspecified	mesothelial and tissue cancer			icd10
C49.8	Overlapping lesion of connective and soft tissue	mesothelial and tissue cancer			icd10
C49.9	Connective and soft tissue, unspecified	mesothelial and tissue cancer			icd10
C51	Malignant neoplasm of vulva	female genital organs			icd10
C51.0	Labium majus	female genital organs			icd10
C51.1	Labium minus	female genital organs			icd10
C51.2	Clitoris	female genital organs			icd10
C51.8	Overlapping lesion of vulva	female genital organs			icd10
C51.9	Vulva, unspecified	female genital organs			icd10
C52	Malignant neoplasm of vagina	female genital organs			icd10
C53	Malignant neoplasm of cervix uteri	female genital organs			icd10
C53.0	Endocervix	female genital organs			icd10
C53.1	Exocervix	female genital organs			icd10
C53.8	Overlapping lesion of cervix uteri	female genital organs			icd10
C53.9	Cervix uteri, unspecified	female genital organs			icd10
C54	Malignant neoplasm of corpus uteri	female genital organs			icd10
C54.0	Isthmus uteri	female genital organs			icd10
C54.1	Endometrium	female genital organs			icd10
C54.2	Myometrium	female genital organs			icd10
C54.3	Fundus uteri	female genital organs			icd10
C54.8	Overlapping lesion of corpus uteri	female genital organs			icd10
C54.9	Corpus uteri, unspecified	female genital organs			icd10
C55	Malignant neoplasm of uterus, part unspecified	female genital organs			icd10
C56	Malignant neoplasm of ovary	female genital organs			icd10
C57	Malignant neoplasm of other and unspecified female genital organs	female genital organs			icd10
C57.0	Fallopian tube	female genital organs			icd10
C57.1	Broad ligament	female genital organs			icd10
C57.2	Round ligament	female genital organs			icd10
C57.3	Parametrium	female genital organs			icd10
C57.4	Uterine adnexa, unspecified	female genital organs			icd10
C57.7	Other specified female genital organs	female genital organs			icd10
C57.8	Overlapping lesion of female genital organs	female genital organs			icd10
C57.9	Female genital organ, unspecified	female genital organs			icd10
C58	Malignant neoplasm of placenta	female genital organs			icd10
C60	Malignant neoplasm of penis	male genital organs			icd10
C60.0	Prepuce	male genital organs			icd10
C60.1	Glans penis	male genital organs			icd10
C60.2	Body of penis	male genital organs			icd10
C60.8	Overlapping lesion of penis	male genital organs			icd10
C60.9	Penis, unspecified	male genital organs			icd10
C62	Malignant neoplasm of testis	male genital organs			icd10
C62.0	Undescended testis	male genital organs			icd10
C62.1	Descended testis	male genital organs			icd10
C62.9	Testis, unspecified	male genital organs			icd10
C63	Malignant neoplasm of other and unspecified male genital organs	male genital organs			icd10
C63.0	Epididymis	male genital organs			icd10
C63.1	Spermatic cord	male genital organs			icd10
C63.2	Scrotum	male genital organs			icd10
C63.7	Other specified male genital organs	male genital organs			icd10
C63.8	Overlapping lesion of male genital organs	male genital organs			icd10
C63.9	Male genital organ, unspecified	male genital organs			icd10
C64	Malignant neoplasm of kidney, except renal pelvis	urinary tract cancer			icd10
C65	Malignant neoplasm of renal pelvis	urinary tract cancer			icd10
C66	Malignant neoplasm of ureter	urinary tract cancer			icd10
C67	Malignant neoplasm of bladder	urinary tract cancer			icd10
C67.0	Trigone of bladder	urinary tract cancer			icd10
C67.1	Dome of bladder	urinary tract cancer			icd10
C67.2	Lateral wall of bladder	urinary tract cancer			icd10
C67.3	Anterior wall of bladder	urinary tract cancer			icd10
C67.4	Posterior wall of bladder	urinary tract cancer			icd10
C67.5	Bladder neck	urinary tract cancer			icd10
C67.6	Ureteric orifice	urinary tract cancer			icd10
C67.7	Urachus	urinary tract cancer			icd10
C67.8	Overlapping lesion of bladder	urinary tract cancer			icd10
C67.9	Bladder, unspecified	urinary tract cancer			icd10
C68	Malignant neoplasm of other and unspecified urinary organs	urinary tract cancer			icd10
C68.0	Urethra	urinary tract cancer			icd10
C68.1	Paraurethral glands	urinary tract cancer			icd10
C68.8	Overlapping lesion of urinary organs	urinary tract cancer			icd10
C68.9	Urinary organ, unspecified	urinary tract cancer			icd10
Z85.5	Personal history of malignant neoplasm of urinary tract	urinary tract cancer		1	icd10
C69	Malignant neoplasm of eye and adnexa	eye cancer			icd10
C69.0	Conjunctiva	eye cancer			icd10
C69.1	Cornea	eye cancer			icd10
C69.2	Retina	eye cancer			icd10
C69.3	Choroid	eye cancer			icd10
C69.4	Ciliary body	eye cancer			icd10
C69.5	Lacrimal gland and duct	eye cancer			icd10
C69.6	Orbit	eye cancer			icd10
C69.8	Overlapping lesion of eye and adnexa	eye cancer			icd10
C69.9	Eye, unspecified	eye cancer			icd10
C70	Malignant neoplasm of meninges	CNS cancer			icd10
C70.0	Cerebral meninges	CNS cancer			icd10
C70.1	Spinal meninges	CNS cancer			icd10
C70.9	Meninges, unspecified	CNS cancer			icd10
C71	Malignant neoplasm of brain	CNS cancer			icd10
C71.0	Cerebrum, except lobes and ventricles	CNS cancer			icd10
C71.1	Frontal lobe	CNS cancer			icd10
C71.2	Temporal lobe	CNS cancer			icd10
C71.3	Parietal lobe	CNS cancer			icd10
C71.4	Occipital lobe	CNS cancer			icd10
C71.5	Ventricle	CNS cancer			icd10
C71.6	Cerebellum	CNS cancer			icd10
C71.7	Brain stem	CNS cancer			icd10
C71.8	Overlapping lesion of brain	CNS cancer			icd10
C71.9	Brain, unspecified	CNS cancer			icd10
C72	Malignant neoplasm of spinal cord, cranial nerves, and other parts of central nervous system	CNS cancer			icd10
C72.0	Spinal cord	CNS cancer			icd10
C72.1	Cauda equina	CNS cancer			icd10
C72.2	Olfactory nerve	CNS cancer			icd10
C72.3	Optic nerve	CNS cancer			icd10
C72.4	Acoustic nerve	CNS cancer			icd10
C72.5	Other cranial nerves	CNS cancer			icd10
C72.8	Overlapping lesion of brain and other parts of central nervous system	CNS cancer			icd10
C72.9	Central nervous system, unspecified	CNS cancer			icd10
C73	Malignant neoplasm of thyroid gland	thyroid or endocrine cancer			icd10
C74	Malignant neoplasm of adrenal gland	thyroid or endocrine cancer			icd10
C74.0	Cortex of adrenal gland	thyroid or endocrine cancer			icd10
C74.1	Medulla of adrenal gland	thyroid or endocrine cancer			icd10
C74.9	Adrenal gland, unspecified	thyroid or endocrine cancer			icd10
C75	Malignant neoplasm of other endocrine glands and related structures	thyroid or endocrine cancer			icd10
C75.0	Parathyroid gland	thyroid or endocrine cancer			icd10
C75.1	Pituitary gland	thyroid or endocrine cancer			icd10
C75.2	Craniopharyngeal duct	thyroid or endocrine cancer			icd10
C75.3	Pineal gland	thyroid or endocrine cancer			icd10
C75.4	Carotid body	thyroid or endocrine cancer			icd10
C75.5	Aortic body and other paraganglia	thyroid or endocrine cancer			icd10
C75.8	Overlapping lesion of endocrine glands and related structures	thyroid or endocrine cancer			icd10
C75.9	Endocrine gland, unspecified	thyroid or endocrine cancer			icd10
C76	Malignant neoplasm of other and ill-defined sites	secondary and unspecified sites	1		icd10
C76.0	Head, face, and neck	secondary and unspecified sites	1		icd10
C76.1	Thorax	secondary and unspecified sites	1		icd10
C76.2	Abdomen	secondary and unspecified sites	1		icd10
C76.3	Pelvis	secondary and unspecified sites	1		icd10
C76.4	Upper limb	secondary and unspecified sites	1		icd10
C76.5	Lower limb	secondary and unspecified sites	1		icd10
C76.7	Other ill-defined sites	secondary and unspecified sites	1		icd10
C76.8	Overlapping lesion of ill-defined sites	secondary and unspecified sites	1		icd10
C77	Secondary and unspecified malignant neoplasm of lymph nodes	secondary and unspecified sites	1		icd10
C77.0	Lymph nodes of head, face, and neck	secondary and unspecified sites	1		icd10
C77.1	Intrathoracic lymph nodes	secondary and unspecified sites	1		icd10
C77.2	Intra-abdominal lymph nodes	secondary and unspecified sites	1		icd10
C77.3	Axilla and upper limb lymph nodes	secondary and unspecified sites	1		icd10
C77.4	Inguinal and lower limb lymph nodes	secondary and unspecified sites	1		icd10
C77.5	Intrapelvic lymph nodes	secondary and unspecified sites	1		icd10
C77.8	Lymph nodes of multiple regions	secondary and unspecified sites	1		icd10
C77.9	Lymph node, unspecified	secondary and unspecified sites	1		icd10
C78	Secondary malignant neoplasm of respiratory and digestive organs	secondary and unspecified sites	1		icd10
C78.1	Secondary malignant neoplasm of mediastinum	secondary and unspecified sites	1		icd10
C78.2	Secondary malignant neoplasm of pleura	secondary and unspecified sites	1		icd10
C78.3	Secondary malignant neoplasm of other and unspecified respiratory organs	secondary and unspecified sites	1		icd10
C78.4	Secondary malignant neoplasm of small intestine	secondary and unspecified sites	1		icd10
C78.6	Secondary malignant neoplasm of retroperitoneum and peritoneum	secondary and unspecified sites	1		icd10
C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct	secondary and unspecified sites	1		icd10
C78.8	Secondary malignant neoplasm of other and unspecified digestive organs	secondary and unspecified sites	1		icd10
C79	Secondary malignant neoplasm of other and unspecified sites	secondary and unspecified sites	1		icd10
C79.0	Secondary malignant neoplasm of kidney and renal pelvis	secondary and unspecified sites	1		icd10
C79.1	Secondary malignant neoplasm of bladder and other and unspecified urinary organs	secondary and unspecified sites	1		icd10
C79.2	Secondary malignant neoplasm of skin	secondary and unspecified sites	1		icd10
C79.3	Secondary malignant neoplasm of brain and cerebral meninges	secondary and unspecified sites	1		icd10
C79.4	Secondary malignant neoplasm of other and unspecified parts of nervous system	secondary and unspecified sites	1		icd10
C79.5	Secondary malignant neoplasm of bone and bone marrow	secondary and unspecified sites	1		icd10
C79.6	Secondary malignant neoplasm of ovary	secondary and unspecified sites	1		icd10
C79.7	Secondary malignant neoplasm of adrenal gland	secondary and unspecified sites	1		icd10
C79.8	Secondary malignant neoplasm of other specified sites	secondary and unspecified sites	1		icd10
C79.9	Secondary malignant neoplasm, unspecified site	secondary and unspecified sites	1		icd10
C80	Malignant neoplasm without specification of site	secondary and unspecified sites	1		icd10
C80.0	Malignant neoplasm, primary site unknown, so stated	secondary and unspecified sites	1		icd10
C80.1	Malignant (primary) neoplasm, unspecified	secondary and unspecified sites	1		icd10
C80.9	Malignant neoplasm, primary site unspecified	secondary and unspecified sites	1		icd10
Z85.8	Personal history of malignant neoplasms of other organs and systems	history		1	icd10
Z85.9	Personal history of malignant neoplasm, unspecified	history		1	icd10
C97	Malignant neoplasms of independent (primary) multiple sites	multiple sites			icd10
