icd	term	class	secondary_ca	history_ca	coding_sys
C400	Scapula and long bones of upper limb	bone and cartilage cancer			icd10
C401	Short bones of upper limb	bone and cartilage cancer			icd10
C402	Long bones of lower limb	bone and cartilage cancer			icd10
C403	Short bones of lower limb	bone and cartilage cancer			icd10
C408	Overlapping lesion of bone and articular cartilage of limbs	bone and cartilage cancer			icd10
C409	Bone and articular cartilage of limb, unspecified	bone and cartilage cancer			icd10
C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	bone and cartilage cancer			icd10
C410	Bones of skull and face	bone and cartilage cancer			icd10
C411	Mandible	bone and cartilage cancer			icd10
C412	Vertebral column	bone and cartilage cancer			icd10
C413	Ribs, sternum and clavicle	bone and cartilage cancer			icd10
C414	Pelvic bones, sacrum and coccyx	bone and cartilage cancer			icd10
C418	Overlapping lesion of bone and articular cartilage	bone and cartilage cancer			icd10
C419	Bone and articular cartilage, unspecified	bone and cartilage cancer			icd10
C43	Malignant melanoma of skin	skin cancer			icd10
C430	Malignant melanoma of lip	skin cancer			icd10
C431	Malignant melanoma of eyelid, including canthus	skin cancer			icd10
C432	Malignant melanoma of ear and external auricular canal	skin cancer			icd10
C433	Malignant melanoma of other and unspecified parts of face	skin cancer			icd10
C434	Malignant melanoma of scalp and neck	skin cancer			icd10
C435	Malignant melanoma of trunk	skin cancer			icd10
C436	Malignant melanoma of upper limb, including shoulder	skin cancer			icd10
C437	Malignant melanoma of lower limb, including hip	skin cancer			icd10
C438	Overlapping malignant melanoma of skin	skin cancer			icd10
C439	Malignant melanoma of skin, unspecified	skin cancer			icd10
C44	Other malignant neoplasms of skin	skin cancer			icd10
C440	Skin of lip	skin cancer			icd10
C441	Skin of eyelid, including canthus	skin cancer			icd10
C442	Skin of ear and external auricular canal	skin cancer			icd10
C443	Skin of other and unspecified parts of face	skin cancer			icd10
C444	Skin of scalp and neck	skin cancer			icd10
C445	Skin of trunk	skin cancer			icd10
C446	Skin of upper limb, including shoulder	skin cancer			icd10
C447	Skin of lower limb, including hip	skin cancer			icd10
C448	Overlapping lesion of skin	skin cancer			icd10
C449	Malignant neoplasm of skin, unspecified	skin cancer			icd10
D035	Melanoma in situ of trunk, including Breast (skin)(soft tissue), Anal margin&skin, Perianal skin 	skin cancer			icd10
C45	Mesothelioma	mesothelial and tissue cancer			icd10
C451	Mesothelioma of peritoneum	mesothelial and tissue cancer			icd10
C452	Mesothelioma of pericardium	mesothelial and tissue cancer			icd10
C457	Mesothelioma of other sites	mesothelial and tissue cancer			icd10
C459	Mesothelioma, unspecified	mesothelial and tissue cancer			icd10
C46	Kaposi's sarcoma	mesothelial and tissue cancer			icd10
C460	Kaposi sarcoma of skin	mesothelial and tissue cancer			icd10
C461	Kaposi sarcoma of soft tissue	mesothelial and tissue cancer			icd10
C462	Kaposi sarcoma of palate	mesothelial and tissue cancer			icd10
C463	Kaposi sarcoma of lymph nodes	mesothelial and tissue cancer			icd10
C464	Kaposi sarcoma of gastrointestinal sites	mesothelial and tissue cancer			icd10
C467	Kaposi sarcoma of other sites	mesothelial and tissue cancer			icd10
C468	Kaposi sarcoma of multiple organs	mesothelial and tissue cancer			icd10
C469	Kaposi's sarcoma, unspecified	mesothelial and tissue cancer			icd10
C47	Malignant neoplasm of peripheral nerves and autonomic nervous system	mesothelial and tissue cancer			icd10
C470	Peripheral nerves of head, face, and neck	mesothelial and tissue cancer			icd10
C471	Peripheral nerves of upper limb, including shoulder	mesothelial and tissue cancer			icd10
C472	Peripheral nerves of lower limb, including hip	mesothelial and tissue cancer			icd10
C473	Peripheral nerves of thorax	mesothelial and tissue cancer			icd10
C474	Peripheral nerves of abdomen	mesothelial and tissue cancer			icd10
C475	Peripheral nerves of pelvis	mesothelial and tissue cancer			icd10
C476	Peripheral nerves of trunk, unspecified	mesothelial and tissue cancer			icd10
C478	Overlapping lesion of peripheral nerves and autonomic nervous system	mesothelial and tissue cancer			icd10
C479	Peripheral nerves and autonomic nervous system, unspecified	mesothelial and tissue cancer			icd10
C48	Malignant neoplasm of retroperitoneum and peritoneum	mesothelial and tissue cancer			icd10
C480	Retroperitoneum	mesothelial and tissue cancer			icd10
C481	Specified parts of peritoneum	mesothelial and tissue cancer			icd10
C482	Peritoneum, unspecified	mesothelial and tissue cancer			icd10
C488	Overlapping lesion of retroperitoneum and peritoneum	mesothelial and tissue cancer			icd10
C49	Malignant neoplasm of other connective and soft tissue	mesothelial and tissue cancer			icd10
C490	Connective and soft tissue of head, face and neck	mesothelial and tissue cancer			icd10
C491	Connective and soft tissue of upper limb, including shoulder	mesothelial and tissue cancer			icd10
C492	Connective and soft tissue of lower limb, including hip	mesothelial and tissue cancer			icd10
C493	Connective and soft tissue of thorax	mesothelial and tissue cancer			icd10
C494	Connective and soft tissue of abdomen	mesothelial and tissue cancer			icd10
C495	Connective and soft tissue of pelvis	mesothelial and tissue cancer			icd10
C496	Connective and soft tissue of trunk, unspecified	mesothelial and tissue cancer			icd10
C498	Overlapping lesion of connective and soft tissue	mesothelial and tissue cancer			icd10
C499	Connective and soft tissue, unspecified	mesothelial and tissue cancer			icd10
C51	Malignant neoplasm of vulva	female genital organs			icd10
C510	Labium majus	female genital organs			icd10
C511	Labium minus	female genital organs			icd10
C512	Clitoris	female genital organs			icd10
C518	Overlapping lesion of vulva	female genital organs			icd10
C519	Vulva, unspecified	female genital organs			icd10
C52	Malignant neoplasm of vagina	female genital organs			icd10
C53	Malignant neoplasm of cervix uteri	female genital organs			icd10
C530	Endocervix	female genital organs			icd10
C531	Exocervix	female genital organs			icd10
C538	Overlapping lesion of cervix uteri	female genital organs			icd10
C539	Cervix uteri, unspecified	female genital organs			icd10
C54	Malignant neoplasm of corpus uteri	female genital organs			icd10
C540	Isthmus uteri	female genital organs			icd10
C541	Endometrium	female genital organs			icd10
C542	Myometrium	female genital organs			icd10
C543	Fundus uteri	female genital organs			icd10
C548	Overlapping lesion of corpus uteri	female genital organs			icd10
C549	Corpus uteri, unspecified	female genital organs			icd10
C55	Malignant neoplasm of uterus, part unspecified	female genital organs			icd10
C56	Malignant neoplasm of ovary	female genital organs			icd10
C57	Malignant neoplasm of other and unspecified female genital organs	female genital organs			icd10
C570	Fallopian tube	female genital organs			icd10
C571	Broad ligament	female genital organs			icd10
C572	Round ligament	female genital organs			icd10
C573	Parametrium	female genital organs			icd10
C574	Uterine adnexa, unspecified	female genital organs			icd10
C577	Other specified female genital organs	female genital organs			icd10
C578	Overlapping lesion of female genital organs	female genital organs			icd10
C579	Female genital organ, unspecified	female genital organs			icd10
C58	Malignant neoplasm of placenta	female genital organs			icd10
C60	Malignant neoplasm of penis	male genital organs			icd10
C600	Prepuce	male genital organs			icd10
C601	Glans penis	male genital organs			icd10
C602	Body of penis	male genital organs			icd10
C608	Overlapping lesion of penis	male genital organs			icd10
C609	Penis, unspecified	male genital organs			icd10
C62	Malignant neoplasm of testis	male genital organs			icd10
C620	Undescended testis	male genital organs			icd10
C621	Descended testis	male genital organs			icd10
C629	Testis, unspecified	male genital organs			icd10
C63	Malignant neoplasm of other and unspecified male genital organs	male genital organs			icd10
C630	Epididymis	male genital organs			icd10
C631	Spermatic cord	male genital organs			icd10
C632	Scrotum	male genital organs			icd10
C637	Other specified male genital organs	male genital organs			icd10
C638	Overlapping lesion of male genital organs	male genital organs			icd10
C639	Male genital organ, unspecified	male genital organs			icd10
C64	Malignant neoplasm of kidney, except renal pelvis	urinary tract cancer			icd10
C65	Malignant neoplasm of renal pelvis	urinary tract cancer			icd10
C66	Malignant neoplasm of ureter	urinary tract cancer			icd10
C67	Malignant neoplasm of bladder	urinary tract cancer			icd10
C670	Trigone of bladder	urinary tract cancer			icd10
C671	Dome of bladder	urinary tract cancer			icd10
C672	Lateral wall of bladder	urinary tract cancer			icd10
C673	Anterior wall of bladder	urinary tract cancer			icd10
C674	Posterior wall of bladder	urinary tract cancer			icd10
C675	Bladder neck	urinary tract cancer			icd10
C676	Ureteric orifice	urinary tract cancer			icd10
C677	Urachus	urinary tract cancer			icd10
C678	Overlapping lesion of bladder	urinary tract cancer			icd10
C679	Bladder, unspecified	urinary tract cancer			icd10
C68	Malignant neoplasm of other and unspecified urinary organs	urinary tract cancer			icd10
C680	Urethra	urinary tract cancer			icd10
C681	Paraurethral glands	urinary tract cancer			icd10
C688	Overlapping lesion of urinary organs	urinary tract cancer			icd10
C689	Urinary organ, unspecified	urinary tract cancer			icd10
Z855	Personal history of malignant neoplasm of urinary tract	urinary tract cancer		1	icd10
C69	Malignant neoplasm of eye and adnexa	eye cancer			icd10
C690	Conjunctiva	eye cancer			icd10
C691	Cornea	eye cancer			icd10
C692	Retina	eye cancer			icd10
C693	Choroid	eye cancer			icd10
C694	Ciliary body	eye cancer			icd10
C695	Lacrimal gland and duct	eye cancer			icd10
C696	Orbit	eye cancer			icd10
C698	Overlapping lesion of eye and adnexa	eye cancer			icd10
C699	Eye, unspecified	eye cancer			icd10
C70	Malignant neoplasm of meninges	CNS cancer			icd10
C700	Cerebral meninges	CNS cancer			icd10
C701	Spinal meninges	CNS cancer			icd10
C709	Meninges, unspecified	CNS cancer			icd10
C71	Malignant neoplasm of brain	CNS cancer			icd10
C710	Cerebrum, except lobes and ventricles	CNS cancer			icd10
C711	Frontal lobe	CNS cancer			icd10
C712	Temporal lobe	CNS cancer			icd10
C713	Parietal lobe	CNS cancer			icd10
C714	Occipital lobe	CNS cancer			icd10
C715	Ventricle	CNS cancer			icd10
C716	Cerebellum	CNS cancer			icd10
C717	Brain stem	CNS cancer			icd10
C718	Overlapping lesion of brain	CNS cancer			icd10
C719	Brain, unspecified	CNS cancer			icd10
C72	Malignant neoplasm of spinal cord, cranial nerves, and other parts of central nervous system	CNS cancer			icd10
C720	Spinal cord	CNS cancer			icd10
C721	Cauda equina	CNS cancer			icd10
C722	Olfactory nerve	CNS cancer			icd10
C723	Optic nerve	CNS cancer			icd10
C724	Acoustic nerve	CNS cancer			icd10
C725	Other cranial nerves	CNS cancer			icd10
C728	Overlapping lesion of brain and other parts of central nervous system	CNS cancer			icd10
C729	Central nervous system, unspecified	CNS cancer			icd10
C73	Malignant neoplasm of thyroid gland	thyroid or endocrine cancer			icd10
C74	Malignant neoplasm of adrenal gland	thyroid or endocrine cancer			icd10
C740	Cortex of adrenal gland	thyroid or endocrine cancer			icd10
C741	Medulla of adrenal gland	thyroid or endocrine cancer			icd10
C749	Adrenal gland, unspecified	thyroid or endocrine cancer			icd10
C75	Malignant neoplasm of other endocrine glands and related structures	thyroid or endocrine cancer			icd10
C750	Parathyroid gland	thyroid or endocrine cancer			icd10
C751	Pituitary gland	thyroid or endocrine cancer			icd10
C752	Craniopharyngeal duct	thyroid or endocrine cancer			icd10
C753	Pineal gland	thyroid or endocrine cancer			icd10
C754	Carotid body	thyroid or endocrine cancer			icd10
C755	Aortic body and other paraganglia	thyroid or endocrine cancer			icd10
C758	Overlapping lesion of endocrine glands and related structures	thyroid or endocrine cancer			icd10
C759	Endocrine gland, unspecified	thyroid or endocrine cancer			icd10
C76	Malignant neoplasm of other and ill-defined sites	secondary and unspecified sites	1		icd10
C760	Head, face, and neck	secondary and unspecified sites	1		icd10
C761	Thorax	secondary and unspecified sites	1		icd10
C762	Abdomen	secondary and unspecified sites	1		icd10
C763	Pelvis	secondary and unspecified sites	1		icd10
C764	Upper limb	secondary and unspecified sites	1		icd10
C765	Lower limb	secondary and unspecified sites	1		icd10
C767	Other ill-defined sites	secondary and unspecified sites	1		icd10
C768	Overlapping lesion of ill-defined sites	secondary and unspecified sites	1		icd10
C77	Secondary and unspecified malignant neoplasm of lymph nodes	secondary and unspecified sites	1		icd10
C770	Lymph nodes of head, face, and neck	secondary and unspecified sites	1		icd10
C771	Intrathoracic lymph nodes	secondary and unspecified sites	1		icd10
C772	Intra-abdominal lymph nodes	secondary and unspecified sites	1		icd10
C773	Axilla and upper limb lymph nodes	secondary and unspecified sites	1		icd10
C774	Inguinal and lower limb lymph nodes	secondary and unspecified sites	1		icd10
C775	Intrapelvic lymph nodes	secondary and unspecified sites	1		icd10
C778	Lymph nodes of multiple regions	secondary and unspecified sites	1		icd10
C779	Lymph node, unspecified	secondary and unspecified sites	1		icd10
C78	Secondary malignant neoplasm of respiratory and digestive organs	secondary and unspecified sites	1		icd10
C781	Secondary malignant neoplasm of mediastinum	secondary and unspecified sites	1		icd10
C782	Secondary malignant neoplasm of pleura	secondary and unspecified sites	1		icd10
C783	Secondary malignant neoplasm of other and unspecified respiratory organs	secondary and unspecified sites	1		icd10
C784	Secondary malignant neoplasm of small intestine	secondary and unspecified sites	1		icd10
C786	Secondary malignant neoplasm of retroperitoneum and peritoneum	secondary and unspecified sites	1		icd10
C787	Secondary malignant neoplasm of liver and intrahepatic bile duct	secondary and unspecified sites	1		icd10
C788	Secondary malignant neoplasm of other and unspecified digestive organs	secondary and unspecified sites	1		icd10
C79	Secondary malignant neoplasm of other and unspecified sites	secondary and unspecified sites	1		icd10
C790	Secondary malignant neoplasm of kidney and renal pelvis	secondary and unspecified sites	1		icd10
C791	Secondary malignant neoplasm of bladder and other and unspecified urinary organs	secondary and unspecified sites	1		icd10
C792	Secondary malignant neoplasm of skin	secondary and unspecified sites	1		icd10
C793	Secondary malignant neoplasm of brain and cerebral meninges	secondary and unspecified sites	1		icd10
C794	Secondary malignant neoplasm of other and unspecified parts of nervous system	secondary and unspecified sites	1		icd10
C795	Secondary malignant neoplasm of bone and bone marrow	secondary and unspecified sites	1		icd10
C796	Secondary malignant neoplasm of ovary	secondary and unspecified sites	1		icd10
C797	Secondary malignant neoplasm of adrenal gland	secondary and unspecified sites	1		icd10
C798	Secondary malignant neoplasm of other specified sites	secondary and unspecified sites	1		icd10
C799	Secondary malignant neoplasm, unspecified site	secondary and unspecified sites	1		icd10
C80	Malignant neoplasm without specification of site	secondary and unspecified sites	1		icd10
C800	Malignant neoplasm, primary site unknown, so stated	secondary and unspecified sites	1		icd10
C801	Malignant (primary) neoplasm, unspecified	secondary and unspecified sites	1		icd10
C809	Malignant neoplasm, primary site unspecified	secondary and unspecified sites	1		icd10
Z858	Personal history of malignant neoplasms of other organs and systems	history		1	icd10
Z859	Personal history of malignant neoplasm, unspecified	history		1	icd10
C97	Malignant neoplasms of independent (primary) multiple sites	multiple sites			icd10
