medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	subtype	dvt	pe	art_pvd	ven_pvd	pvd
12126541000006118	Bilateral gangrene of toe	^ESCT1212654		16010831000119108	3647368015	pad			1		1
12126881000006110	Right lower limb vein thrombophlebitis	^ESCT1212688		16014471000119103	3646610019	vte				1	1
12126891000006113	Thrombophlebitis of vein of right lower limb	^ESCT1212689		16014471000119103	3646608016	vte				1	1
12127251000006115	Thrombophlebitis of left jugular vein	^ESCT1212725		16025551000119102	3647177017	vte				1	1
12127261000006118	Thrombophlebitis of right jugular vein	^ESCT1212726		16025591000119107	3647180016	vte				1	1
12127301000006110	Chronic venous thrombosis	^ESCT1212730		16026431000119101	3646280017	vte				1	1
1221083011	Abdominal aortic aneurysm which has ruptured	G713	G713.00	14336007	1221083011	pad			1		1
1230211012	Renal artery atherosclerosis	G701	G701.00	45281005	1230211012	pad			1		1
124092018	Erythrocyanosis	G73y7	G73y700	74725000	124092018	pad			1		1
124301000006115	Subfascial ligation of varicose veins	7A661-2	7A66112	302357009	443996017	vte				1	1
124373014	Thoracic aortic aneurysm without mention of rupture	G712	G712.00	74883004	124373014	pad			1		1
126311000006111	Pulmonary artery stenosis	P735	P735.00	95441000	158093019	pad			1		1
12704411000006113	Peripheral circulatory disorder associated with diabetes mellitus	^ESCT1270441		421895002	2618203015	pad			1		1
12705151000006116	Repair of suprarenal abdominal aortic aneurysm with insertion of endovascular stent	^ESCT1270515		378481000000107	745491000000119	pad			1		1
12729241000006100	Peripheral vascular disease NOS			646351000000103	.	other					1
132581000006113	Spasm of peripheral artery	G73z1	G73z100	195313002	300519017	pad			1		1
13502851000006110	Repair of abdominal aortic aneurysm with insertion of stent	^ESCT1350285		771453009	3706261016	pad			1		1
13633701000006112	Vascular malformation	^ESCT1363370		783806000	3760433011	other					1
13917911000006111	Thrombophlebitis due to procedure	^ESCT1391791		789672007	3793054016	vte				1	1
13919631000006118	Limb pain at rest due to atherosclerosis of artery of lower limb	^ESCT1391963		792844003	3800138019	pad			1		1
13919641000006111	Intermittent claudication due to atherosclerosis of artery of limb	^ESCT1391964		792845002	3800141011	pad			1		1
13919651000006113	Ulcer of heel due to atherosclerosis of artery of lower limb	^ESCT1391965		792846001	3800183018	pad			1		1
13919691000006119	Ulcer of ankle due to atherosclerosis of artery of lower limb	^ESCT1391969		792850008	3800184012	pad			1		1
13944841000006117	Peripheral arterial disease	^ESCT1394484		840580004	3970952014	pad			1		1
13944851000006115	Peripheral arterial vascular disease	^ESCT1394485		840580004	3970777019	pad			1		1
13944861000006118	Peripheral artery disease	^ESCT1394486		840580004	3970954010	pad			1		1
13944871000006113	Peripheral artery	^ESCT1394487		840581000	3902752017	pad			1		1
13949481000006113	Deep vein thrombosis of lower extremity due to intravenous drug use	^ESCT1394948		860699005	3943674014	vte	1			1	1
14077171000006115	Superficial thrombophlebitis in puerperium	^ESCT1407717		308137006	3786762010	vte				1	1
14083841000006119	Gangrene due to type 1 diabetes mellitus	^ESCT1408384		420825003	3800377014	pad			1		1
14083961000006111	Gangrene due to type 2 diabetes mellitus	^ESCT1408396		421631007	3800383012	pad			1		1
14084111000006114	Peripheral circulatory disorder due to type 2 diabetes mellitus	^ESCT1408411		422166005	3800475019	pad			1		1
14136911000006116	Ascending aortic aneurysm and bicuspid aortic valve	^ESCT1413691		890220003	4009950015	pad			1		1
14180191000006115	Bilateral intermittent claudication of lower limbs due to atherosclerosis of nonbiological bypass graft	^ESCT1418019		16013431000119104	4013252016	pad			1		1
14194181000006111	Acute DVT (deep vein thrombosis) of left peroneal vein	^ESCT1419418		46557031000119105	3993606014	vte	1			1	1
14194871000006117	Acute DVT (deep vein thrombosis) of right peroneal vein	^ESCT1419487		843433951000119102	3993605013	vte	1			1	1
14448521000006115	Thrombophlebitis of bilateral lower limbs in pregnancy	^ESCT1444852		1149472000	4556019017	vte				1	1
14448551000006112	Thrombophlebitis of bilateral lower limbs in puerperium	^ESCT1444855		1149473005	4556022015	vte				1	1
14492891000006112	Chronic DVT (deep venous thrombosis) of left peroneal vein	^ESCT1449289		856856651000119109	4572348015	vte	1			1	1
14496451000006117	Deep venous thrombosis in puerperium	^ESCT1449645		56272000	4565406018	vte	1			1	1
14502351000006115	Varicose veins of vulva in pregnancy	^ESCT1450235		237286004	4541972013	vte				1	1
14752451000006117	Ventricular thrombus following acute myocardial infarction	^ESCT1475245		1208867006	5013229011	pad			1		1
14859481000006119	Endovascular repair of thoracic aortic aneurysm using endovascular stent graft	^ESCT1485948		429679003	5069584011	pad			1		1
14859491000006116	Endovascular repair of suprarenal aortic aneurysm using endovascular stent graft	^ESCT1485949		429706004	5069412016	pad			1		1
1545571000006111	Percutaneous transluminal angioplasty of blood vessel of liver	78083	7808300	425712000	2675431013	other					1
1548161000006117	Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent	7A1B0	7A1B000	441612006	2816827015	pad			1		1
1548361000006119	Percutaneous endarterectomy	7A548	7A54800	415071007	2533528016	pad			1		1
1548451000006111	Percutaneous transluminal placement of peripheral stent in artery	7A566	7A56600	237451000000109	384541000000118	pad			1		1
1549601000006119	Percutaneous venous thrombectomy	7A6Q	7A6Q.00	276977004	413381016	vte				1	1
1587751000006111	Endovascular insertion of stent graft for suprarenal aortic aneurysm	7A1C1	7A1C100	281281000000101	483821000000117	pad			1		1
1587761000006113	Repair of thoracic aortic aneurysm with insertion of endovascular stent graft	7A1C2	7A1C200	429679003	2695281014	pad			1		1
1699111000006110	Ischaemic foot	EMISNQIS4		1699111000006106	1699111000006110	pad			1		1
1701691000006119	Endovascular insertion of stent for infrarenal abdominal aortic aneurysm	7A1B8	7A1B800	441612006	1650871000000115	pad			1		1
1701701000006119	Endovascular insertion of stent for suprarenal aortic aneurysm	7A1B9	7A1B900	378481000000107	745431000000115	pad			1		1
1701721000006112	Endovascular ins stent for aortic dissection in any position	7A1BB	7A1BB00	725371005	3441820016	pad			1		1
1701731000006110	Endovas insert stent for aortic aneurysm of bifurcation NEC	7A1BC	7A1BC00	307701005	451048019	pad			1		1
1715241000006112	Vascular claudication	G73z0-2	G73z012	63491006	105536013	pad			1		1
1728191000006112	Infrarenal abdominal aortic aneurysm	EMISNQIN59		1728191000006108	1728191000006112	pad			1		1
1823971000006118	Peripheral arterial disease confirmed	EMISNQPE38		1823971000006102	1823971000006118	pad			1		1
1847121000006114	Peripheral arterial disease	G734	G734.00	399957001	1787050010	pad			1		1
1859371000006115	Wells DVT score - previous documented DVT	EMISNQWE12		1859371000006104	1859371000006115	vte	1			1	1
192131000006114	Raynaud's syndrome	G730	G730.00	195295006	300496013	pad			1		1
2162149016	Deep venous thrombosis	G801-1	G801.11	128053003	194647015	vte	1			1	1
218531000000113	Atherosclerosis of aorta	G700	G700.00	81817003	135728018	pad			1		1
2238301000000119	Thrombosis of dialysis arteriovenous fistula	Gy21	Gy21.00	866001000000102	2238301000000119	vte				1	1
223991000000116	Aortoiliac disease	G700-1	G700.11	233956002	350529018	pad			1		1
231301000006116	Phlebitis and thrombophlebitis NOS	G80z	G80z.00	195394007	300649013	vte				1	1
231561000006110	Phlebitis or thrombophlebitis of CNS venous sinus NOS	F05z	F05z.00	192753009	296931015	vte				1	1
232781000006115	Percutaneous transluminal angioplasty suprarenal artery NEC	7A353	7A35300	233258006	349468013	pad			1		1
235491000006115	Peripheral arterio-venous aneurysm	P766	P766.00	234141001	350799011	other					1
235501000006111	Peripheral arteriovenous malformation	P766-1	P766.11	275519006	411511016	other					1
235911000006116	Peripheral vascular disease	G73z	G73z.00	400047006	1779317016	other					1
239401000006112	Percutaneous transluminal angioplasty inf mesenteric art NEC	7A352	7A35200	233258006	349468013	pad			1		1
239441000006114	Percutaneous transluminal angioplasty of brachial artery	7A281	7A28100	175455002	271653012	pad			1		1
239511000006111	Percutaneous transluminal angioplasty of subclavian artery	7A280	7A28000	175454003	271652019	pad			1		1
239541000006110	Percutaneous transluminal angioplasty sup mesenteric art NEC	7A351	7A35100	233272002	349504014	pad			1		1
24379014	Ruptured abdominal aortic aneurysm	G713-1	G713.11	14336007	24379014	pad			1		1
2526271000006117	Thrombophlebitis of deep femoral vein	^ESCTTH252627		1748006	4024012	vte	1			1	1
2534187010	Deep vein thrombosis of leg related to intravenous drug use	G801E	G801E00	413956008	2534187010	vte	1			1	1
2536174018	Dissecting aortic aneurysm	G710	G710.00	308546005	2536174018	pad			1		1
2538491000006119	Superficial thrombophlebitis	^ESCTSU253849		2477008	5234016	vte				1	1
254104013	O/E - varicose veins	2482	2482.00	163052007	254104013	vte				1	1
2566711000006111	Poor peripheral circulation	^ESCTPO256671		4249000	8166016	pad			1		1
2608401000000118	Perianal venous thrombosis	G84A-1		449815008	2608401000000118	vte				1	1
2675439010	Pulmonary thromboendarterectomy	7A0B0	7A0B000	426900002	2675439010	pad		1	1		1
271447017	Emergency repair of aortic aneurysm	7A13-1	7A13.11	175297006	271447017	pad			1		1
271507010	Endarterectomy of aorta and patch repair of aorta	7A190	7A19000	175346001	271507010	pad			1		1
271508017	Endarterectomy of aorta	7A191	7A19100	49187005	81933015	pad			1		1
271518010	Percutaneous transluminal angioplasty of aorta NEC	7A1A1	7A1A100	233263005	349482013	pad			1		1
271607017	Endarterectomy of subclavian artery	7A265	7A26500	240923000	360856012	pad			1		1
271608010	Endarterectomy of brachial artery	7A266	7A26600	233299000	349565013	pad			1		1
271613014	Endarterectomy of axillary artery	7A26B	7A26B00	450512004	2916090010	pad			1		1
271670016	Percutaneous transluminal angioplasty of axillary artery	7A28C	7A28C00	175464007	271670016	pad			1		1
271688012	Endarterectomy of renal artery	7A303	7A30300	175477003	271688012	pad			1		1
271738014	Endarterectomy of coeliac artery	7A33C	7A33C00	233302000	349569019	pad			1		1
271740016	Endarterectomy of superior mesenteric artery	7A33E	7A33E00	233303005	349570018	pad			1		1
271746010	Endarterectomy of visceral branch of abdominal aorta NEC	7A33L	7A33L00	392031002	1486017013	pad			1		1
271795010	Percutaneous transluminal angioplasty of coeliac artery NEC	7A350	7A35000	233270005	349498018	pad			1		1
271900018	Percutaneous transluminal angioplasty of iliac artery	7A440	7A44000	175612005	271900018	pad			1		1
272013012	Femoral endarterectomy	7A492	7A49200	16589005	28064017	pad			1		1
272014018	Endarterectomy of popliteal artery	7A493	7A49300	233310004	349583017	pad			1		1
272052017	Percutaneous transluminal angioplasty of femoral artery	7A4B0	7A4B000	175715003	272052017	pad			1		1
2762941000006113	Endarterectomy of femoral artery	^ESCTEN276294		16589005	2535821017	pad			1		1
2765831000006118	Deep thrombophlebitis	^ESCTDE276583		16750002	28357013	vte	1			1	1
280561000006111	Non-insulin-dependent diabetes mellitus with peripheral angiopathy	C109F	C109F00	314902007	459307013	pad			1		1
2805751000006116	Repair of thoracic aortic aneurysm	^ESCTRE280575		19262003	32480018	pad			1		1
281211000006117	Gangrene associated with type 2 diabetes mellitus	C1095	C109500	421631007	2967779019	pad			1		1
2829111000006111	Peripheral venous insufficiency	^ESCTPE282911		20696009	34824018	vte				1	1
2837981000006113	Thrombosis of lateral venous sinus	^ESCTTH283798		21258007	35718011	vte				1	1
2888831000006111	Varicose veins of lower extremity with inflammation	^ESCTVA288883		24366001	40874013	vte				1	1
2888841000006118	Varicose veins with inflammation of lower extremity	^ESCTVA288884		24366001	40875014	vte				1	1
292523015	Diabetes mellitus NOS with peripheral circulatory disorder	C107z	C107z00	421895002	2618203015	pad			1		1
292541011	Type 1 diabetes mellitus with gangrene	C10E6	C10E600	420825003	2618207019	pad			1		1
292543014	Type I diabetes mellitus with gangrene	C10E6-1	C10E611	420825003	2618207019	pad			1		1
292582011	Type II diabetes mellitus with gangrene	C10F5-1	C10F511	421631007	2618206011	pad			1		1
292583018	Type 2 diabetes mellitus with gangrene	C10F5	C10F500	421631007	2618206011	pad			1		1
2926851000006118	Chronic ulcer of lower limb	^ESCTCH292685		26649005	3035294018	other					1
296940016	Thrombosis of central nervous system venous sinus NOS	F051z	F051z00	192759008	296937016	vte				1	1
296947018	Thrombophlebitis of central nervous system venous sinuses	F053	F053.00	192769002	296947018	vte				1	1
296948011	Thrombophlebitis of cavernous sinus	F0530	F053000	192770001	296948011	vte				1	1
296949015	Thrombophlebitis of superior longitudinal venous sinus	F0531	F053100	192771002	296949015	vte				1	1
296950015	Thrombophlebitis lateral venous sinus	F0532	F053200	192772009	296950015	vte				1	1
296951016	Thrombophlebitis of central nervous system venous sinus NOS	F053z	F053z00	312586003	456333018	vte				1	1
300433019	Extremity artery atheroma	G702	G702.00	195254008	300433019	pad			1		1
300434013	Extremity artery atheroma NOS	G702z	G702z00	195254008	300433019	pad			1		1
300437018	Thoracic aortic aneurysm which has ruptured	G711	G711.00	195258006	300437018	pad			1		1
300438011	Ruptured thoracic aortic aneurysm	G711-1	G711.11	195258006	300438011	pad			1		1
300441019	Abdominal aortic aneurysm	G714	G714.00	233985008	350580017	pad			1		1
300442014	AAA - Abdominal aortic aneurysm without mention of rupture	G714-1	G714.11	233985008	350580017	pad			1		1
300445011	Ruptured aortic aneurysm	G715	G715.00	73067008	121362018	pad			1		1
300446012	Thoracoabdominal aortic aneurysm, ruptured	G7150	G715000	195265003	300446012	pad			1		1
300447015	Aortic aneurysm without mention of rupture NOS	G716	G716.00	67362008	111949011	pad			1		1
300448013	Thoracoabdominal aortic aneurysm	G7160	G716000	233984007	350579015	pad			1		1
300449017	Leaking abdominal aortic aneurysm	G718	G718.00	195268001	300449017	pad			1		1
300450017	Aortic aneurysm NOS	G71z	G71z.00	67362008	111949011	pad			1		1
300496013	Raynaud's disease	G7300	G730000	195295006	300496013	pad			1		1
300500010	Raynaud's syndrome NOS	G730z	G730z00	195295006	300496013	pad			1		1
300503012	Thromboangiitis obliterans NOS	G731z	G731z00	52403007	87208017	pad			1		1
300504018	Peripheral gangrene	G732	G732.00	195301007	300504018	pad			1		1
300505017	Gangrene of toe	G7320	G732000	195302000	300505017	pad			1		1
300506016	Gangrene of foot	G7321	G732100	195303005	300506016	pad			1		1
300507013	Gangrene of finger	G7322	G732200	195304004	300507013	pad			1		1
300508015	Gangrene of thumb	G7323	G732300	195305003	300508015	pad			1		1
300509011	Gangrene of hand	G7324	G732400	195306002	300509011	pad			1		1
300510018	Other specified peripheral vascular disease	G73y	G73y.00	400047006	1779317016	other					1
300511019	Peripheral angiopathic disease EC NOS	G73y1	G73y100	400047006	1779317016	other					1
300512014	Acroparaesthesia - unspecified	G73y6	G73y600	79256006	131501015	other					1
300514010	Other specified peripheral vascular disease NOS	G73yz	G73yz00	400047006	1779317016	other					1
300515011	Peripheral vascular disease NOS	G73zz	G73zz00	400047006	1779317016	other					1
300550015	Peripheral arterial embolism and thrombosis NOS	G742z	G742z00	195318006	300534011	pad			1		1
300556014	Embolism and thrombosis of the iliac artery unspecified	G74y3	G74y300	266262004	395794011	pad			1		1
300649013	Phlebitis and thrombophlebitis	G80	G80..00	195394007	300649013	vte				1	1
300659014	Thrombophlebitis of a superficial leg vein NOS	G8005	G800500	40283005	63670011	vte				1	1
300660016	Superficial phlebitis and thrombophlebitis of the leg NOS	G800z	G800z00	40283005	63670011	vte				1	1
300672010	Thrombophlebitis of the femoral vein	G8016	G801600	195410000	300672010	vte				1	1
300673017	Thrombophlebitis of the popliteal vein	G8017	G801700	195411001	300673017	vte				1	1
300674011	Thrombophlebitis of the anterior tibial vein	G8018	G801800	195412008	300674011	vte				1	1
300675012	Thrombophlebitis of the dorsalis pedis vein	G8019	G801900	770111009	3698589012	vte				1	1
300676013	Thrombophlebitis of the posterior tibial vein	G801A	G801A00	195414009	300676013	vte				1	1
300677016	Thrombophlebitis of deep veins of lower extremity	G801B	G801B00	40198004	63532015	vte	1			1	1
300681016	Deep vein phlebitis and thrombophlebitis of the leg NOS	G801z	G801z00	266267005	395801015	vte	1			1	1
300682011	Phlebitis and thrombophlebitis of the leg NOS	G802	G802.00	266267005	395801015	vte				1	1
300691010	Thrombophlebitis of the common iliac vein	G80y4	G80y400	195425000	300691010	vte				1	1
300692015	Thrombophlebitis of the internal iliac vein	G80y5	G80y500	195426004	300692015	vte				1	1
300695018	Thrombophlebitis of the external iliac vein	G80y6	G80y600	195427008	300695018	vte				1	1
300696017	Thrombophlebitis of iliac vein	G80y7	G80y700	42861008	71531019	vte				1	1
300697014	Phlebitis and thrombophlebitis of the iliac vein NOS	G80y8	G80y800	276494008	412645018	vte				1	1
300698016	Other phlebitis and thrombophlebitis NOS	G80yz	G80yz00	195394007	300649013	vte				1	1
300699012	Phlebitis and thrombophlebitis NOS	G80zz	G80zz00	195394007	300649013	vte				1	1
300701012	Thrombophlebitis	G80z1	G80z100	64156001	106650018	vte				1	1
300704016	Thromboembolism of vein	G82	G82..00	429098002	2692478010	vte				1	1
300710016	Embolism and thrombosis of the vena cava	G822	G822.00	195437003	300710016	vte				1	1
300721013	Varicose veins of the leg with ulcer	G830	G830.00	195445008	300721013	vte				1	1
300723011	Varicose veins of the leg with ulcer and eczema	G832	G832.00	195447000	300723011	vte				1	1
300724017	Varicose veins of the leg with rupture	G833	G833.00	195448005	300724017	vte				1	1
300727012	Varicose veins of lower extremity	G834	G834.00	72866009	121026013	vte				1	1
300730017	Varicose veins of the leg NOS	G83z	G83z.00	72866009	1788137014	vte				1	1
300795013	Other specified varicose veins	G85y	G85y.00	128060009	194654014	vte				1	1
300796014	Varicose veins	G85z	G85z.00	128060009	474288018	vte				1	1
300848019	Chronic venous insufficiency	G8yy0	G8yy000	20696009	34827013	vte				1	1
300959012	[X]Atherosclerosis of other arteries	Gyu70	Gyu7000	72092001	119795011	pad			1		1
300960019	[X]Aortic aneurysm of unspecified site, ruptured	Gyu71	Gyu7100	67362008	111949011	pad			1		1
300961015	[X]Aortic aneurysm of unspecified site, nonruptured	Gyu72	Gyu7200	67362008	111949011	pad			1		1
300963017	[X]Other specified peripheral vascular diseases	Gyu74	Gyu7400	400047006	1779317016	other					1
300970017	[X]Peripheral angiopathy in diseases classified elsewhere	Gyu7A	Gyu7A00	400047006	1779317016	other					1
300982014	[X]Varicose veins of other specified sites	Gyu86	Gyu8600	128060009	194654014	vte				1	1
302011	Diabetic peripheral angiopathy	G73y0	G73y000	127014009	302011	pad			1		1
3064701000006111	Thrombectomy and repair of venous graft	^ESCTTH306470		35052002	58496016	vte				1	1
307698018	Varicose veins of legs in pregnancy and the puerperium	L410	L410.00	200204002	307698018	vte				1	1
307706016	Varicose veins of legs in pregnancy and puerperium NOS	L410z	L410z00	200204002	307698018	vte				1	1
307727014	Superficial thrombophlebitis in pregnancy and the puerperium	L412	L412.00	200222004	307727014	vte				1	1
3085751000006113	Chronic trophic ulcer of lower limb	^ESCTCH308575		36347008	60660010	other					1
3123251000006118	Atherosclerosis	^ESCTAT312325		38716007	64424015	pad			1		1
3140591000006115	Generalised atherosclerosis	^ESCTGE314059		39823006	492262011	pad			1		1
317347010	[D]Gangrene of toe in diabetic	R0542	R054200	195302000	300505017	pad			1		1
317348017	[D]Widespread diabetic foot gangrene	R0543	R054300	195303005	300506016	pad			1		1
3185821000006116	Excision of subcutaneous vascular malformation of extremity	^ESCTEX318582		42534004	70956010	other					1
3230441000006110	Atherosclerosis of renal artery	^ESCTAT323044		45281005	75487016	pad			1		1
325065019	Thrombophlebitis as a complication of care	SP121	SP12100	213219006	325065019	vte				1	1
325206014	Thrombophlebitis after infusion	SP322	SP32200	213310008	325206014	vte				1	1
3422651000006111	Percutaneous transluminal angioplasty of renal artery	^ESCTPE342265		56801004	94463015	pad			1		1
349678018	Aortic aneurysm repair	7A14-1	7A14.11	233370007	349678018	pad			1		1
349689013	Y graft of abdominal aortic aneurysm - emergency	7A112-1	7A11211	233374003	2669093011	pad			1		1
349693019	Tube graft of Abdominal aortic aneurysm	7A144-1	7A14411	233376001	349693019	pad			1		1
349694013	Tube graft abdominal aortic aneurysm - emergency	7A134-1	7A13411	233377005	2669005014	pad			1		1
350533013	Peripheral ischaemia	G73-3	G73..13	233958001	350533013	pad			1		1
350535018	Peripheral ischaemic vascular disease	G73-1	G73..11	233958001	350535018	pad			1		1
350540014	Upper limb ischaemia	ESCTUP1		233959009	350540014	pad			1		1
350662018	Saphenous vein thrombophlebitis	G800-2	G800.12	234040003	350662018	vte				1	1
350683012	Varicose veins of leg with long saphenous vein distribution	G8340	G834000	234055007	350683012	vte				1	1
350684018	Varicose veins of leg with short saphenous vein distribution	G8341	G834100	234056008	350684018	vte				1	1
350892013	Arteriovenous fistula thrombosis	SP07N	SP07N00	234205007	350892013	vte				1	1
3520603010	Mural thrombus of right ventricle	^ESCT1172528		12367281000119109	3520603010	vte				1	1
3526080018	Mural thrombus of right ventricle following acute myocardial infarction	^ESCT1167259		736978009	3526080018	vte				1	1
3526082014	Stenosis of left subclavian artery	^ESCT1173373		18000001000004101	3526082014	pad			1		1
3532661000006118	IC - Intermittent claudication	^ESCTIC353266		63491006	1232467011	pad			1		1
355723016	Varicose veins - obstetric	L41-1	L41..11	237345008	355723016	vte				1	1
355724010	Vulval obstetric varicose veins	L411-2	L411.12	237346009	355724010	vte				1	1
355726012	Perineal obstetric varicose veins	L411-1	L411.11	237347000	355726012	vte				1	1
357881000000111	Repair of thoracic aortic aneurysm with insertion of endovascular stent	7A1B2	7A1B200	378491000000109	745451000000110	pad			1		1
357895013	Ischaemic leg ulcer	M271-2	M271.12	238793001	357895013	pad			1		1
358041000000114	Percutaneous transluminal venous thrombolysis NEC	7A6S3	7A6S300	276985008	413389019	vte				1	1
359071000000111	Percutaneous transluminal angioplasty of vein	7A6S0	7A6S000	276890005	413244017	vte				1	1
359191000000114	Endovascular stenting of aortic dissection in any position	7A1B3	7A1B300	725371005	3441820016	pad			1		1
359851000000113	Repair of suprarenal abdominal aortic aneurysm with insertion of endovascular stent	7A1B1	7A1B100	378481000000107	745431000000115	pad			1		1
360031000000113	Thrombectomy of arteriovenous fistula	7A605	7A60500	427992007	2694416018	vte				1	1
3627911000006115	Varicose veins of lower extremity with ulcer AND inflammation	^ESCTVA362791		69352009	115208011	vte				1	1
3636857018	Lipodermatosclerosis of lower limb due to varicose veins of lower limb	^ESCT1169286		762536003	3636857018	vte				1	1
3636859015	Atrophic blanche of lower limb due to varicose veins of lower limb	^ESCT1169288		762537007	3636859015	vte				1	1
3654851000006117	Thrombectomy of venous graft	^ESCTTH365485		71007004	117941017	vte				1	1
3685041000006115	Varicose veins of lower limb	^ESCTVA368504		72866009	2920616012	vte				1	1
3717321000006114	Thoracic aortic aneurysm without rupture	^ESCTTH371732		74883004	124372016	pad			1		1
3733811000006111	Abdominal aortic aneurysm without rupture	^ESCTAB373381		75878002	126029017	pad			1		1
3745481000006115	Peripheral arterial bypass	^ESCTPE374548		76580007	127169013	pad			1		1
375462013	Claudication distance	16I	16I..00	252094004	375462013	pad			1		1
3767271000006119	Pulmonary venous thrombosis	^ESCTPU376727		77892009	129267013	vte		1		1	1
3830431000006112	Atherosclerosis aorta	^ESCTAT383043		81817003	2923328010	pad			1		1
394328011	Iliac endarterectomy and patch	7A420-2	7A42012	265517007	394328011	pad			1		1
394329015	Endarterectomy of iliac artery	7A421	7A42100	307800001	451173017	pad			1		1
394346017	Endarterectomy and patch repair of artery	7A520	7A52000	450696008	2916891010	pad			1		1
394359013	Stripping of lower limb varicose veins	7A692	7A69200	9365003	16429014	vte				1	1
395791015	Other peripheral vascular disease	G73	G73..00	400047006	1779317016	other					1
395792010	Raynaud's phenomenon	G7301	G730100	266261006	395792010	pad			1		1
395801015	Deep vein phlebitis and thrombophlebitis of the leg	G801	G801.00	266267005	395801015	vte	1			1	1
395802010	Other phlebitis and thrombophlebitis	G80y	G80y.00	195394007	300649013	vte				1	1
395803017	Venous thrombosis	G82z1	G82z100	111293003	178522012	vte				1	1
3962581000006110	Thrombosis of cavernous venous sinus	^ESCTTH396258		89980009	149150017	vte				1	1
3964661000006114	Subcortical atherosclerotic dementia	^ESCTSU396466		90099008	1235536019	pad			1		1
399941017	Non-pressure ulcer lower limb	M271	M271.00	267816005	399941017	other					1
4055161000006116	Ulcer of lower limb	^ESCTUL405516		95344007	512079013	other					1
4056731000006118	Venous intermittent claudication	^ESCTVE405673		95443002	158095014	vte				1	1
4056741000006111	Venous claudication	^ESCTVE405674		95443002	158096010	vte				1	1
4056841000006116	Thrombophlebitis of superficial veins of upper extremities	^ESCTTH405684		95451004	158105018	vte				1	1
4056851000006119	Superficial thrombophlebitis of arm	^ESCTSU405685		95451004	512136013	vte				1	1
410960011	Y graft abdominal Aortic aneurysm	7A113-1	7A11311	275037003	410960011	pad			1		1
410964019	Endarterectomy and patch repair of common iliac artery	7A420-1	7A42011	275041004	410964019	pad			1		1
410965018	Endarterectomy of common iliac artery	7A421-1	7A42111	233304004	349571019	pad			1		1
410987010	Endarterectomy and repair	7A520-1	7A52011	275064002	410987010	pad			1		1
411512011	Claudication	G73z0-1	G73z011	63491006	3559347018	pad			1		1
411635018	Varicose veins of the leg with eczema	G831	G831.00	275700003	411635018	vte				1	1
412645018	Phlebitis and/or thrombophlebitis of iliac vein	G80y-1	G80y.11	276494008	412645018	vte				1	1
41903014	Acrocyanosis	G73y2	G73y200	25003006	41903014	other					1
419640012	Thrombosis of inferior vena cava	G8220	G822000	281595001	419640012	vte				1	1
420621000006111	[X]Phlebitis+thrombophlebitis/oth deep vessls/low extremites	Gyu80	Gyu8000	195394007	300649013	vte	1			1	1
429878012	Acquired renal artery stenosis	G703	G703.00	289923007	429878012	pad			1		1
