medcodeid	term	originalreadcode	cleansedreadcode	snomedctdescriptionid	snomedctconceptid	mv	av	tv	pv	other	multiple	vhd
299608019	Mitral regurgitation and aortic stenosis	G132-3	G132.13	299608019	194735004	1	1				1	1
299609010	Mitral insufficiency and aortic stenosis	G132	G132.00	299609010	194735004	1	1				1	1
299610017	Mitral and aortic incompetence	G133	G133.00	299610017	194736003	1	1				1	1
299611018	Mitral and aortic insufficiency	G133-1	G133.11	299611018	194736003	1	1				1	1
299612013	Mitral and aortic regurgitation	G133-2	G133.12	299612013	194736003	1	1				1	1
299613015	Multiple mitral and aortic valve involvement	G13y	G13y.00	299602018	194732001	1	1				1	1
299614014	Mitral and aortic valve disease NOS	G13z	G13z.00	299602018	194732001	1	1				1	1
299616011	Tricuspid valve disease	G140	G140.00	1222524014	20721001			1				1
299618012	Rheumatic tricuspid stenosis and incompetence	G1402-Y	G14021Y	299618012	194741006			1				1
299619016	Rheumatic tricuspid stenosis and regurgitation	G1402-X	G14021X	299619016	194741006			1				1
299620010	Rheumatic tricuspid stenosis and insufficiency	G1402	G140200	299620010	194741006			1				1
299621014	Tricuspid stenosis, cause unspecified	G1403	G140300	83138015	49915006			1				1
299622019	Tricuspid valve regurgitation	G1404	G140400	178507019	111287006			1				1
299623012	Tricuspid stenosis and insufficiency, cause unspecified	G1405	G140500	83138015	49915006			1				1
299624018	Rheumatic tricuspid valve disease NOS	G140z	G140z00	82772011	49699002			1				1
299626016	Rheumatic pulmonary valve disease NOS	G141z	G141z00	31504012	18687009				1			1
299980014	Mitral incompetence, non-rheumatic	G5400	G540000	299980014	194978002	1						1
299981013	Mitral incompetence, cause unspecified	G5401	G540100	81186016	48724000	1						1
299984017	Mitral valve disorder	G540z	G540z00	20449013	11851006	1						1
299985016	Aortic incompetence, non-rheumatic	G5410	G541000	299985016	194983005		1					1
299986015	Aortic regurgitation, non-rheumatic	G5410-2	G541012	299986015	194983005		1					1
299987012	Aortic insufficiency, non-rheumatic	G5410-1	G541011	299987012	194983005		1					1
299988019	Aortic stenosis, non-rheumatic	G5411	G541100	299988019	194984004		1					1
299989010	Aortic valve regurgitation	G5412	G541200	100055018	60234000		1					1
299990018	Aortic valve stenosis	G5413	G541300	100633013	60573004		1					1
299991019	Aortic valve stenosis with insufficiency	G5414	G541400	299991019	194987006		1					1
299992014	Aortic valve disorder	G541z	G541z00	15387019	8722008		1					1
299993016	Tricuspid valve disorders, non-rheumatic	G542	G542.00	299993016	194989009			1				1
299994010	Tricuspid incompetence, non-rheumatic	G5420	G542000	299994010	194990000			1				1
299995011	Tricuspid insufficiency, non-rheumatic	G5420-1	G542011	299995011	194990000			1				1
299996012	Tricuspid regurgitation, non-rheumatic	G5420-2	G542012	299996012	194990000			1				1
299997015	Tricuspid stenosis, non-rheumatic	G5421	G542100	299997015	194991001			1				1
300000019	Tricuspid valve disorders NOS	G542z	G542z00	34866017	20721001			1				1
300011010	Pulmonary valve stenosis with insufficiency	G5434	G543400	300011010	195000004				1			1
300012015	Pulmonary valve disorders NOS	G543z	G543z00	126662012	76267008				1			1
300014019	Disorders of both aortic and tricuspid valves	G5440	G544000	300014019	195003002		1	1			1	1
300015018	Disorders of both mitral and tricuspid valves	G5441	G544100	300015018	195004008	1		1			1	1
300016017	Combined disorders of mitral, aortic and tricuspid valves	G5442	G544200	300016017	195005009	1	1	1			1	1
30011012	Rheumatic aortic stenosis with insufficiency	G122	G122.00	30011012	17759006		1					1
3001221000006111	Rheumatic mitral incompetence	^ESCTRH300122		52031011	31085000	1						1
300863016	[X]Other mitral valve diseases	Gyu10	Gyu1000	20449013	11851006	1						1
300864010	[X]Other rheumatic aortic valve diseases	Gyu11	Gyu1100	20718019	12023003		1					1
300865011	[X]Other tricuspid valve diseases	Gyu12	Gyu1200	34866017	20721001			1				1
300866012	[X]Other multiple valve diseases	Gyu13	Gyu1300	300013013	195002007						1	1
300868013	[X]Multiple valve disease, unspecified	Gyu15	Gyu1500	300013013	195002007						1	1
300893010	[X]Other aortic valve disorders	Gyu56	Gyu5600	15387019	8722008		1					1
300895015	Pulmonary valve disorder	Gyu58	Gyu5800	126662012	76267008				1			1
300896019	[X]Mitral valve disorders in diseases classified elsewhere	Gyu59	Gyu5900	20449013	11851006	1						1
300897011	[X]Aortic valve disorders in diseases classified elsewhere	Gyu5A	Gyu5A00	15387019	8722008		1					1
3080661000006111	Resection of aortic valve for subvalvular stenosis	^ESCTRE308066		60129011	36033003		1					1
313382012	Subaortic stenosis	P6y0	P6y0.00	313382012	204368006		1					1
3138871000006116	Aortic valvotomy	^ESCTAO313887		66974011	39717005		1					1
31507017	Rheumatic pulmonary valve disease	G141	G141.00	31507017	18687009				1			1
3178071000006114	Myxoid transformation of mitral valve	^ESCTMY317807		70213012	42069006	1						1
3258051000006117	Percutaneous balloon valvuloplasty of pulmonary valve	^ESCTPE325805		78163010	46897002				1			1
3288481000006112	Mitral valve incompetence	^ESCTMI328848		81191015	48724000	1						1
3288511000006116	MI - Mitral incompetence	^ESCTMI328851		1230639015	48724000	1						1
3288521000006112	MR - Mitral regurgitation	^ESCTMR328852		1230640018	48724000	1						1
3288531000006110	Mitral insufficiency	^ESCTMI328853		1230641019	48724000	1						1
3304041000006112	CMC - Closed mitral commissurotomy	^ESCTCM330404		495468017	49676001	1						1
3304051000006114	Percutaneous transvenous mitral commissurotomy	^ESCTPE330405		2959460010	49676001	1						1
3308121000006114	Tricuspid valve stenosis	^ESCTTR330812		83138015	49915006			1				1
3308131000006112	Tricuspid stenosis	^ESCTTR330813		1230797013	49915006			1				1
3313361000006113	Replacement of mitral valve with tissue graft	^ESCTRE331336		83649010	50216001	1						1
3313371000006118	Tissue mitral valve replacement	^ESCTTI331337		495613010	50216001	1						1
3313391000006117	Bioprosthetic mitral valve replacement	^ESCTBI331339		495615015	50216001	1						1
3346951000006111	Repair of aortic valve with tissue graft	^ESCTRE334695		86946014	52247003		1					1
3346961000006113	Biological aortic valve replacement	^ESCTBI334696		496255017	52247003		1					1
3346971000006118	Bioprosthetic aortic valve replacement	^ESCTBI334697		496256016	52247003		1					1
3346981000006115	Tissue aortic valve replacement	^ESCTTI334698		496257013	52247003		1					1
3360371000006114	MVR - Mitral valve replacement	^ESCTMV336037		1231176014	53059001	1						1
3397231000006119	Replacement of tricuspid valve with tissue graft	^ESCTRE339723		91859016	55253009			1				1
3422451000006114	Pulmonary valve stenosis	^ESCTPU342245		94443010	56786000				1			1
3422461000006111	PVS - Pulmonary valve stenosis	^ESCTPV342246		1231648019	56786000				1			1
3478261000006114	Aortic valve incompetence	^ESCTAO347826		100061015	60234000		1					1
3478271000006119	Aortic regurgitation	^ESCTAO347827		100062010	60234000		1					1
3478281000006116	Aortic incompetence	^ESCTAO347828		1232058018	60234000		1					1
3478301000006117	AR - Aortic regurgitation	^ESCTAR347830		1232060016	60234000		1					1
3478311000006119	Aortic insufficiency	^ESCTAO347831		1232061017	60234000		1					1
3483891000006117	Stenosed aortic valve	^ESCTST348389		1232102012	60573004		1					1
348739017	Bjork-Shiley prosthetic replacement of mitral valve	79102-2	7910212	348739017	232773001	1						1
348762015	De Vega tricuspid annuloplasty	79181-1	7918111	348762015	232783002			1				1
348801017	Tricuspid valvectomy	791D0	791D000	348801017	232811004			1				1
348898019	Pulmonary valvectomy	791D1	791D100	348898019	232872003				1			1
355701000000115	Operation on mitral subvalvar apparatus	791B2	791B200	1772201000000118	792691000000103	1						1
355881000000116	Percutaneous transluminal replacement of pulmonary valve	79196	7919600	2693523014	429248007				1			1
355941000000115	Aortic valve and adjacent structure operations	791C	791C.00	348812017	232816009		1					1
3600871000006112	Rheumatic tricuspid valve regurgitation	^ESCTRH360087		112422019	67696008			1				1
3740551000006115	PVD - Pulmonary valve disease	^ESCTPV374055		1233969011	76267008				1			1
374120018	Mitral valve leaf prolapse	G5403	G540300	374120018	250989005	1						1
3754991000006110	Percutaneous balloon valvuloplasty of aortic valve	^ESCTPE375499		128116010	77166000		1					1
377722014	Preductal aortic stenosis	P711-3	P711.13	377722014	253672004		1					1
377727015	Postductal aortic stenosis	P712-3	P712.13	377727015	253676001		1					1
3794881000006112	Mitral valve stenosis	^ESCTMI379488		132091016	79619009	1						1
3853911000006117	Closed heart valvotomy of pulmonary valve	^ESCTCL385391		137972011	83187002				1			1
3864991000006118	Rheumatic disease of mitral valve	^ESCTRH386499		139124018	83898004	1						1
3877451000006118	Aortic valve prosthesis	^ESCTAO387745		140399016	84683006		1					1
394276014	Plastic repair of mitral valve	7910	7910.00	394276014	265472007	1						1
394277017	Plastic repair of aortic valve	7911	7911.00	394277017	265473002		1					1
394278010	Plastic repair of tricuspid valve	7912	7912.00	394278010	265474008			1				1
394279019	Plastic repair of pulmonary valve	7913	7913.00	394279019	265475009				1			1
394285014	Annuloplasty of tricuspid valve	79181	7918100	394285014	265480000			1				1
3985501000006114	Pulmonary valve regurgitation	^ESCTPU398550		189241014	91434003				1			1
3985621000006117	Rheumatic pulmonary valve stenosis	^ESCTRH398562		151483011	91442002				1			1
3985631000006119	Rheumatic pulmonary valve obstruction	^ESCTRH398563		151484017	91442002				1			1
399141000006119	[X]Multiple valve disorders/diseases CE	Gyu5D	Gyu5D00	300013013	195002007						1	1
400161000006117	[X]Nonrheumatic tricuspid valve disorder, unspecified	Gyu5f	Gyu5f00	2957051016	194989009			1				1
4009601000006119	Chronic degenerative aortic valve disease	^ESCTCH400960		153430010	92808004		1					1
412241000006110	[X]Other nonrheumatic mitral valve disorders	Gyu55	Gyu5500	20449013	11851006	1						1
412251000006112	[X]Other nonrheumatic tricuspid valve disorders	Gyu57	Gyu5700	2957051016	194989009			1				1
415402011	Syphilitic endocarditis of aortic valve	A9322	A932200	415402011	278480000		1					1
4181331000006111	Aortic and mitral valves, CS	^ESCTAO418133		175403019	110551008	1	1				1	1
4193421000006119	Tricuspid valve incompetence	^ESCTTR419342		189232016	111287006			1				1
4193431000006116	Tricuspid valve insufficiency	^ESCTTR419343		189233014	111287006			1				1
4193441000006114	Tricuspid regurgitation	^ESCTTR419344		189234015	111287006			1				1
4193451000006111	TI - Tricuspid incompetence	^ESCTTI419345		1219623013	111287006			1				1
4193461000006113	Tricuspid insufficiency	^ESCTTR419346		1219624019	111287006			1				1
4193471000006118	TR - Tricuspid regurgitation	^ESCTTR419347		1219625018	111287006			1				1
4214571000006118	Closed heart valvotomy of aortic valve	^ESCTCL421457		184001012	112814001		1					1
4214601000006113	Valvuloplasty of aortic valve	^ESCTVA421460		184007011	112816004		1					1
4214621000006115	Repair of aortic valve	^ESCTRE421462		376998019	112816004		1					1
4214631000006117	Aortic valvoplasty	^ESCTAO421463		376999010	112816004		1					1
42309019	Replacement of tricuspid valve	7912-1	7912.11	1224851015	25236004			1				1
424311000006118	[X]Pulmonary valve disorders in diseases CE	Gyu5C	Gyu5C00	126662012	76267008				1			1
429571000006116	Tricuspid valve disorder	Gyu5B	Gyu5B00	34866017	20721001			1				1
4354171000006113	Acquired atresia of pulmonary valve	^ESCTAC435417		192132012	123643003				1			1
43909016	Replacement of aortic valve	7911-2	7911.12	43909016	26212005		1					1
4424221000006110	Closed heart valvotomy of tricuspid valve	^ESCTCL442422		207973018	129243001			1				1
465381000000114	Aortic valve repair NEC	79114-1	7911411	184007011	112816004		1					1
465521000000116	Tricuspid valve repair NEC	79125-1	7912511	1478970018	384643000			1				1
465571000000117	Repair of mitral valve	79104-1	7910411	1478968010	384641003	1						1
465651000000113	Pulmonary valve repair NEC	79134-1	7913411	1480881010	386749005				1			1
4664561000006110	Homograft mitral valve replacement	^ESCTHO466456		270924018	174918001	1						1
4664581000006117	Xenograft mitral valve replacement	^ESCTXE466458		270925017	174919009	1						1
4664611000006113	Homograft aortic valve replacement	^ESCTHO466461		270943018	174927000		1					1
4664641000006112	Pericardial aortic valve replacement	^ESCTPE466464		270945013	174928005		1					1
4664671000006116	Homograft tricuspid valve replacement	^ESCTHO466467		270959018	174935002			1				1
4664691000006115	Xenograft tricuspid valve replacement	^ESCTXE466469		270960011	174936001			1				1
4664701000006115	Pericardial tricuspid valve replacement	^ESCTPE466470		270961010	174936001			1				1
4664711000006117	Mechanical prosthetic tricuspid valve replacement	^ESCTME466471		270962015	174937005			1				1
4664741000006118	Repair of Ebstein anomaly of tricuspid valve	^ESCTRE466474		2838902012	174939008			1				1
4664751000006116	Homograft pulmonary valve replacement	^ESCTHO466475		270975015	174944001				1			1
4664761000006119	Allograft pulmonary valve replacement	^ESCTAL466476		270974016	174944001				1			1
4664771000006114	Xenograft pulmonary valve replacement	^ESCTXE466477		270976019	174945000				1			1
4664791000006110	Mechanical prosthetic pulmonary valve replacement	^ESCTME466479		270978018	174946004				1			1
474766017	Closed tricuspid valvotomy	79172	7917200	474766017	129243001			1				1
4775551000006111	Non-rheumatic mitral valve stenosis	^ESCTNO477555		299594018	194727002	1						1
4776741000006111	Non-rheumatic mitral regurgitation	^ESCTNO477674		299979011	194978002	1						1
4776821000006111	Tricuspid valve disorder, non-rheumatic	^ESCTTR477682		2957051016	194989009			1				1
4776911000006110	Non-rheumatic tricuspid valve stenosis with insufficiency	^ESCTNO477691		299998013	194992008			1				1
478011000006110	Allograft replacement of mitral valve	79100	7910000	270924018	174918001	1						1
478031000006116	Allograft replacement of pulmonary valve	79130	7913000	270975015	174944001				1			1
478051000006111	Allograft replacement of tricuspid valve	79120	7912000	270959018	174935002			1				1
488451000006114	Rheumatic aortic regurgitation	G121-2	G121.12	129502018	78031003		1					1
488521000006118	Aortic valve disease	G541	G541.00	1235209017	8722008		1					1
488551000006110	Aortic valve opening restricted	EMISHGT105		488551000006110	488551000006106		1					1
499818013	Closed mitral valvotomy	79170	7917000	499818013	6433003	1						1
5040451000006111	Mitral valve operation	^ESCTMI504045		348683019	232740008	1						1
5040661000006110	Operation on mitral leaflet	^ESCTOP504066		348711018	232756003	1						1
5040881000006118	Balloon mitral valvotomy	^ESCTBA504088		348733016	232769004	1						1
5041011000006110	Replacement of implanted mitral valve	^ESCTRE504101		348747017	232777000	1						1
5041031000006116	Tricuspid valve operation	^ESCTTR504103		348748010	232778005			1				1
5041871000006113	Balloon aortic valvotomy	^ESCTBA504187		348841014	232834008		1					1
5041881000006111	Balloon dilatation of implanted aortic valve	^ESCTBA504188		348842019	232835009		1					1
5041911000006111	Autograft aortic valve replacement	^ESCTAU504191		348845017	232838006		1					1
5041921000006115	Operation on implanted aortic valve	^ESCTOP504192		348846016	232839003		1					1
5041961000006114	PVL - Repair of aortic paravalvular leak	^ESCTPV504196		348850011	232841002		1					1
5041981000006116	Replacement of implanted aortic valve	^ESCTRE504198		348853013	232842009		1					1
5042031000006112	Aortic valve replacement and aortoplasty	^ESCTAO504203		348858016	232847003		1					1
5042111000006119	Pulmonary valve operation	^ESCTPU504211		348867016	232854009				1			1
5042341000006117	Pulmonary valvotomy	^ESCTPU504234		348894017	232868002				1			1
5042401000006111	Balloon dilatation of implanted pulmonary valve	^ESCTBA504240		348895016	232869005				1			1
5042441000006113	Resection of pulmonary valve	^ESCTRE504244		348899010	232872003				1			1
5042481000006119	Operation on implanted pulmonary valve	^ESCTOP504248		348903015	232875001				1			1
505490010	Closed pulmonary valvotomy	79173	7917300	505490010	83187002				1			1
5056651000006113	Mitral restenosis	^ESCTMI505665		350395019	233856001	1						1
5056691000006119	Functional mitral regurgitation	^ESCTFU505669		350400018	233861004	1						1
5056721000006112	Senile aortic stenosis	^ESCTSE505672		350404010	233863001		1					1
5056731000006110	Aortic stenosis - tricuspid calcific	^ESCTAO505673		350403016	233863001		1	1				1
5056751000006115	Functional tricuspid regurgitation	^ESCTFU505675		350406012	233865008			1				1
