medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	cerebro	stroke	tia	stroke_tia	class	subclass
1809211000006111	high risk of cerebrovascular disease	EMISNQHI23		1809211000006107	1809211000006111	1				cerebrovascular disease	
2127781000000110	stroke initial post discharge review	662M2	662M200	816561000000108	2127781000000110	1	1		1	tia	ischaemic stroke
213421000006113	Precerebral atherosclerosis	G670-1	G670.11	55382008	92070010	1				cerebrovascular disease	
218511000000117	infarction - cerebral	G64-2	G64..12	432504007	2770034014	1	1		1	stroke	ischaemic stroke
2262511000000116	Reversible cerebral vasoconstriction syndrome	G67B	G67B.00	700467001	2990716012	1		1	1	tia	ischaemic stroke
2436731000000112	old cerebral infarction on imaging	5C13	5C13.00	955491000000106	2436731000000112	1	1		1	stroke	ischaemic stroke
2474651019	infarction of basal ganglia	G64z4	G64z400	413102000	2474651019	1	1		1	stroke	ischaemic stroke
2475119012	Non-traumatic subdural haemorrhage	G622	G622.00	195176009	2469010019	1	1		1	stroke	haemorrhagic stroke
2534198011	Subdural haemorrhage	G623	G623.00	35486000	486181011	1	1		1	stroke	haemorrhagic stroke
2549541000006119	Thrombophlebitis of intracranial venous sinus	^ESCTTH254954		3168002	6352012	1				cerebrovascular disease	
2622631000006114	intrapontine haemorrhage	^ESCTIN262263		7713009	503468012	1	1		1	stroke	haemorrhagic stroke
2672991000006115	Aneurysm of common carotid artery	^ESCTAN267299		10878002	18887011	1				cerebrovascular disease	
267311000006118	Occlusion and stenosis of multiple and bilateral cerebral arteries	G6774	G677400	195236009	300400012	1				cerebrovascular disease	
267321000006114	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction	G677	G677.00	195231004	300394010	1				cerebrovascular disease	
271533019	Carotid endarterectomy and patch	7A203-1	7A20311	175367001	271533019	1				cerebrovascular disease	
271534013	Carotid endarterectomy	7A204	7A20400	66951008	111206015	1				cerebrovascular disease	
271542014	Operation on aneurysm of carotid artery	7A214	7A21400	175376008	271542014	1				cerebrovascular disease	
271546012	Percutaneous transluminal angioplasty of carotid artery	7A220	7A22000	175380003	271546012	1				cerebrovascular disease	
271605013	Endarterectomy of vertebral artery	7A263	7A26300	175418002	271605013	1	1		1	stroke	ischaemic stroke
271614015	Endarterectomy of vertebral artery NEC	7A26C	7A26C00	175418002	271605013	1	1		1	stroke	ischaemic stroke
2729551000000111	Cerebral infarction due to occlusion of cerebral artery	^ESCT1171762		1089411000000104	2729551000000111	1	1		1	stroke	ischaemic stroke
2729571000000119	Cerebral infarction due to stenosis of cerebral artery	^ESCT1171763		1089421000000105	2729571000000119	1	1		1	stroke	ischaemic stroke
2832651000006111	subcortical haemorrhage	^ESCTSU283265		20908003	480871019	1	1		1	stroke	haemorrhagic stroke
2838001000006118	Cerebral venous thrombosis of lateral sinus	^ESCTCE283800		21258007	1222620011	1	1		1	stroke	ischaemic stroke
287283010	Rupture of syphilitic cerebral aneurysm	A94y6	A94y600	186893003	287283010	1	1		1	stroke	haemorrhagic stroke
2893081000006112	Internal carotid aneurysm	^ESCTIN289308		24624008	1223888010	1				cerebrovascular disease	
296931015	Phlebitis and thrombophlebitis of intracranial sinuses	F05	F05..00	192753009	296931015	1				cerebrovascular disease	
297013012	cerebral degeneration due to cerebrovascular disease	F11x2	F11x200	192813004	297013012	1				cerebrovascular disease	
299342019	Lacunar infarction	Fyu56	Fyu5600	230698000	345651012	1	1		1	stroke	ischaemic stroke
300244012	subarachnoid haemorrhage from carotid siphon and bifurcation	G601	G601.00	195155004	300244012	1	1		1	stroke	haemorrhagic stroke
300253017	Subarachnoid haemorrhage from vertebral artery	G606	G606.00	195160000	300253017	1	1		1	stroke	haemorrhagic stroke
300257016	Subarachnoid haemorrhage NOS	G60z	G60z.00	21454007	481028017	1	1		1	stroke	haemorrhagic stroke
300276019	external capsule haemorrhage	G616	G616.00	195167002	300276019	1	1		1	stroke	haemorrhagic stroke
300277011	intracerebral haemorrhage, intraventricular	G617	G617.00	195168007	300277011	1	1		1	stroke	haemorrhagic stroke
300287010	intracerebral haemorrhage nos	G61z	G61z.00	274100004	2819959010	1	1		1	stroke	haemorrhagic stroke
300290016	other and unspecified intracranial haemorrhage	G62	G62..00	62914000	104563015	1	1		1	stroke	haemorrhagic stroke
300294013	Subdural haemorrhage - nontraumatic	G621	G621.00	195176009	300294013	1	1		1	stroke	haemorrhagic stroke
300303013	basilar artery occlusion	G630	G630.00	195180004	300303013	1				cerebrovascular disease	
300309012	vertebral artery occlusion	G632	G632.00	195182007	300309012	1		1	1	tia	ischaemic stroke
300310019	multiple and bilateral precerebral arterial occlusion	G633	G633.00	195183002	300310019	1				cerebrovascular disease	
300311015	other precerebral artery occlusion	G63y	G63y.00	266253001	395777014	1				cerebrovascular disease	
300312010	cerebral infarct due to thrombosis of precerebral arteries	G63y0	G63y000	195185009	300312010	1	1		1	stroke	ischaemic stroke
300313017	cerebral infarction due to embolism of precerebral arteries	G63y1	G63y100	195186005	300313017	1	1		1	stroke	ischaemic stroke
300314011	precerebral artery occlusion nos	G63z	G63z.00	266253001	395777014	1				cerebrovascular disease	
300321011	cerebral infarction due to thrombosis of cerebral arteries	G6400	G640000	195189003	300321011	1	1		1	stroke	ischaemic stroke
300322016	cerebral infarction due to embolism of cerebral arteries	G6410	G641000	195190007	300322016	1	1		1	stroke	ischaemic stroke
300348012	Other transient cerebral ischaemia	G65y	G65y.00	266257000	395788015	1		1	1	tia	ischaemic stroke
300349016	Transient cerebral ischaemia NOS	G65zz	G65zz00	266257000	395788015	1		1	1	tia	ischaemic stroke
300352012	Impending cerebral ischaemia	G65z0	G65z000	195205001	300352012	1				cerebrovascular disease	
300353019	Intermittent cerebral ischaemia	G65z1	G65z100	195206000	300353019	1		1	1	tia	ischaemic stroke
300362017	middle cerebral artery syndrome	G660	G660.00	195209007	300362017	1	1		1	stroke	ischaemic stroke
300363010	anterior cerebral artery syndrome	G661	G661.00	195210002	300363010	1	1		1	stroke	ischaemic stroke
300364016	posterior cerebral artery syndrome	G662	G662.00	195211003	300364016	1	1		1	stroke	ischaemic stroke
300366019	cerebellar stroke syndrome	G664	G664.00	195213000	300366019	1	1		1	stroke	ischaemic stroke
300370010	left sided cva	G667	G667.00	195216008	300370010	1	1		1	stroke	ischaemic stroke
300371014	right sided cva	G668	G668.00	195217004	300371014	1	1		1	stroke	ischaemic stroke
300374018	other cerebrovascular disease	G67	G67..00	62914000	104563015	1				cerebrovascular disease	
300379011	generalised ischaemic cerebrovascular disease nos	G671z	G671z00	302909007	444905019	1	1		1	stroke	ischaemic stroke
300380014	Acute cerebrovascular insufficiency	G6710	G671000	29322000	49074018	1	1		1	stroke	ischaemic stroke
300389010	Nonruptured cerebral aneurysm due to dissection of cerebral artery	G6730	G673000	713082007	3287780019	1				cerebrovascular disease	
300395011	occlusion and stenosis of middle cerebral artery	G6770	G677000	195232006	300395011	1				cerebrovascular disease	
300396012	occlusion and stenosis of anterior cerebral artery	G6771	G677100	195233001	300396012	1				cerebrovascular disease	
300398013	occlusion and stenosis of posterior cerebral artery	G6772	G677200	195234007	300398013	1				cerebrovascular disease	
300399017	occlusion and stenosis of cerebellar arteries	G6773	G677300	195235008	300399017	1				cerebrovascular disease	
300401011	other cerebrovascular disease os	G67y	G67y.00	62914000	104563015	1				cerebrovascular disease	
300402016	other cerebrovascular disease nos	G67z	G67z.00	62914000	104563015	1				cerebrovascular disease	
300403014	late effects of cerebrovascular disease	G68	G68..00	195239002	300403014	1				cerebrovascular disease	
300406018	Sequelae of subarachnoid haemorrhage	G680	G680.00	195240000	300406018	1	1		1	stroke	haemorrhagic stroke
300407010	sequelae of intracerebral haemorrhage	G681	G681.00	195241001	300407010	1	1		1	stroke	haemorrhagic stroke
300411016	sequelae of cerebral infarction	G683	G683.00	195243003	300411016	1	1		1	stroke	ischaemic stroke
300418010	other specified cerebrovascular disease	G6y	G6y..00	62914000	104563015	1				cerebrovascular disease	
300419019	cerebrovascular disease nos	G6z	G6z..00	62914000	104563015	1				cerebrovascular disease	
300935019	[x]subarachnoid haemorrhage from other intracranial arteries	Gyu60	Gyu6000	21454007	36011016	1	1		1	stroke	haemorrhagic stroke
300936018	[X]Other subarachnoid haemorrhage	Gyu61	Gyu6100	21454007	481028017	1	1		1	stroke	haemorrhagic stroke
300941014	[x]other cerebral infarction	Gyu64	Gyu6400	432504007	2770034014	1	1		1	stroke	ischaemic stroke
300942019	[X]Occlusion and stenosis of other precerebral arteries	Gyu65	Gyu6500	266253001	395777014	1				cerebrovascular disease	
300944018	[x]other specified cerebrovascular diseases	Gyu67	Gyu6700	62914000	104563015	1				cerebrovascular disease	
300956017	[x]intracerebral haemorrhage in hemisphere, unspecified	Gyu6F	Gyu6F00	274100004	409860011	1	1		1	stroke	haemorrhagic stroke
307780013	Obstetric cerebral venous thrombosis	L417	L417.00	200258006	307780013	1				cerebrovascular disease	
307781012	Cerebral venous thrombosis in pregnancy	L4170	L417000	200259003	307781012	1				cerebrovascular disease	
307782017	Cerebral venous thrombosis in the puerperium	L4171	L417100	200260008	307782017	1				cerebrovascular disease	
320836010	Subdural haemorrhage following injury	S62-3	S62..13	209987007	320836010	1	1		1	stroke	haemorrhagic stroke
320852013	cerebral haemorrhage following injury nos	S62z	S62z.00	450418003	2916363013	1	1		1	stroke	haemorrhagic stroke
320853015	other cerebral haemorrhage following injury	S63	S63..00	450418003	2916363013	1	1		1	stroke	haemorrhagic stroke
320897016	other cerebral haemorrhage following injury nos	S63z	S63z.00	450418003	2916363013	1	1		1	stroke	haemorrhagic stroke
3384641000006117	Basilar artery stenosis	^ESCTBA338464		54519002	90622012	1				cerebrovascular disease	
345639010	infarction - precerebral	G63-1	G63..11	230692004	345639010	1	1		1	stroke	ischaemic stroke
345650013	brainstem infarction nos	G64z-1	G64z.11	95457000	158113017	1	1		1	stroke	ischaemic stroke
345655015	pure motor lacunar syndrome	G665	G665.00	230699008	345655015	1	1		1	stroke	ischaemic stroke
345658018	pure sensory lacunar syndrome	G666	G666.00	230700009	345658018	1	1		1	stroke	ischaemic stroke
345675012	lobar cerebral haemorrhage	G619	G619.00	230710000	345675012	1	1		1	stroke	haemorrhagic stroke
345684012	carotid territory transient ischaemic attack	G657	G657.00	230716006	345684012	1		1	1	tia	ischaemic stroke
345701012	Cerebral amyloid angiopathy	G6740	G674000	230724001	345701012	1				cerebrovascular disease	
3506623013	dysphagia due to and following non-traumatic intracerebral haemorrhage	^ESCT1170669		290641000119107	3506623013	1	1		1	stroke	haemorrhagic stroke
3506626017	dysphagia as late effect of spontaneous intracerebral haemorrhage	^ESCT1170674		290641000119107	.	1	1		1	stroke	haemorrhagic stroke
3506627014	dysphagia as sequela of non-traumatic intracerebral haemorrhage	^ESCT1170673		290641000119107	.	1	1		1	stroke	haemorrhagic stroke
3507310015	bilateral vertebral artery occlusion	^ESCT1172871		1.59786310001e+16	.	1	1		1	stroke	ischaemic stroke
3507383012	Spontaneous haemorrhage of cortical intracerebral hemisphere	^ESCT1170710		291521000119105	3507383012	1	1		1	stroke	haemorrhagic stroke
3507385017	nontraumatic hemispheric cortical intracerebral haemorrhage	^ESCT1170711		291521000119105	.	1	1		1	stroke	haemorrhagic stroke
3508829016	weakness of right facial muscle as sequela of cerebrovascular disease	^ESCT1172880		1.59822710001e+16	.	1				cerebrovascular disease	
3508830014	right facial weakness as late effect of cerebrovascular disease	^ESCT1172881		1.59822710001e+16	.	1				cerebrovascular disease	
3508835016	weakness of left facial muscle as sequela of cerebrovascular disease	^ESCT1172883		1.59823110001e+16	.	1				cerebrovascular disease	
3508836015	left facial weakness as late effect of cerebrovascular disease	^ESCT1172885		1.59823110001e+16	.	1				cerebrovascular disease	
3508864013	cognitive deficit due to and following cerebrovascular disease	^ESCT1170664		290621000119101	.	1				cerebrovascular disease	
3508865014	cognitive deficit as sequela of cerebrovascular disease	^ESCT1170665		290621000119101	.	1				cerebrovascular disease	
3508908014	cognitive deficit due to and following nontraumatic intracerebral haemorrhage	^ESCT1170740		291711000119109	3508908014	1	1		1	stroke	haemorrhagic stroke
3508911010	cognitive deficit as late effect of spontaneous intracerebral haemorrhage	^ESCT1170744		291711000119109	.	1	1		1	stroke	haemorrhagic stroke
3508912015	cognitive deficit as sequela of nontraumatic intracerebral haemorrhage	^ESCT1170742		291711000119109	.	1	1		1	stroke	haemorrhagic stroke
3509775010	cerebrovascular accident due to right vertebral artery occlusion	^ESCT1170808		292681000119101	.	1	1		1	stroke	ischaemic stroke
3513530010	weakness of left facial muscle due to and following cerebrovascular disease	^ESCT1172884		1.59823110001e+16	.	1				cerebrovascular disease	
3513532019	weakness of right facial muscle due to and following cerebrovascular disease	^ESCT1172882		1.59822710001e+16	.	1				cerebrovascular disease	
3513770017	aphasia as sequela of non-traumatic intracerebral haemorrhage	^ESCT1170746		291721000119102	.	1	1		1	stroke	haemorrhagic stroke
3513783016	aphasia due to and following non-traumatic intracerebral haemorrhage	^ESCT1170747		291721000119102	.	1	1		1	stroke	haemorrhagic stroke
3515794015	Acute cerebral ischaemia	^ESCT1173136		1.62182910001e+16	3515794015	1	1		1	stroke	ischaemic stroke
3522701000006112	cvd - cerebrovascular disease	^ESCTCV352270		62914000	499414018	1				cerebrovascular disease	
3550511000006115	Carotid artery narrowing	^ESCTCA355051		64586002	107333017	1				cerebrovascular disease	
356328018	adrenocortical haemorrhage	C1542-1	C154211	237766002	356328018	1	1		1	stroke	haemorrhagic stroke
3588611000006113	CEA - Carotid endarterectomy	^ESCTCE358861		66951008	1232861018	1				cerebrovascular disease	
360778011	Chronic cerebral ischaemia	G6711	G671100	111298007	360778011	1				cerebrovascular disease	
3662331000006119	ct - cerebral thrombosis	^ESCTCT366233		71444005	.	1	1		1	stroke	ischaemic stroke
370661000006114	[x]cereb infarct due unsp occlus/stenos precerebr arteries	Gyu6G	Gyu6G00	125081000119106	3042974014	1	1		1	stroke	ischaemic stroke
370701000006118	[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	Gyu63	Gyu6300	20059004	33759015	1	1		1	stroke	ischaemic stroke
370711000006115	[x]cerebrovascular diseases	Gyu6	Gyu6.00	62914000	104563015	1				cerebrovascular disease	
3778021000006116	lms - lateral medullary syndrome	^ESCTLM377802		78569004	1234269010	1	1		1	stroke	ischaemic stroke
3818181000006114	Lacunar infarct	^ESCTLA381818		81037000	134436018	1	1		1	stroke	ischaemic stroke
391042012	Subarachnoid haemorrhage following injury	S62-2	S62..12	450375008	2915309017	1	1		1	stroke	haemorrhagic stroke
395777014	precerebral arterial occlusion	G63	G63..00	266253001	395777014	1				cerebrovascular disease	
395783012	transient ischaemic attack	G65-2	G65..12	266257000	395783012	1		1	1	tia	ischaemic stroke
395788015	Transient cerebral ischaemia	G65	G65..00	266257000	395788015	1		1	1	tia	ischaemic stroke
3971061000006111	Vertebral artery stenosis	^ESCTVE397106		90520006	150023011	1				cerebrovascular disease	
402929011	Subarachnoid haemorrhage following injury without open intracranial wound	S620	S620.00	28048009	483737017	1	1		1	stroke	haemorrhagic stroke
4056931000006116	Brain stem haemorrhage	^ESCTBR405693		95454007	512138014	1	1		1	stroke	haemorrhagic stroke
4056981000006115	Cerebral venous thrombosis	^ESCTCE405698		95455008	158111015	1				cerebrovascular disease	
4057041000006110	Brain stem stroke	^ESCTBR405704		95457000	2966556014	1	1		1	stroke	haemorrhagic stroke
411416011	stroke in the puerperium	L440-2	L440.12	275434003	411416011	1	1		1	stroke	ischaemic stroke
41282012	Aneurysm of internal carotid artery	G72y2	G72y200	24624008	41282012	1				cerebrovascular disease	
413750011	central post-stroke pain	1M4	1M4..00	277286006	413750011	1	1		1	stroke	other
416991000006112	Transient cerebral ischemia	Fyu55	Fyu5500	266257000	395788015	1		1	1	tia	ischaemic stroke
417171000006111	[X]Other vascular syndroms/brain in cerebrovasculr diseases	Fyu57	Fyu5700	62914000	104563015	1				cerebrovascular disease	
426231000006114	[x]sequelae of other nontraumatic intracranial haemorrhage	Gyu6B	Gyu6B00	363302008	482447013	1	1		1	stroke	haemorrhagic stroke
426481000006114	[x]sequelae/other + unspecified cerebrovascular diseases	Gyu6D	Gyu6D00	195239002	300403014	1				cerebrovascular disease	
428181000006115	Subarachnoid hemorrhage	Gyu6E	Gyu6E00	21454007	481028017	1	1		1	stroke	haemorrhagic stroke
449935012	admission to stroke unit	8Hd6	8Hd6.00	306803007	449935012	1	1		1	stroke	other
451133011	left sided cerebral infarction	G64z2	G64z200	307766002	451133011	1	1		1	stroke	ischaemic stroke
451134017	right sided cerebral infarction	G64z3	G64z300	307767006	451134017	1	1		1	stroke	ischaemic stroke
4768491000006118	Thrombosis of intracranial venous sinus	^ESCTTH476849		192759008	1784812010	1				cerebrovascular disease	
4777861000006119	intracerebral haemorrhage with intraventricular haemorrhage	^ESCTIN477786		195168007	2915438018	1	1		1	stroke	haemorrhagic stroke
4777881000006112	intracerebral haemorrhage, multiple localised	^ESCTIN477788		195169004	300280012	1	1		1	stroke	haemorrhagic stroke
4778311000006112	sequelae of cerebrovascular disease	^ESCTSE477831		195239002	300404015	1				cerebrovascular disease	
481028017	Subarachnoid haemorrhage	G60	G60..00	21454007	481028017	1	1		1	stroke	haemorrhagic stroke
482451000006111	Aneurysm of common carotid art	G72y0	G72y000	10878002	18887011	1				cerebrovascular disease	
495394013	cortical haemorrhage	G610	G610.00	49422009	495394013	1	1		1	stroke	haemorrhagic stroke
496232015	internal capsule haemorrhage	G611	G611.00	52201006	496232015	1	1		1	stroke	haemorrhagic stroke
5011161000006115	Lacunar stroke	^ESCTLA501116		230698000	345652017	1	1		1	stroke	ischaemic stroke
5011191000006111	Pure motor lacunar infarction	^ESCTPU501119		230699008	345656019	1	1		1	stroke	ischaemic stroke
5011331000006114	Anterior cerebral circulation haemorrhagic infarction	^ESCTAN501133		230707007	345668011	1	1		1	stroke	haemorrhagic stroke
5011431000006119	Lacunar haemorrhage	^ESCTLA501143		230712008	345679018	1	1		1	stroke	haemorrhagic stroke
5011491000006115	anterior circulation transient ischaemic attack	^ESCTAN501149		230716006	345683018	1		1	1	tia	ischaemic stroke
5011521000006118	vertebrobasilar territory transient ischaemic attack	^ESCTVE501152		230717002	345689019	1		1	1	tia	ischaemic stroke
5011531000006115	Vertebrobasilar territory transient ischemic attack	^ESCTVE501153		230717002	345687017	1		1	1	tia	ischaemic stroke
5011551000006110	posterior circulation transient ischaemic attack	^ESCTPO501155		230717002	345690011	1		1	1	tia	ischaemic stroke
5011581000006119	Subarachnoid haemorrhage due to ruptured aneurysm	^ESCTSU501158		230719004	345695018	1	1		1	stroke	haemorrhagic stroke
5011651000006111	Cerebral venous thrombosis of sigmoid sinus	^ESCTCE501165		230721009	345698016	1				cerebrovascular disease	
5011661000006113	Cerebral venous thrombosis of cortical vein	^ESCTCE501166		230722002	345699012	1				cerebrovascular disease	
5011671000006118	Cerebral venous thrombosis of great cerebral vein	^ESCTCE501167		230723007	345700013	1				cerebrovascular disease	
5011861000006114	asymptomatic cerebrovascular disease	^ESCTAS501186		230738008	345721013	1				cerebrovascular disease	
502878012	cerebellar haemorrhage	G613	G613.00	75038005	502878012	1	1		1	stroke	haemorrhagic stroke
5034291000006111	Vertebrobasilar ischaemic vertigo	^ESCTVE503429		232288005	348027016	1		1	1	tia	ischaemic stroke
503469016	pontine haemorrhage	G614	G614.00	7713009	503469016	1	1		1	stroke	haemorrhagic stroke
5048771000006110	Endarterectomy of internal carotid artery	^ESCTEN504877		233296007	349562011	1				cerebrovascular disease	
505322013	cerebral haemorrhage following injury	S62	S62..00	450418003	2916363013	1	1		1	stroke	haemorrhagic stroke
5058131000006113	Internal carotid artery stenosis	^ESCTIN505813		233964008	350550010	1				cerebrovascular disease	
5058141000006115	ICA - Internal carotid artery stenosis	^ESCTIC505814		233964008	350551014	1				cerebrovascular disease	
5058511000006110	Carotid artery aneurysm	^ESCTCA505851		233988005	350589016	1				cerebrovascular disease	
5146111000006110	intracerebral haemorrhage in fetus or newborn	^ESCTIN514611		240313004	.	1	1		1	stroke	haemorrhagic stroke
524541000006117	Brain stem infarction	G64z0	G64z000	95457000	158113017	1	1		1	stroke	ischaemic stroke
542251000006112	Cerebral infarction due to cerebral venous thrombosis, non-pyogenic	G6760	G676000	195230003	300393016	1	1		1	stroke	ischaemic stroke
542261000006114	Cerebral infarction due to occlusion of precerebral artery	G6W	G6W..00	125081000119106	3042974014	1	1		1	stroke	ischaemic stroke
