medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid
7056281000006118	Congestive heart failure due to left ventricular systolic dysfunction	^ESCTCO705628		426263006	2675256017
70653017	Congestive heart failure	G580	G580.00	42343007	70653017
7119751000006110	Chronic systolic dysfunction of left ventricle	^ESCTCH711975		430396006	2774357018
7119761000006112	Chronic left ventricular systolic dysfunction	^ESCTCH711976		430396006	2770949016
7208001000006118	Congestive heart failure, hypertension, age 75 years or older, diabetes, and previous stroke or transient ischaemic attack risk score	^ESCTCO720800		438367009	2790736010
7250571000006113	Chronic systolic heart failure	^ESCTCH725057		441481004	2816275019
7251291000006119	Chronic diastolic heart failure	^ESCTCH725129		441530006	2816764017
7275961000006118	Acute on chronic diastolic heart failure	^ESCTAC727596		443344007	2839052013
728671000006119	Malignant hypertensive heart disease with congestive cardiac failure	G2101	G210100	83105008	1236017010
728681000006116	Malignant hypertensive heart disease without congestive heart failure	G2100	G210000	36315003	60617018
72934016	Rheumatic left ventricular failure	G1yz1	G1yz100	43736008	72934016
7321121000006119	Heart failure with preserved ejection fraction	^ESCTHE732112		446221000	3496968011
741701000006114	Hypertensive heart and renal disease with (congestive) heart failure	G232	G232.00	194779001	299672017
7487181000006110	Dysfunction of right cardiac ventricle	^ESCTDY748718		473365008	2956423012
7487191000006113	Right ventricular cardiac dysfunction	^ESCTRI748719		473365008	2956568019
7507301000006110	Acute exacerbation of chronic congestive heart failure	^ESCTAC750730		698296002	2973838013
7507881000006112	Heart failure self management plan	^ESCTHE750788		698361000	2974220013
7510321000006115	Asymptomatic left ventricular systolic dysfunction	^ESCTAS751032		698592004	2974791019
7510341000006110	Symptomatic congestive heart failure	^ESCTSY751034		698594003	2974742013
7573171000006116	Heart failure with reduced ejection fraction	^ESCTHE757317		703272007	3008211011
7573181000006118	Heart failure with reduced ejection fraction due to coronary artery disease	^ESCTHE757318		703273002	3008136010
7573191000006115	Heart failure with reduced ejection fraction due to myocarditis	^ESCTHE757319		703274008	3008268013
7573201000006117	Heart failure with reduced ejection fraction due to cardiomyopathy	^ESCTHE757320		703275009	3008202011
7573211000006119	Heart failure with reduced ejection fraction due to heart valve disease	^ESCTHE757321		703276005	3008139015
789941000006117	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	G234	G234.00	194781004	299674016
8011111000006111	Congestive heart failure with right heart failure	^ESCTCO801111		23341000119109	2984250012
8030311000006111	Exacerbation of congestive heart failure	^ESCTEX803031		96311000119109	2921293019
8048061000006111	Chronic combined systolic and diastolic heart failure	^ESCTCH804806		153941000119100	2984291014
8234591000006113	Generalised left ventricular dysfunction	^ESCTGE823459		759821000000103	1680151000000113
8234601000006117	Regional left ventricular dysfunction	^ESCTRE823460		759831000000101	1680171000000116
8234611000006119	Left ventricular dysfunction due to right ventricular interaction	^ESCTLE823461		759841000000105	1680191000000117
8278041000006115	Rehabilitation for heart failure	^ESCTRE827804		835981000000108	2170921000000112
8303561000006119	Heart failure monitoring	^ESCTHE830356		871681000000102	2251951000000113
905391000006119	[RFC] Cardiac failure	HNG0013		905391000006103	905391000006119
94251011	Acute heart failure	G582	G582.00	56675007	94251011
