medcodeid	desc	originalreadcode	snomedctconceptid	hiv
14155311000006111	HIV-CDC dual infection with HIV-1 and HIV-2	^ESCT1415531	1003679009	1
6972261000006119	HIV retinopathy	^ESCTHI697226	421460008	1
3994511000006112	Asymptomatic HIV infection	^ESCTAS399451	91947003	1
3904971000006113	HIV infection	^ESCTHI390497	86406008	1
2802031000006116	HIV	^ESCTHI280203	19030005	1
1977041000006112	HIV-1/HIV-2 antigen/antibody combination immunoassay positive	EMISNQHI56	1977041000006108	1
1823711000006112	Mother HIV positive	EMISNQMO96	1823711000006108	1
1762151000006112	[SHHAPT] New HIV diagnosis - late - diagnosed prev. elsewhere	H1BX-SHHAPT	1762151000006108	1
1762141000006110	[SHHAPT] New HIV diagnosis - acute - diagnosed prev. elsewhere	H1AX-SHHAPT	1762141000006106	1
1762131000006117	[SHHAPT] New HIV diagnosis - diagnosed previously elsewhere	H1X-SHHAPT	1762131000006101	1
1761381000006113	[SHHAPT] New HIV diagnosis - late	H1B-SHHAPT	1761381000006109	1
1761361000006115	[SHHAPT] New HIV diagnosis - acute	H1A-SHHAPT	1761361000006104	1
1761351000006117	[SHHAPT] New HIV diagnosis	H1-SHHAPT	1761351000006101	1
1761311000006118	[SHHAPT] HIV positive	H-SHHAPT	1761311000006102	1
1573641000006119	H/O: HIV	EMISNQHO13	1573641000006103	1
908851000006113	[RFC] AIDS/HIV	HNG0607	908851000006109	1
906841000006112	[RFC] HIV/AIDS	HNG0143	906841000006108	1
854381000006118	HIV infection	EGTON41	854381000006102	1
825891000006112	HIV Infection With Symptoms, Not AIDS - Subsequent Presentation	E2B-KC60	825891000006108	1
825881000006114	HIV Infection With Symptoms, Not AIDS - First Presentation	E2A-KC60	825881000006105	1
496791000006114	Asymptomatic HIV Infection - Subsequent Presentation	E1B-KC60	496791000006105	1
496781000006111	Asymptomatic HIV Infection - First Presentation	E1A-KC60	496781000006107	1
3515781000006117	Acquired immunodeficiency syndrome	^ESCTAC351578	62479008	1
5093691000006119	Acquired immune deficiency syndrome-related nephropathy	^ESCTAC509369	236406007	1
5588851000006115	Congenital acquired immune deficiency syndrome	^ESCTCO558885	276665006	1
6973461000006110	Acquired immune deficiency syndrome dementia complex	^ESCTAC697346	421529006	1
14668751000006114	Pneumocystosis with AIDS (acquired immunodeficiency syndrome)	^ESCT1466875	420403001	1
14668791000006115	Kaposi's sarcoma with AIDS (acquired immunodeficiency syndrome)	^ESCT1466879	420524008	1
14669181000006111	Presenile dementia with AIDS (acquired immunodeficiency syndrome)	^ESCT1466918	421023003	1
14669521000006116	Dementia with AIDS (acquired immunodeficiency syndrome)	^ESCT1466952	421529006	1
15046771000006110	AIDS (acquired immunodeficiency syndrome) wasting syndrome	^ESCT1504677	1260096003	1
11989691000006113	hiv disease resulting in mycobacterial infection	^ESCT1198969	88415009	1
12456741000006113	[v]asymptomatic human immunodeficiency virus infection status	^ESCT1245674	427921000000108	1
1761401000006113	[shhapt] attendance for hiv related care	H2-SHHAPT	1761401000006109	1
3515761000006110	aids	^ESCTAI351576	62479008	1
3515801000006118	aids - acquired immunodeficiency syndrome	^ESCTAI351580	62479008	1
3515811000006115	acquired immune deficiency syndrome (aids)	^ESCTAC351581	62479008	1
4063961000006110	human immunodeficiency virus infection with persistent generalized lymphadenopathy	^ESCTHU406396	95892003	1
4200811000006115	acute human immunodeficiency virus infection	^ESCTAC420081	111880001	1
4634221000006110	notification of acquired immune deficiency syndrome	^ESCTNO463422	170530008	1
474391000006110	aids - first presentation	E3A-KC60	474391000006106	1
474401000006112	aids - subsequent presentation	E3B-KC60	474401000006108	1
6953541000006114	pneumocystosis associated with acquired immunodeficiency syndrome	^ESCTPN695354	420403001	1
6955711000006116	kaposi sarcoma associated with aids	^ESCTKA695571	420524008	1
6955721000006112	kaposi's sarcoma associated with acquired immunodeficiency syndrome	^ESCTKA695572	420524008	1
6960951000006115	mycobacteriosis associated with aids	^ESCTMY696095	420818005	1
6960961000006118	mycobacteriosis associated with acquired immunodeficiency syndrome	^ESCTMY696096	420818005	1
6973421000006116	dementia associated with aids	^ESCTDE697342	421529006	1
6973431000006118	acquired immune deficiency syndrome-related dementia	^ESCTAC697343	421529006	1
6973441000006111	aids - acquired immune deficiency syndrome dementia complex	^ESCTAI697344	421529006	1
6973451000006113	adc - acquired immune deficiency syndrome dementia complex	^ESCTAD697345	421529006	1
6973471000006115	dementia associated with acquired immunodeficiency syndrome	^ESCTDE697347	421529006	1
6975941000006117	pneumonia associated with aids	^ESCTPN697594	421671002	1
6975951000006115	pneumonia associated with acquired immunodeficiency syndrome	^ESCTPN697595	421671002	1
6981921000006115	cachexia associated with aids	^ESCTCA698192	422003001	1
6981941000006110	hiv - human immunodeficiency virus infection wasting syndrome	^ESCTHI698194	422003001	1
6981961000006114	human immunodeficiency virus infection wasting syndrome	^ESCTHU698196	422003001	1
6981971000006119	cachexia associated with acquired immunodeficiency syndrome	^ESCTCA698197	422003001	1
7711131000006114	burkitt's lymphoma co-occurrent with human immunodeficiency virus infection	^ESCTBU771113	713897006	1
8342711000006110	hiv (human immunodeficiency virus) disease resulting in haematological and immunological abnormalities	^ESCTHI834271	943041000000105	1
879271000006114	aids +viral/chlamydial dis.nos	A78-99	543791000000108	1
925451000006113	aids carrier	PCNQAI2	925451000006109	1
925771000006110	notification of aids	PCNQNO16	925771000006106	1
