MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
8290631000006114	6	^ESCTWI829063		Wide excision of local recurrence of breast cancer	851221000000104	2205361000000115	31
8292321000006115	40	^ESCTTO829232		Total excision of breast duct	852951000000106	2208961000000114	31
14610941000006113	100	^ESCT1461094		Excision of bilateral breasts	27865001	4649815018	32
14797661000006112	400	^ESCT1479766		Excision of breast	1231734007	5074059018	32
3513034011	20	^ESCT1165087		Excision of right breast lump	735086001	3513034011	31
3524723010	5	^ESCT1166964		Excision of part of left breast	736753001	3524723010	31
8290581000006111	1	^ESCTRE829058		Re-excision of local recurrence of breast cancer	851181000000109	2205251000000114	31
858771000006114	60	71361-99	7136199	Breast nipple excision	72577009	858771000006114	32
269615016	40	7710y	7710y00	Other specified total excision of colon and rectum	174059005	269607019	32
269617012	60	7710z	7710z00	Total excision of colon and rectum NOS	174059005	269607019	32
269623019	30	7711y	7711y00	Other specified total excision of colon	26390003	44200018	32
269624013	80	7711z	7711z00	Total excision of colon NOS	26390003	44200018	32
269632017	40	7712y	7712y00	Other specified extended excision of right hemicolon	174071004	269625014	32
269633010	200	7712z	7712z00	Extended excision of right hemicolon NOS	174071004	269625014	32
269641010	200	7713y	7713y00	Other specified other excision of right hemicolon	359571009	473525014	32
269642015	800	7713z	7713z00	Other excision of right hemicolon NOS	359571009	473526010	32
269649012	100	7714y	7714y00	Other specified excision of transverse colon	26925005	45041010	32
269650012	90	7714z	7714z00	Excision of transverse colon NOS	26925005	45041010	32
269657010	40	7715y	7715y00	Other specified excision of left hemicolon	82619000	137054015	32
269658017	100	7715z	7715z00	Excision of left hemicolon NOS	82619000	137054015	32
269665013	300	7716y	7716y00	Other specified excision of sigmoid colon	84604002	140268015	32
269666014	1000	7716z	7716z00	Excision of sigmoid colon NOS	84604002	140268015	32
269667017	1000	7717	7717.00	Other excision of colon	23968004	40242011	32
269678013	100	7717y	7717y00	Other specified other excision of colon	23968004	40242011	32
269685012	6000	77181	7718100	Excision of lesion of colon NEC	87279008	144725010	32
275483015	70	7H250	7H25000	Excision of lesion of mesentery of colon	177974004	275483015	32
394174018	4000	7717z	7717z00	Other excision of colon NOS	23968004	40242011	32
394202010	200	7720	7720.00	Partial excision of rectum and sigmoid colon for prolapse	265411006	394202010	32
505179012	2000	7715	7715.00	Excision of left hemicolon	82619000	505179012	32
1225014019	8000	7711	7711.00	Total excision of colon	26390003	1225014019	32
1225143013	300	7714	7714.00	Excision of transverse colon	26925005	1225143013	32
1234961018	5000	7716	7716.00	Excision of sigmoid colon	84604002	1234961018	32
191801000006115	60	77210-4	7721014	Rankin abdominoperineal excision of rectum and end colostomy	265414003	394210011	32
245671000006119	30	7720z	7720z00	Partial excision of rectum & sigmoid colon for prolapse NOS	265411006	394202010	32
245691000006118	10	7720y	7720y00	Partial excision of rectum and sigmoid colon for prolapse OS	265411006	394202010	32
354911000000115	2000	771T	771T.00	Subtotal excision of colon	43075005	354911000000115	32
375571000000117	100	771T3	771T300	Subtotal excision of colon and creation of colonic pouch NEC	44378008	74021019	32
375591000000118	200	771Ty	771Ty00	Other specified subtotal excision of colon	43075005	71867019	32
375611000000114	300	771Tz	771Tz00	Subtotal excision of colon NOS	43075005	71867019	32
482551000000117	700	771G6	771G600	Excision of lesion of colon	87279008	144725010	32
651641000006113	600	77180	7718000	Excision of diverticula of colon	386197003	1480377015	32
657711000006114	2000	7712	7712.00	Extended excision of right hemicolon	174071004	269625014	32
702151000006111	100	77210-3	7721013	Miles abdominoperineal excision of rectum and end colostomy	265414003	394210011	32
738961000006117	200	77210-2	7721012	Lloyd-Davies abdominoperineal excision rectum+end colostomy	265414003	394210011	32
797681000006114	7	77210-1	7721011	Gabriel abdominoperineal excision of rectum & end colostomy	265414003	394210011	32
1545011000006111	10	771T0	771T000	Subtotal excision of colon and rectum and creation of colonic pouch and anastomosis of colon to anus	427997001	2696109013	32
1545021000006115	40	771T1	771T100	Subtotal excision colon rectum creation of colonic pouch NEC	44378008	74021019	32
1545031000006117	30	771T2	771T200	Subtotal excision of colon and creation of colonic pouch and anastomosis of colon to rectum	233041000000108	375551000000114	32
5971311000006115	2	^ESCTEX597131		Excision of colocutaneous fistula	307662005	451003018	31
7324941000006113	4	^ESCTIN732494		Incision of colon and excision of polyp	446472006	2883820015	31
7358171000006114	2	^ESCTAN735817		Anterior resection of rectum and total mesorectal excision with colostomy	448653006	2900445012	31
7364791000006112	10	^ESCTCO736479		Colonoscopic excision of polyp of rectum	449106004	2901747013	31
8463991000006114	3	^ESCTCO846399		Combined endoscopic and laparoscopic excision of polyp of colon	1085941000000108	2720461000000116	31
13662271000006112	20	^ESCT1366227		Excision of entire colon and entire rectum	787109009	3774638018	32
13662301000006114	1	^ESCT1366230		Total excision of colon and rectum	787109009	3774139013	32
269085013	400	76100	7610000	Total gastrectomy and excision of surrounding tissue	173714001	269085013	32
269937014	900	7721y	7721y00	Excision of rectum	87677003	2164188015	32
269938016	1000	7721z	7721z00	Excision of rectum NOS	87677003	2164188015	32
269943011	500	77220	7722000	Open excision of lesion of rectum	174247000	269943011	32
394222014	4000	77261	7726100	Peranal excision of lesion of rectum	265425007	394222014	32
410935011	5000	77261-1	7726111	Peranal excision of rectal polyp	275012008	410935011	32
91151000006116	2000	77251	7725100	Transsphincteric excision of lesion of rectum	265425007	394222014	32
863801000006110	20	772-99	772..99	Rectum incision/excision	274029004	863801000006110	32
863811000006113	40	7721-99	7721.99	Local excision of rectum	622061000000104	863811000006113	32
3797211000006114	20	^ESCTEX379721		Excision of lesion of rectum	79764004	132346016	31
6551531000006114	60	^ESCTTO655153		Total mesorectal excision	395136002	1488834010	32
7350681000006117	100	^ESCTEX735068		Excision of rectum by transanal approach	448156002	2899809014	32
163131000006117	400	77131	7713100	Right hemicolectomy+side to side anast ileum to transv colon	174081000	269638018	32
191811000006117	30	7717z-3	7717z13	Rankin partial colectomy	43075005	71867019	32
242981000006119	20	77174-2	7717412	Paul colectomy and colostomy	397160002	1776850011	32
244341000006118	1000	77101-1	7710111	Parks panproctocolectomy, anastomosis of ileum to anus and creation of pouch	303401008	445493016	32
249841000006113	700	77101	7710100	Total abdominal colectomy with rectal mucosectomy and ileoanal anastomosis	80294005	133236014	32
571961000006111	300	77170	7717000	Colectomy and end to end anastomosis of colon to colon NEC	23968004	40242011	32
571991000006115	200	77171	7717100	Colectomy and side to side anastomosis of ileum to colon NEC	23968004	40242011	32
657761000006112	900	77121	7712100	Extended right hemicolectomy and anastomosis of ileum to colon	174073001	269627018	32
657781000006119	2000	77120	7712000	Extended right hemicolectomy and end to end anastomosis	174072006	269626010	32
657791000006116	1000	77123	7712300	Extended right hemicolectomy and ileostomy HFQ	304583001	446932014	32
734971000006116	300	77151	7715100	Left hemicolectomy+end to end anastomosis of colon to colon	174094003	269652016	32
748741000006118	400	77153	7715300	Left hemicolectomy with stoma	315325005	459833012	32
702811000006117	20	77174-1	7717411	Mikulicz colectomy and colostomy	397160002	1776850011	32
748751000006116	400	77150	7715000	Left hemicolectomy and end to end anastomosis of colon to rectum	174093009	269651011	32
863561000006114	1000	771-98	771..98	Partial colectomy	43075005	863561000006114	32
1822151000006118	20	EMISNQLA79		Laparoscopic-assisted right hemicolectomy	50774009	1822151000006118	32
2150381000000111	10000	77134	7713400	Laparoscopically assisted right hemicolectomy	50774009	2352171000000119	32
2299351000000118	400	77135	7713500	Right hemicolectomy and end to side anastomosis	893101000000106	2299351000000118	32
2299951000000117	30	77155	7715500	Left hemicolectomy and end to side anastomosis	893401000000103	2299951000000117	32
2300071000000110	40	77165	7716500	Sigmoid colectomy and end to side anastomosis	893461000000104	2300071000000110	32
2300111000000116	80	77177	7717700	Colectomy and end to side anastomosis	893481000000108	2300111000000116	32
2520651000006110	50	^ESCTLA252065		Laparoscopic sigmoid colectomy	1390003	1221031016	31
3001901000006113	60	^ESCTTO300190		Total abdominal colectomy with proctectomy and ileostomy	31130001	52105012	32
3083301000006114	20	^ESCTTO308330		Total abdominal colectomy with ileoproctostomy	36192008	60398018	32
3083311000006112	100	^ESCTTO308331		Total colectomy and ileorectal anastomosis	36192008	486389016	32
3194261000006111	4000	^ESCTSU319426		Subtotal colectomy	43075005	493518014	32
3214991000006112	7	^ESCTPA321499		Partial colectomy with anastomosis	44378008	74021019	32
3322321000006116	200	^ESCTLA332232		Laparoscopic right hemicolectomy	50774009	1230900014	32
3843931000006113	200	^ESCTLE384393		Left colectomy	82619000	137054015	32
4659741000006111	80	^ESCTEX465974		Extended right hemicolectomy and end-to-end anastomosis	174072006	269626010	32
4659831000006114	100	^ESCTRI465983		Right hemicolectomy and side-to-side anastomosis of ileum to transverse colon	174081000	269638018	32
4659851000006119	20	^ESCTTR465985		Transverse colectomy and end-to-end anastomosis	174086005	269643013	32
4659891000006113	20	^ESCTLE465989		Left hemicolectomy and end-to-end anastomosis of colon to colon	174094003	269652016	32
4659911000006110	20	^ESCTSI465991		Sigmoid colectomy and end-to-end anastomosis of ileum to rectum	174100000	269659013	32
5078631000006119	8	^ESCTEX507863		Extended left hemicolectomy	235325001	352728018	31
5931381000006113	100	^ESCTEX593138		Extended right hemicolectomy and ileostomy	304583001	446932014	32
6056991000006114	100	^ESCTLE605699		Left hemicolectomy with anastomosis	315324009	459832019	32
5971271000006115	9	^ESCTSI597127		Sigmoid colectomy and colostomy	307658004	450999019	31
5971281000006117	20	^ESCTSU597128		Subtotal colectomy with ileorectal anastomosis	307659007	451000015	31
6203741000006114	3000	^ESCTRI620374		Right hemicolectomy	359571009	473525014	32
6057021000006111	300	^ESCTSI605702		Sigmoid colectomy with stoma	315327002	459835017	32
6057011000006115	200	^ESCTSI605701		Sigmoid colectomy with anastomosis	315326006	459834018	32
8273671000006111	50	^ESCTLA827367		Laparoscopic sigmoid colectomy	826991000000103	2150841000000111	31
8273731000006116	20	^ESCTLA827373		Laparoscopic subtotal colectomy	827051000000105	2150961000000118	31
