medcodeid	desc	snomedctconceptid	coding_system	cancertype	blood_cancertype	ca_of_interest	recurrent_ca	secondary_ca	history_ca	aurum_stage_grade
4036511000006118	Secondary malignant neoplasm of nipple of female breast	94443006	Aurum	breast		1		1		
5352541000006110	Carcinoma of prostate	254900004	Aurum	prostate		1				
5608211000006113	Endometrioid carcinoma of prostate	278060005	Aurum	prostate		1				
722361000006115	Malignant tumor of prostate 	399068003	Aurum	prostate		1				
6623661000006114	Adenocarcinoma of prostate 	399490008	Aurum	prostate		1				
7074671000006114	Hormone refractory prostate cancer 	427492003	Aurum	prostate		1				
7696241000006114	Primary malignant neoplasm of prostate metastatic to bone	712849003	Aurum	prostate		1				
7827301000006119	Hormone sensitive prostate cancer 	722103009	Aurum	prostate		1				
4027551000006117	Primary malignant neoplasm of prostate 	93974005	Aurum	prostate		1				
156607018	Secondary malignant neoplasm of prostate	94503003	Aurum	prostate		1		1		
1227569012	[V]Personal history of malignant neoplasm of prostate	428262008	Aurum	prostate		1			1	
4038061000006114	Metastatic malignant neoplasm to prostate	94503003	Aurum	prostate		1				
6052171000006111	Local recurrence of malignant tumour of prostate	314969001	Aurum	prostate		1	1			
6052181000006114	Local recurrence of malignant tumor of prostate	314969001	Aurum	prostate		1	1			
6052511000006110	Metastasis from malignant tumour of prostate	314994000	Aurum	prostate		1				
6052521000006119	Metastasis from malignant tumor of prostate	314994000	Aurum	prostate		1				
6325011000006113	Malignant tumour involving bladder by direct extension from prostate	369472002	Aurum	prostate		1				
6325291000006111	Malignant tumour involving prostate by separate metastasis from bladder	369486003	Aurum	prostate		1				
6325351000006111	Malignant tumour involving seminal vesicle by direct extension from prostate	369490001	Aurum	prostate		1				
6327431000006117	Malignant tumour involving an organ by direct extension from prostate	369598006	Aurum	prostate		1				
6327591000006119	Malignant tumour involving an organ by separate metastasis from prostate	369606006	Aurum	prostate		1				
6616721000006113	Malignant tumor of prostate	399068003	Aurum	prostate		1				
7085791000006110	History of malignant neoplasm of prostate	428262008	Aurum	prostate		1			1	
7731731000006117	Familial malignant neoplasm of prostate	715412008	Aurum	prostate		1				
8468321000006116	Recurrent malignant neoplasm of prostate	1098981000119101	Aurum	prostate		1	1			
153295017	Carcinoma in situ of prostate	92691004	Aurum	prostate		1				
5352551000006112	CA - Carcinoma of prostate	254900004	Aurum	prostate		1				
5352561000006114	Prostate carcinoma	254900004	Aurum	prostate		1				
6565521000006119	Small cell carcinoma of prostate	396198006	Aurum	prostate		1				
6625251000006110	Squamous cell carcinoma of prostate	399590005	Aurum	prostate		1				
7696231000006116	Carcinoma of prostate with bony metastases	712849003	Aurum	prostate		1				
13927471000006115	Acinar cell cystadenocarcinoma of prostate	822970008	Aurum	prostate		1				
13927961000006117	Infiltrating duct carcinoma of prostate	823017009	Aurum	prostate		1				
15001121000006111	Metastatic carcinoma to prostate	1237422007	Aurum	prostate		1				
906971000006110	[RFC] Cancer of the prostate	906971000006106	Aurum	prostate		1				
1717461000000112	H/O: prostate cancer	428262008	Aurum	prostate		1			1	
4008071000006111	Cancer in situ of prostate	92691004	Aurum	prostate		1				
5352571000006119	Prostate cancer	254900004	Aurum	prostate		1				
6052531000006116	Cancer of the prostate with metastasis	314994000	Aurum	prostate		1				
6052541000006114	Metastatic prostate cancer	314994000	Aurum	prostate		1				
6616751000006116	CA - Cancer of prostate	399068003	Aurum	prostate		1				
6616761000006119	Cancer of prostate	399068003	Aurum	prostate		1				
7074681000006112	Castration-resistant prostate cancer	427492003	Aurum	prostate		1				
7074691000006110	Castrate-resistant prostate cancer	427492003	Aurum	prostate		1				
7696221000006119	Prostate cancer metastatic to bone	712849003	Aurum	prostate		1				
7731721000006115	Familial prostate cancer	715412008	Aurum	prostate		1				
7827321000006112	Castration-sensitive prostate cancer	722103009	Aurum	prostate		1				
8454101000006110	Primary adenocarcinoma of lower lobe of left lung 	1078881000119102	Aurum	lung		1				
8454131000006119	Primary adenocarcinoma of upper lobe of left lung 	1078901000119100	Aurum	lung		1				
8454181000006118	Primary adenocarcinoma of lower lobe of right lung	1078931000119107	Aurum	lung		1				
8454241000006115	Primary adenocarcinoma of upper lobe of right lung 	1078961000119104	Aurum	lung		1				
292105018	Malignant neoplasm of bronchus or lung 	1090881000000100	Aurum	lung		1				
723301000006110	Malignant neoplasm of overlapping lesion of bronchus and lung	109371002	Aurum	lung		1				
8468301000006114	History of cancer metastatic to lung	1098961000119105	Aurum	lung		1			1	
9478691000006118	Squamous cell carcinoma of left lung 	12240951000119107	Aurum	lung		1				
9478701000006118	Squamous cell carcinoma of right lung 	12240991000119102	Aurum	lung		1				
3525998014	Adenocarcinoma of left lung	15956341000119105	Aurum	lung		1				
9868091000006114	Adenocarcinoma of right lung	15956381000119100	Aurum	lung		1				
288820017	Malignant neoplasm of upper lobe of lung	187862007	Aurum	lung		1				
288822013	Malignant neoplasm of middle lobe, bronchus or lung	187864008	Aurum	lung		1				
288824014	Malignant neoplasm of middle lobe of lung	187866005	Aurum	lung		1				
288826011	Malignant neoplasm of lower lobe, bronchus or lung	187868006	Aurum	lung		1				
288828012	Malignant neoplasm of lower lobe of lung	187870002	Aurum	lung		1				
14073371000006114	Lymphomatoid granulomatosis of the lung 	239297008	Aurum	lung		1				
1773151000006112	Adenocarcinoma of lung 	254626006	Aurum	lung		1				
5347121000006111	Carcinoid tumor of lung	254627002	Aurum	lung		1				
1772971000006112	Carcinoid tumour of lung	254627002	Aurum	lung		1				
5347131000006114	Carcinoma of lung parenchyma 	254628007	Aurum	lung		1				
1773161000006114	Large cell carcinoma of lung 	254629004	Aurum	lung		1				
5347151000006119	Giant cell carcinoma of lung 	254631008	Aurum	lung		1				
5347161000006117	Small cell carcinoma of lung 	254632001	Aurum	lung		1				
5347191000006113	Oat cell carcinoma of lung 	254633006	Aurum	lung		1				
1773141000006110	Squamous cell carcinoma of lung 	254634000	Aurum	lung		1				
5347231000006115	Epithelioid haemangioendothelioma of lung	254635004	Aurum	lung		1				
1773131000006117	Non-small cell lung cancer 	254637007	Aurum	lung		1				
403688010	Malignant neoplasm of upper lobe, bronchus or lung	269464000	Aurum	lung		1				
5703481000006115	Metastasis to lung of unknown primary 	285604008	Aurum	lung		1				
6051911000006111	Local recurrence of malignant tumor of lung 	314954002	Aurum	lung		1	1			
6052781000006110	Metastasis from malignant tumor of lung 	315006004	Aurum	lung		1				
11925881000006119	Malignant tumor of lung	363358000	Aurum	lung		1				
6364281000006116	Carcinoma of lower lobe, bronchus or lung 	372111007	Aurum	lung		1				
6364651000006110	Carcinoma of upper lobe, bronchus or lung 	372136001	Aurum	lung		1				
7362951000006113	Carcinoma of lung	448993007	Aurum	lung		1				
8021341000006115	Primary small cell malignant neoplasm of lung, TNM stage 2 	67821000119109	Aurum	lung		1				
8211451000006113	Extensive stage primary small cell carcinoma of lung	683991000119103	Aurum	lung		1				
7617691000006119	Primary mucinous adenocarcinoma of lung 	707452003	Aurum	lung		1				
7617771000006113	Primary undifferentiated carcinoma of lung 	707456000	Aurum	lung		1				
7688051000006117	Primary clear cell adenocarcinoma of lung 	711414003	Aurum	lung		1				
7832881000006118	Primary malignant neuroendocrine neoplasm of lung 	722528008	Aurum	lung		1				
7842361000006118	Squamous non-small cell lung cancer 	723301009	Aurum	lung		1				
7851001000006114	Malignant neoplasm of lower lobe of left lung 	724059003	Aurum	lung		1				
7851011000006112	Malignant neoplasm of right upper lobe of lung 	724060008	Aurum	lung		1				
155287019	Malignant neoplasm of hilus of lung	93827000	Aurum	lung		1				
4034801000006111	Secondary malignant neoplasm of left upper lobe of lung 	94376006	Aurum	lung		1		1		
156319016	Secondary malignant neoplasm of lung	94391008	Aurum	lung		1		1		
288821018	Malignant neoplasm of upper lobe, bronchus or lung NOS	269464000	Aurum	lung		1				
288825010	Malignant neoplasm of middle lobe, bronchus or lung NOS	187864008	Aurum	lung		1				
288832018	Malignant neoplasm of other sites of bronchus or lung	363358000	Aurum	lung		1				
403689019	Malignant tumour of lung	363358000	Aurum	lung		1				
1227560011	[V]Personal history of malignant neoplasm of lung	415082004	Aurum	lung		1			1	
344781000006115	[V]Personal history of malignant neoplasm of trachea, bronchus or lung	412341000000106	Aurum	lung		1			1	
808221000006112	History of malignant neoplasm of lung	415082004	Aurum	lung		1			1	
1773111000006111	Primary malignant neoplasm of lung	93880001	Aurum	lung		1				
4026111000006112	Primary malignant neoplasm of hilus of lung	93827000	Aurum	lung		1				
4026421000006113	Primary malignant neoplasm of lower lobe of left lung	93864006	Aurum	lung		1				
4026441000006118	Primary malignant neoplasm of left upper lobe of lung	93865007	Aurum	lung		1				
4027751000006114	Primary malignant neoplasm of right lower lobe of lung	93991009	Aurum	lung		1				
4027761000006111	Primary malignant neoplasm of right middle lobe of lung	93992002	Aurum	lung		1				
4027771000006116	Primary malignant neoplasm of upper lobe of right lung	93993007	Aurum	lung		1				
4033691000006118	Secondary malignant neoplasm of hilus of lung	94329002	Aurum	lung		1		1		
4034781000006112	Secondary malignant neoplasm of left lower lobe of lung	94375005	Aurum	lung		1		1		
4034811000006114	Metastatic malignant neoplasm to left upper lobe of lung	94376006	Aurum	lung		1				
4035171000006112	Metastatic malignant neoplasm to lung	94391008	Aurum	lung		1				
4035181000006110	Secondary malignant tumour of lung	94391008	Aurum	lung		1		1		
4035191000006113	Secondary malignant tumor of lung	94391008	Aurum	lung		1		1		
4038541000006115	Secondary malignant neoplasm of right lower lobe of lung	94522007	Aurum	lung		1		1		
4038551000006118	Metastatic malignant neoplasm to right lower lobe of lung	94522007	Aurum	lung		1				
4038581000006114	Secondary malignant neoplasm of right upper lobe of lung	94524008	Aurum	lung		1		1		
4748061000006112	Malignant neoplasm of right middle lobe of lung	187866005	Aurum	lung		1				
5347081000006114	Malignant tumour of lung parenchyma	254625005	Aurum	lung		1				
6051901000006113	Local recurrence of malignant tumour of lung	314954002	Aurum	lung		1	1			
6052771000006112	Metastasis from malignant tumour of lung	315006004	Aurum	lung		1				
6364271000006119	Primary malignant neoplasm of lower lobe, bronchus or lung	372110008	Aurum	lung		1				
7850981000006110	Malignant neoplasm of lower lobe of right lung	724056005	Aurum	lung		1				
7850991000006113	Malignant neoplasm of upper lobe of left lung	724058006	Aurum	lung		1				
8021331000006113	Primary small cell malignant neoplasm of lung, TNM stage 1	67811000119102	Aurum	lung		1				1
8021351000006118	Primary small cell malignant neoplasm of lung, TNM stage 3	67831000119107	Aurum	lung		1				1
8021361000006116	Primary small cell malignant neoplasm of lung, TNM stage 4	67841000119103	Aurum	lung		1				1
8113461000006113	Secondary malignant neoplasm of right lung	353561000119103	Aurum	lung		1		1		
8113541000006110	Secondary malignant neoplasm of left lung	353741000119106	Aurum	lung		1		1		
14140751000006119	Primary malignant neoplasm of left lung	890528009	Aurum	lung		1				
14140761000006117	Primary malignant neoplasm of right lung	890529001	Aurum	lung		1				
14140771000006112	Bilateral primary malignant neoplasm of lungs	890534002	Aurum	lung		1				
14140791000006113	Primary malignant neoplasm of bilateral lungs	890534002	Aurum	lung		1				
14182251000006119	History of primary malignant neoplasm of left lung	16848061000119103	Aurum	lung		1			1	
14182261000006117	History of primary malignant neoplasm of right lung	16848101000119100	Aurum	lung		1			1	
14570101000006113	Malignant neoplasm of middle lobe of right lung	1179762006	Aurum	lung		1				
14831311000006118	Malignant carcinoid tumour of left lung	145298771000119104	Aurum	lung		1				
14831861000006112	Malignant carcinoid tumour of right lung	793197981000119106	Aurum	lung		1				
733371000006119	Lung cancer	93880001	Aurum	lung		1				
907111000006118	[RFC] Lung cancer	907111000006102	Aurum	lung		1				
1773121000006115	Small cell lung cancer	254632001	Aurum	lung		1				
4035211000006114	Secondary cancer of lung	94391008	Aurum	lung		1		1		
4035221000006118	Cancer metastatic to lung	94391008	Aurum	lung		1				
5347171000006112	SCLC - Small cell lung cancer	254632001	Aurum	lung		1				
5347301000006115	NSCLC - Non-small cell lung cancer	254637007	Aurum	lung		1				
6243261000006112	CA - Lung cancer	363358000	Aurum	lung		1				
7066961000006112	Epidermal growth factor receptor positive non-small cell lung cancer	426964009	Aurum	lung		1				
7066991000006116	EGFR positive non-small cell lung cancer	426964009	Aurum	lung		1				
7572591000006117	Non-small cell lung cancer without mutation in epidermal growth factor receptor	703230006	Aurum	lung		1				
7842371000006113	Squamous NSCLC (non-small cell lung cancer)	723301009	Aurum	lung		1				
8113471000006118	Cancer metastatic to right lung	353561000119103	Aurum	lung		1				
8113551000006112	Cancer metastatic to left lung	353741000119106	Aurum	lung		1				
13931311000006111	ROS1 negative NSCLC - reactive oxygen species 1 negative non-small cell lung cancer	830060005	Aurum	lung		1				
13932231000006118	Anaplastic lymphoma kinase fusion oncogene positive non-small cell lung cancer	830151004	Aurum	lung		1				
15043051000006114	Primary epidermal growth factor receptor positive non-small cell lung cancer	1259776007	Aurum	lung		1				
15082121000006118	Lung cancer	363358000	Aurum	lung		1				
290788018	Carcinoma in situ of bronchus and lung	189262006	Aurum	lung		1				
290791018	Carcinoma in situ of upper lobe bronchus and lung	189265008	Aurum	lung		1				
290792013	Carcinoma in situ of middle lobe bronchus and lung	189266009	Aurum	lung		1				
290793015	Carcinoma in situ of lower lobe bronchus and lung	189267000	Aurum	lung		1				
290794014	Carcinoma in situ of bronchus or lung NOS	189262006	Aurum	lung		1				
7881241000006113	Malignant carcinoid tumour of bronchus	726653000	Aurum	lung		1				
4007321000006112	Carcinoma in situ of left lower lobe of lung	92639004	Aurum	lung		1				
4007331000006110	Carcinoma in situ of left upper lobe of lung	92640002	Aurum	lung		1				
4007451000006110	Carcinoma in situ of lung	92649001	Aurum	lung		1				
4008221000006118	Carcinoma in situ of right upper lobe of lung	92703004	Aurum	lung		1				
288829016	Malignant neoplasm of lower lobe, bronchus or lung NOS	187868006	Aurum	lung		1				
5347221000006118	SCC - Squamous cell carcinoma of lung	254634000	Aurum	lung		1				
7020421000006116	Non-small cell carcinoma of lung, TNM stage 1	424132000	Aurum	lung		1				1
7037531000006118	Non-small cell carcinoma of lung, TNM stage 2	425048006	Aurum	lung		1				1
6999311000006114	Non-small cell carcinoma of lung, TNM stage 3	422968005	Aurum	lung		1				1
7002061000006114	Non-small cell carcinoma of lung, TNM stage 4	423121009	Aurum	lung		1				1
7005031000006110	Squamous cell carcinoma of lung, TNM stage 1	423295000	Aurum	lung		1				1
7008011000006113	Squamous cell carcinoma of lung, TNM stage 2	423468007	Aurum	lung		1				1
7040841000006111	Squamous cell carcinoma of lung, TNM stage 3	425230006	Aurum	lung		1				1
7043361000006113	Squamous cell carcinoma of lung, TNM stage 4	425376008	Aurum	lung		1				1
7010481000006111	Large cell carcinoma of lung, TNM stage 4	423600008	Aurum	lung		1				1
7026721000006112	Adenocarcinoma of lung, stage III	424454009	Aurum	lung		1				1
7036651000006111	Adenocarcinoma of lung, stage IV	424993006	Aurum	lung		1				1
7617001000006117	Primary mixed subtype adenocarcinoma of lung	707404008	Aurum	lung		1				
7617021000006110	Primary adenosquamous carcinoma of lung	707405009	Aurum	lung		1				
7617031000006113	Adenosquamous carcinoma of lung	707405009	Aurum	lung		1				
7617081000006114	Primary small cell non-keratinising squamous cell carcinoma of lung	707408006	Aurum	lung		1				
7617101000006118	Small cell non-keratinizing squamous cell carcinoma of lung	707408006	Aurum	lung		1				
7617121000006111	Primary acinar cell carcinoma of lung	707409003	Aurum	lung		1				
7617141000006116	Primary solid carcinoma of lung	707410008	Aurum	lung		1				
7617681000006117	Primary adenocarcinoma of lung	707451005	Aurum	lung		1				
7617711000006116	Primary clear cell squamous cell carcinoma of lung	707453008	Aurum	lung		1				
7617721000006112	Clear cell squamous cell carcinoma of lung	707453008	Aurum	lung		1				
7617731000006110	Primary basaloid squamous cell carcinoma of lung	707454002	Aurum	lung		1				
7617751000006115	Primary papillary squamous cell carcinoma of lung	707455001	Aurum	lung		1				
7617791000006114	Primary spindle cell carcinoma of lung	707457009	Aurum	lung		1				
7617811000006113	Primary pleomorphic carcinoma of lung	707458004	Aurum	lung		1				
7617821000006117	Pleomorphic carcinoma of lung	707458004	Aurum	lung		1				
7617841000006112	Sarcomatoid carcinoma of lung	707460002	Aurum	lung		1				
7617881000006118	Primary myoepithelial carcinoma of lung	707464006	Aurum	lung		1				
7617901000006116	Primary mucoepidermoid carcinoma of lung	707465007	Aurum	lung		1				
7617921000006114	Primary adenoid cystic carcinoma of lung	707466008	Aurum	lung		1				
7617991000006111	Primary non-mucinous bronchiolo-alveolar carcinoma of lung	707469001	Aurum	lung		1				
7618011000006115	Primary mucinous bronchiolo-alveolar carcinoma of lung	707470000	Aurum	lung		1				
7969741000006112	Metastasis to lung from adenocarcinoma	1661000119106	Aurum	lung		1				
9868051000006115	Secondary adenocarcinoma of bilateral lungs	15956181000119102	Aurum	lung		1		1		
9868061000006118	Metastatic adenocarcinoma to bilateral lungs	15956181000119102	Aurum	lung		1				
13927461000006110	Acinar cell cystadenocarcinoma of lung	822969007	Aurum	lung		1				
14172051000006115	Secondary squamous cell carcinoma of lung	105041000119109	Aurum	lung		1		1		
14172061000006118	Squamous cell carcinoma metastatic to lung	105041000119109	Aurum	lung		1				
14182271000006112	History of primary non-small cell carcinoma of right lung	16848141000119103	Aurum	lung		1			1	
14194631000006119	History of primary small cell carcinoma of lung	619792361000119102	Aurum	lung		1			1	
14477101000006116	Primary adenocarcinoma of middle lobe of right lung	1078951000119101	Aurum	lung		1				
14478471000006117	Primary small cell carcinoma of upper lobe of left lung	1081861000119105	Aurum	lung		1				
14478481000006119	Primary small cell carcinoma of lower lobe of right lung	1081891000119103	Aurum	lung		1				
14478511000006110	Primary small cell carcinoma of upper lobe of right lung	1081921000119108	Aurum	lung		1				
14478571000006118	Primary squamous cell carcinoma of lower lobe of left lung	1082111000119109	Aurum	lung		1				
14478601000006113	Primary squamous cell carcinoma of upper lobe of left lung	1082141000119108	Aurum	lung		1				
14478661000006114	Primary squamous cell carcinoma of lower lobe of right lung	1082231000119109	Aurum	lung		1				
14478701000006118	Primary squamous cell carcinoma of upper lobe of right lung	1082271000119107	Aurum	lung		1				
14487531000006114	Primary small cell carcinoma of right lung	15955901000119104	Aurum	lung		1				
14487541000006116	Primary small cell carcinoma of left lung	15955941000119102	Aurum	lung		1				
14487551000006119	Secondary adenocarcinoma of right lung	15956221000119105	Aurum	lung		1		1		
14487561000006117	Secondary adenocarcinoma of left lung	15956261000119100	Aurum	lung		1		1		
14487581000006110	Secondary small cell carcinoma of left lung	15956701000119109	Aurum	lung		1		1		
14487591000006113	Bilateral secondary small cell carcinoma of lungs	15956741000119106	Aurum	lung		1		1		
14487621000006110	Bilateral secondary squamous cell carcinoma of lungs	15957141000119109	Aurum	lung		1		1		
14488871000006114	Primary non-small cell carcinoma of lower lobe of left lung	16527441000119105	Aurum	lung		1				
14488891000006110	Primary non-small cell carcinoma of upper lobe of left lung	16527521000119100	Aurum	lung		1				
14488901000006114	Primary non-small cell carcinoma of lower lobe of right lung	16527561000119105	Aurum	lung		1				
14488911000006112	Primary non-small cell carcinoma of right lung	16527601000119105	Aurum	lung		1				
14488921000006116	Primary non-small cell carcinoma of left lung	16527641000119107	Aurum	lung		1				
14488931000006118	Primary non-small cell carcinoma of upper lobe of right lung	16527721000119108	Aurum	lung		1				
15003331000006112	Metastatic carcinoma to lower lobe of lung	1237516000	Aurum	lung		1				
15026451000006111	Non-small cell adenocarcinoma of lung	1255725002	Aurum	lung		1				
15082451000006118	Carcinoma of lower lobe of lung	372111007	Aurum	lung		1				
4037851000006117	Cancer metastatic to pleura	94493005	Aurum	lung		1				
288670017	Malignant neoplasm, overlapping lesion of colon	187757001	Aurum	colorectal		1				
459527013	Hereditary nonpolyposis colon cancer	315058005	Aurum	colorectal		1				
403682011	Malignant tumour of colon	363406005	Aurum	colorectal		1				
721421000006112	Malignant tumour of transverse colon	363408006	Aurum	colorectal		1				
12762201000006115	Malignant tumor of descending colon	363409003	Aurum	colorectal		1				
721991000006115	Malignant tumour of sigmoid colon	363410008	Aurum	colorectal		1				
727321000006111	Malignant tumour of ascending colon	363412000	Aurum	colorectal		1				
155967013	Secondary malignant neoplasm of colon	94260004	Aurum	colorectal		1		1		
