medcode	readcode	readterm	pud
33438	J121000	Chronic duodenal ulcer without mention of complication	1
6321	14C1.11	H/O: duodenal ulcer	1
18324	J120200	Acute duodenal ulcer with perforation	1
2814	J12y100	Unspecified duodenal ulcer with haemorrhage	1
48951	J121100	Chronic duodenal ulcer with haemorrhage	1
352	J12..00	Duodenal ulcer - (DU)	1
4741	7627000	Closure of perforated duodenal ulcer	1
71150	J12y000	Unspecified duodenal ulcer without mention of complication	1
657	J12y200	Unspecified duodenal ulcer with perforation	1
56005	7627y00	Other specified operation on duodenal ulcer	1
53797	J120z00	Acute duodenal ulcer NOS	1
5928	7627.00	Operations on duodenal ulcer	1
23087	J121211	Perforated chronic duodenal ulcer	1
18625	J121111	Bleeding chronic duodenal ulcer	1
45981	761D500	Endoscopic injection haemostasis of duodenal ulcer	1
22918	J122.00	Duodenal ulcer disease	1
18027	J120.00	Acute duodenal ulcer	1
85989	J126.00	Non steroidal anti inflammatory drug induced duodenal ulcer	1
71904	J12y400	Unspecified duodenal ulcer with obstruction	1
93436	J12y300	Unspecified duodenal ulcer with haemorrhage and perforation	1
48730	J120300	Acute duodenal ulcer with haemorrhage and perforation	1
29317	J124.00	Recurrent duodenal ulcer	1
40489	ZV12712	[V]Personal history of duodenal ulcer	1
18001	J120100	Acute duodenal ulcer with haemorrhage	1
53822	J120y00	Acute duodenal ulcer unspecified	1
23487	J14..11	Anastomotic ulcer	1
1295	J14..15	Stomal ulcer	1
4316	J14..14	Marginal ulcer	1
45278	J57y800	Primary ulcer of intestine	1
53747	J57yA00	Ulceration of intestine NOS	1
38850	G842300	Internal ulcerated haemorrhoids	1
6333	J11..11	Prepyloric ulcer	1
3101	J11..12	Pyloric ulcer	1
9981	J14..13	Jejunal ulcer	1
15821	J13..11	Stress ulcer NOS	1
42150	J102z00	Ulcer of oesophagus NOS	1
2489	J102.00	Ulcer of oesophagus	1
5596	J102500	Barrett's ulcer of oesophagus	1
23355	C115.11	Zollinger-Ellison syndrome	1
2877	J11z.11	Gastric erosions	1
3462	J123.00	Duodenal erosion	1
97993	J113z00	Non steroidal anti inflammatory drug induced gastric ulc NOS	1
48043	A992.12	Pudendal ulcer	1
49926	J102100	Fungal ulcer of oesophagus	1
