medcode	readterm	lablel	class	subclass	stroke	tia	cerebro
44740	Sequelae of subarachnoid haemorrhage	4	stroke	haemorrhagic stroke	1		1
51138	Sequelae/other + unspecified cerebrovascular diseases	4	cerebrovascular disease				1
1469	Stroke and cerebrovascular accident unspecified	1	stroke	ischaemic stroke	1		1
6155	Stroke due to cerebral arterial occlusion	1	stroke	ischaemic stroke	1		1
18604	Stroke due to intracerebral haemorrhage	1	stroke	haemorrhagic stroke	1		1
56279	Stroke in the puerperium	1	stroke	ischaemic stroke	1		1
6253	Stroke unspecified	1	stroke	ischaemic stroke	1		1
18686	Stroke/CVA annual review	4	stroke	ischaemic stroke	1		1
28753	Stroke/transient ischaemic attack monitoring first letter	4	stroke	ischaemic stroke	1		1
17326	Subarachnoid haemorrh from intracranial artery, unspecif	1	stroke	haemorrhagic stroke	1		1
1786	Subarachnoid haemorrhage	1	stroke	haemorrhagic stroke	1		1
28807	Subarachnoid haemorrhage following injury	1	stroke	haemorrhagic stroke	1		1
42331	Subarachnoid haemorrhage from anterior communicating artery	1	stroke	haemorrhagic stroke	1		1
41910	Subarachnoid haemorrhage from basilar artery	1	stroke	haemorrhagic stroke	1		1
56007	Subarachnoid haemorrhage from carotid siphon and bifurcation	1	stroke	haemorrhagic stroke	1		1
19412	Subarachnoid haemorrhage from middle cerebral artery	1	stroke	haemorrhagic stroke	1		1
9696	Subarachnoid haemorrhage from posterior communicating artery	1	stroke	haemorrhagic stroke	1		1
60692	Subarachnoid haemorrhage from vertebral artery	1	stroke	haemorrhagic stroke	1		1
23580	Subarachnoid haemorrhage NOS	1	stroke	haemorrhagic stroke	1		1
4273	Subdural haemorrhage - nontraumatic	1	stroke	haemorrhagic stroke	1		1
6569	Subdural haemorrhage following injury	1	stroke	haemorrhagic stroke	1		1
18912	Subdural haemorrhage NOS	1	stroke	haemorrhagic stroke	1		1
68800	Subdural h'ge inj no open intracranial wnd + unspec consc	1	stroke	haemorrhagic stroke	1		1
504	Transient cerebral ischaemia	1	tia	ischaemic stroke	1	1	1
15788	Transient cerebral ischaemia NOS	1	tia	ischaemic stroke	1	1	1
1895	Transient cerebral ischaemia NOS	1	tia	ischaemic stroke	1	1	1
1433	Transient ischaemic attack	1	tia	ischaemic stroke	1	1	1
42720	Transient ischaemic deafness	4	tia	ischaemic stroke	1	1	1
40847	Vertebral artery occlusion	1	tia	ischaemic stroke	1	1	1
21118	Vertebro-basilar artery syndrome	1	stroke	ischaemic stroke	1		1
10794	Vertebrobasilar insufficiency	1	tia	ischaemic stroke	1	1	1
2417	Vertebro-basilar insufficiency	1	tia	ischaemic stroke	1	1	1
47642	Wallenberg syndrome	1	stroke	ischaemic stroke	1		1
95347	[X]Other vascular syndroms/brain in cerebrovasculr diseases	1	cerebrovascular disease				1
31704	Occlusion/stenosis cerebral arts not result cerebral infarct	1	cerebrovascular disease				1
70536	Acute cerebrovascular insufficiency NOS	1	stroke	ischaemic stroke	1		1
40053	Generalised ischaemic cerebrovascular disease NOS	1	stroke	ischaemic stroke	1		1
24385	Chronic cerebral ischaemia	1	cerebrovascular disease				1
16507	Intermittent cerebral ischaemia	1	tia	ischaemic stroke	1	1	1
55247	Impending cerebral ischaemia	4	cerebrovascular disease				1
107725	Reversible cerebral vasoconstriction syndrome	1	tia	ischaemic stroke	1	1	1
99367	[X]Other cerebrovascular disorders in diseases CE	1	cerebrovascular disease				1
111096	[X]Other specified cerebrovascular diseases	1	cerebrovascular disease				1
114606	Aneurysm and dissection of precerebral artery	1	cerebrovascular disease				1
39344	Cereb infarct due cerebral venous thrombosis, nonpyogenic	1	stroke	ischaemic stroke	1		1
5365	Cerebral artery aneurysm operations	4	cerebrovascular disease				1
101733	Cerebral vein thrombosis	1	cerebrovascular disease				1
55974	Cerebral venous thrombosis in the puerperium	1	cerebrovascular disease				1
10625	Clipping of aneurysm of cerebral artery	4	cerebrovascular disease				1
22018	Dissection of cerebral arteries, nonruptured	1	cerebrovascular disease				1
45897	Excision of aneurysm of cerebral artery	4	cerebrovascular disease				1
58757	Obliteration of aneurysm of cerebral artery NEC	4	cerebrovascular disease				1
50260	Operation on cerebral artery/ circle of Willis aneurysm NOS	4	cerebrovascular disease				1
63903	Operation on cerebral artery/ circle of Willis aneurysm OS	4	cerebrovascular disease				1
30415	Percutaneous coil embolisation of cerebral artery aneurysm	4	cerebrovascular disease				1
98188	Small vessel cerebrovascular disease	1	cerebrovascular disease				1
63830	Stenosis of precerebral arteries	1	cerebrovascular disease				1
37823	Ligation of aneurysm of cerebral artery NEC	4	cerebrovascular disease				1
31876	Aneurysm of common carotid art	1	cerebrovascular disease				1
50678	Aneurysm of external carotid artery	1	cerebrovascular disease				1
36390	Aneurysm of internal carotid artery	1	cerebrovascular disease				1
12634	Carotid artery dissection	1	cerebrovascular disease				1
2652	Carotid artery stenosis	1	cerebrovascular disease				1
12733	Carotid endarterectomy and patch	4	cerebrovascular disease				1
35916	Endarterectomy and patch repair of carotid artery	4	cerebrovascular disease				1
2654	Endarterectomy of carotid artery NEC	4	cerebrovascular disease				1
36145	Operation on aneurysm of carotid artery	4	cerebrovascular disease				1
29973	Percutaneous transluminal angioplasty of carotid artery	4	cerebrovascular disease				1
2156	Stenosis, carotid artery	1	cerebrovascular disease				1
4152	Thrombosis, carotid artery	1	cerebrovascular disease				1
37199	Carotid artery atherosclerosis	1	cerebrovascular disease				1
49715	Phlebitis and thrombophlebitis of intracranial sinuses	1	cerebrovascular disease				1
66489	Endarterectomy and patch repair of vertebral artery	4	cerebrovascular disease				1
68906	Endarterectomy of vertebral artery NEC	4	cerebrovascular disease				1
55074	Percutaneous transluminal angioplasty of vertebral artery	4	cerebrovascular disease				1
97122	Vertebral artery dissection	1	cerebrovascular disease				1
