medcode	readcode	desc	copd
46795	Q317100	Prematurity with interstitial pulmonary fibrosis	1
47782	H464200	Chronic pulmonary fibrosis due to chemical fumes	1
50374	H4y1z00	Chronic pulmonary radiation disease NOS	1
54113	G41y.00	Other chronic pulmonary heart disease	1
54551	AB40700	Chronic pulmonary histoplasmosis capsulati	1
54893	H582.00	Compensatory emphysema	1
56860	H320000	Segmental bullous emphysema	1
59263	H32y111	Acute interstitial emphysema	1
60188	H320200	Giant bullous emphysema	1
61118	H310z00	Simple chronic bronchitis NOS	1
61513	H311z00	Mucopurulent chronic bronchitis NOS	1
63479	H32y200	MacLeod's unilateral emphysema	1
64721	H464000	Chronic emphysema due to chemical fumes	1
65060	Hyu5000	[X]Other interstitial pulmonary diseases with fibrosis	1
65733	Hyu3100	[X]Other specified chronic obstructive pulmonary disease	1
66043	H31y.00	Other chronic bronchitis	1
66058	Hyu3000	[X]Other emphysema	1
67040	H3y..11	Other specified chronic obstructive pulmonary disease	1
68066	H31yz00	Other chronic bronchitis NOS	1
68662	H320100	Zonal bullous emphysema	1
69914	H4y1.00	Chronic pulmonary radiation disease	1
70787	H32y100	Atrophic (senile) emphysema	1
71046	G41yz00	Other chronic pulmonary heart disease NOS	1
92955	H32y000	Acute vesicular emphysema	1
93568	H39..00	Very severe chronic obstructive pulmonary disease	1
94575	H433.00	Graphite fibrosis of lung	1
94894	H431.00	Bauxite fibrosis of lung	1
97800	9kf..00	COPD - enhanced services administration	1
98283	9kf2.00	COPD structured smoking assessment declined - enh serv admin	1
98284	9kf1.00	Refer COPD structured smoking assessment - enhanc serv admin	1
99536	H320300	Bullous emphysema with collapse	1
99948	9kf0.00	COPD patient unsuitable for pulmonary rehab - enh serv admin	1
100237	38Dg.00	Chronic obstructive pulmonary disease assessment test	1
100877	38Dd.00	Clinical chronic obstructive pulmonary disease questionnaire	1
101042	8BMW.00	Issue of chronic obstructive pulmonary disease rescue pack	1
102685	66YB000	Chronic obstructive pulmonary disease 3 monthly review	1
103007	66YB100	Chronic obstructive pulmonary disease 6 monthly review	1
103400	9kf1.11	Referred for COPD structured smoking assessment	1
103472	H563200	Pulmonary fibrosis	1
103494	14B3.12	History of chronic obstructive pulmonary disease	1
103558	8CeD.00	Preferred place of care for next exacerbation of COPD	1
103753	H563.13	Idiopathic pulmonary fibrosis	1
103758	8Hkw.00	Referral to COPD community nursing team	1
103760	9kf2.11	COPD structured smoking assessment declined	1
103864	9kf0.11	COPD patient unsuitable for pulmonary rehabilitation	1
104117	661M300	COPD self-management plan agreed	1
104169	661N300	COPD self-management plan review	1
104265	9e03.00	GP OOH service notified of COPD care plan	1
104481	8CMV.00	Has chronic obstructive pulmonary disease care plan	1
104710	9NgP.11	On COPD (chr obstruc pulmonary disease) supportv cre pathway	1
104985	9NgP.00	On chronic obstructive pulmonary disease supprtv cre pathway	1
105457	8CMW500	Chronic obstructive pulmonary disease care pathway	1
106637	9Nk7000	Seen in chronic obstructive pulmonary disease clinic	1
106945	8IEZ.00	Chronic obstructive pulmonary disease rescue pack declined	1
109683	2126F00	Chronic obstructive pulmonary disease resolved	1
109774	66YB200	Telehealth chronic obstructive pulmonary disease monitoring	1
109958	H3B..00	Asthma-chronic obstructive pulmonary disease overlap syndrom	1
110092	K101400	Emphysematous pyelonephritis	1
114534	66Yz200	Shared care chronic obstructive pulmonary disease monitoring	1
115042	K101500	Emphysematous pyelitis	1
115436	9Oi5.00	Chronic obstructive pulmonary disease monitoring SMS invite	1
115642	9Oi5100	Chronic obstructive pulmonary disease monitor SMS 1st invite	1
115755	9Oi5200	Chronic obstructive pulmonary disease monitor SMS 2nd invite	1
